"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AY1","CALL_SIGN","CIG","DEW","EQD","GA1","GF1","IA1","IA2","KA1","MA1","MD1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","UA1","VIS","WG1","WND"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-11T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","00030,1,C,N","+0020,1",,,"07,99,1,07,1,06,1,00025,1,00,1,00,1",,,"999,M,+0070,1",,,"46,1","V020","SYN00570007","FM-12","99999,9","4","+0030,1",,"000400,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-12T00:00:00","4","FM-12","99999","V020",,"2,1,99,9","99999","00120,1,C,N","-0070,1",,,"07,99,1,07,1,06,1,00150,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0030,1",,"020000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-12T03:00:00","4","FM-12","99999","V020","24,0000,9,1","2,1,99,9","99999","00420,1,C,N","-0020,1",,,"05,99,1,05,1,05,1,00450,1,00,1,00,1",,,"999,N,-0040,1",,,"01,1","V020","SYN00570054","FM-12","99999,9","4","+0020,1",,"030000,1,N,9",,"200,1,N,0031,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-12T06:00:00","4","FM-12","99999","V020",,"1,1,99,9","99999","22000,1,C,N","+0000,1",,,"03,99,1,03,1,04,1,00800,1,00,1,00,1",,,,,,,"V020",,"FM-12","99999,9","4","+0050,1",,"025000,1,N,9",,"160,1,N,0046,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-12T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0020,1",,,"07,99,1,06,1,06,1,00025,1,06,1,00,1",,,,,,"46,1","V020",,"FM-12","99999,9","4","+0030,1",,"000300,1,N,9",,"140,1,N,0031,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-13T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0060,1",,,"02,99,1,02,1,06,1,00025,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0040,1",,"035000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-13T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0030,1",,,"01,99,1,01,1,01,1,00250,1,00,1,00,1",,,"999,N,-0040,1",,,"01,1","V020","SYN00570054","FM-12","99999,9","4","+0020,1",,"040000,1,N,9",,"160,1,N,0010,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-13T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0010,1",,,"04,99,1,03,1,08,1,00450,1,00,1,09,1",,,,,,"03,1","V020",,"FM-12","99999,9","4","+0050,1",,"025000,1,N,9",,"200,1,N,0057,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-13T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0020,1",,,"07,99,1,05,1,04,1,00025,1,06,1,00,1",,,,,,"46,1","V020",,"FM-12","99999,9","4","+0030,1",,"000600,1,N,9",,"160,1,N,0026,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-13T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","00015,1,C,N","+0020,1",,"09,1,+99999,9,99,9","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,"999,M,+0060,1",,,"47,1","V020","SYN00570006","FM-12","99999,9","4","+0020,1",,"000100,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-14T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0050,1",,,"01,99,1,01,1,06,1,00025,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0030,1",,"040000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-14T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","+0010,1",,,"01,99,1,01,1,04,1,00025,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0050,1",,"035000,1,N,9",,"140,1,N,0046,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-14T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0020,1",,,"07,99,1,06,1,06,1,00025,1,06,1,00,1",,,,,,"46,1","V020",,"FM-12","99999,9","4","+0040,1",,"000300,1,N,9",,"160,1,N,0026,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-15T00:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00015,1,C,N","-0010,1",,"09,1,+99999,9,99,9","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,,,,"45,1","V020",,"FM-12","99999,9","4","-0010,1",,"000100,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-15T03:00:00","4","FM-12","99999","V020","24,0000,9,1","4,1,99,9","99999","00210,1,C,N","+0000,1",,,"07,99,1,07,1,05,1,00250,1,00,1,00,1",,,"999,N,-0010,1",,,"46,1","V020","SYN00570051","FM-12","99999,9","4","+0000,1",,"000500,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-15T06:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00210,1,C,N","+0010,1",,,"07,99,1,07,1,05,1,00250,1,00,1,00,1",,,,,,"41,1","V020",,"FM-12","99999,9","4","+0020,1",,"000800,1,N,9",,"160,1,N,0036,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-15T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","00030,1,C,N","+0010,1",,"09,1,+99999,9,99,9","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,"999,M,+0040,1",,,"47,1","V020","SYN00570004","FM-12","99999,9","4","+0010,1",,"000300,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-16T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0050,1",,,"03,99,1,02,1,06,1,00025,1,00,1,09,1",,,,,,"02,1","V020","SYN001/","FM-12","99999,9","4","-0030,1",,"025000,1,N,9",,"050,1,N,0010,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-16T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0030,1",,,"01,99,1,01,1,01,1,00150,1,00,1,09,1",,,"999,N,-0040,1",,,"01,1","V020","SYN00570054","FM-12","99999,9","4","+0020,1",,"035000,1,N,9",,"140,1,N,0031,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-16T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0020,1",,,"01,99,1,01,1,04,1,00150,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0040,1",,"025000,1,N,9",,"160,1,N,0046,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-16T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","22000,1,C,N","+0000,1",,,"03,99,1,03,1,06,1,00025,1,00,1,09,1",,,"999,M,+0050,1",,,"40,1","V020","SYN00570005","FM-12","99999,9","4","+0000,1",,"000800,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-17T00:00:00","4","FM-12","99999","V020",,"2,1,99,9","99999","03600,1,C,N","-0080,1",,,"06,99,1,01,1,05,1,00150,1,05,1,01,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0030,1",,"030000,1,N,9",,"040,1,N,0026,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-17T03:00:00","4","FM-12","99999","V020","24,0000,9,1","2,1,99,9","99999","22000,1,C,N","-0060,1",,,"04,99,1,01,1,01,1,00150,1,05,1,08,1",,,"999,N,-0040,1",,,"01,1","V020","SYN00570054","FM-12","99999,9","4","-0010,1",,"035000,1,N,9",,"270,1,N,0031,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-17T06:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0000,1",,,"07,99,1,05,1,05,1,00025,1,02,1,00,1",,,,,,"46,1","V020",,"FM-12","99999,9","4","+0020,1",,"000600,1,N,9",,"160,1,N,0051,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-17T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00600,1,C,N","+0000,1",,,"07,99,1,05,1,08,1,00025,1,07,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0020,1",,"004000,1,N,9",,"160,1,N,0021,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-18T03:00:00","4","FM-12","99999","V020","24,0000,9,1","4,1,99,9","99999","00030,1,C,N","-0010,1",,,"07,99,1,06,1,05,1,00025,1,00,1,08,1",,,"999,N,-0020,1",,,"46,1","V020","SYN00579752","FM-12","99999,9","4","+0010,1",,"000200,1,N,9",,"230,1,N,0036,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-18T06:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0000,1",,,"07,99,1,06,1,05,1,00025,1,04,1,00,1",,,,,,"40,1","V020",,"FM-12","99999,9","4","+0030,1",,"000800,1,N,9",,"140,1,N,0041,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-18T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","00030,1,C,N","+0000,1",,,"08,99,1,08,1,06,1,00025,1,99,9,99,9",,,"999,M,+0040,1",,,"42,1","V020","SYN00570004","FM-12","99999,9","4","+0010,1",,"000800,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-19T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0080,1",,,"01,99,1,01,1,05,1,00025,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0030,1",,"025000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-19T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0050,1",,,"01,99,1,01,1,05,1,00150,1,00,1,00,1",,,"999,N,-0040,1",,,"02,1","V020","SYN00570054","FM-12","99999,9","4","+0040,1",,"035000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-19T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0040,1",,,"01,99,1,01,1,05,1,00150,1,00,1,04,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0060,1",,"035000,1,N,9",,"160,1,N,0021,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-19T12:00:00","4","FM-12","99999","V020","99,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0020,1",,,"02,99,1,02,1,05,1,00025,1,00,1,00,1",,,"999,M,+0060,1",,,"03,1","V020","SYN00570006","FM-12","99999,9","4","+0000,1",,"015000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-20T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0040,1",,,"01,99,1,01,1,05,1,00025,1,00,1,00,1",,,"999,N,-0020,1",,,"02,1","V020","SYN00570052","FM-12","99999,9","4","+0070,1",,"025000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-20T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0030,1",,,"01,99,1,01,1,01,1,00250,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0070,1",,"055000,1,N,9",,"200,1,N,0021,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-20T12:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","22000,1,C,N","+0000,1",,,"03,99,1,03,1,05,1,00025,1,03,1,00,1",,,,,,,"V020",,"FM-12","99999,9","4","+0020,1",,"006000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-21T12:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","22000,1,C,N","-0010,1",,,"03,99,1,03,1,05,1,00800,1,00,1,00,1",,,,,,"01,1","V020",,"FM-12","99999,9","4","+0030,1",,"010000,1,N,9",,"060,1,N,0021,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-22T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","03600,1,C,N","+0020,1",,,"05,99,1,03,1,06,1,00025,1,07,1,00,1",,,,,,"01,1","V020",,"FM-12","99999,9","4","+0040,1",,"008000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-22T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","22000,1,C,N","+0030,1",,,"04,99,1,03,1,04,1,00025,1,03,1,00,1",,,,,,"40,1","V020",,"FM-12","99999,9","4","+0060,1",,"000800,1,N,9",,"200,1,N,0036,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-22T12:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0030,1",,,"06,99,1,06,1,06,1,00025,1,03,1,00,1",,,,,,"42,1","V020",,"FM-12","99999,9","4","+0030,1",,"000300,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-23T00:00:00","4","FM-12","99999","V020","99,9999,2,9","1,1,99,9","99999","22000,1,C,N","-0020,1",,,"04,99,1,01,1,05,1,00075,1,08,1,00,1",,,,,,"02,1","V020","SYN00579700","FM-12","99999,9","4","+0020,1",,"025000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-23T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","+0030,1",,,"04,99,1,03,1,06,1,00025,1,08,1,00,1",,,,,,"03,1","V020",,"FM-12","99999,9","4","+0060,1",,"002000,1,N,9",,"180,1,N,0015,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-23T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0020,1",,,"07,99,1,06,1,06,1,00025,1,07,1,00,1",,,,,,"28,1","V020",,"FM-12","99999,9","4","+0040,1",,"003000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-24T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0090,1",,,"01,99,1,01,1,05,1,00025,1,00,1,09,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0020,1",,"025000,1,N,9",,"360,1,N,0015,1"
