Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.4258, 2040-2059, gfdl_esm2m, May Anomaly, NPL
-0.1694, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
-0.0343, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
0.0745, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
-0.1731, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
-0.1668, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
-0.2334, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
-0.5476, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
-0.1946, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
-0.2957, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
-0.0928, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
-0.3565, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
-0.4286, 2040-2059, hadgem2_ao, May Anomaly, NPL
-0.5255, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
-0.1408, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
-0.4541, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
-0.0355, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
-0.154, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
-0.1079, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
0.16841, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
-0.2285, 2040-2059, hadgem2_es, Jan Anomaly, NPL
-0.2472, 2040-2059, hadgem2_es, Feb Anomaly, NPL
-0.0225, 2040-2059, hadgem2_es, Mar Anomaly, NPL
-0.0415, 2040-2059, hadgem2_es, Apr Anomaly, NPL
-0.3064, 2040-2059, hadgem2_es, May Anomaly, NPL
-0.4169, 2040-2059, hadgem2_es, Jun Anomaly, NPL
-0.217, 2040-2059, hadgem2_es, Jul Anomaly, NPL
-0.087, 2040-2059, hadgem2_es, Aug Anomaly, NPL
-0.1207, 2040-2059, hadgem2_es, Sep Anomaly, NPL
-0.1336, 2040-2059, hadgem2_es, Oct Anomaly, NPL
-0.0913, 2040-2059, hadgem2_es, Nov Anomaly, NPL
0.13694, 2040-2059, hadgem2_es, Dec Anomaly, NPL
0.00996, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.2879, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
-0.1669, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.2619, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.0405, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
-0.4292, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
-0.698, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.3045, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
-0.7973, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.3113, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.2555, 2040-2059, ipsl_cm5a_lr, Nov Anomaly, NPL
-0.2316, 2040-2059, ipsl_cm5a_lr, Dec Anomaly, NPL
-0.0974, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.048, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.1688, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
0.00659, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.3014, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
0.0514, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
-0.2461, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.1703, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
-0.2287, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
-0.4063, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.1293, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
-0.0776, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, NPL
-0.1938, 2040-2059, miroc_esm, Jan Anomaly, NPL
-0.2821, 2040-2059, miroc_esm, Feb Anomaly, NPL
-0.0167, 2040-2059, miroc_esm, Mar Anomaly, NPL
0.02425, 2040-2059, miroc_esm, Apr Anomaly, NPL
-0.4336, 2040-2059, miroc_esm, May Anomaly, NPL
-0.0374, 2040-2059, miroc_esm, Jun Anomaly, NPL
-0.0659, 2040-2059, miroc_esm, Jul Anomaly, NPL
-0.0504, 2040-2059, miroc_esm, Aug Anomaly, NPL
-0.0747, 2040-2059, miroc_esm, Sep Anomaly, NPL
-0.2826, 2040-2059, miroc_esm, Oct Anomaly, NPL
-0.234, 2040-2059, miroc_esm, Nov Anomaly, NPL
-0.479, 2040-2059, miroc_esm, Dec Anomaly, NPL
