Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.509291, 2040-2059, giss_e2_r, Apr Anomaly, Nepal, NPL
1.8224038, 2040-2059, giss_e2_r, May Anomaly, Nepal, NPL
1.2902769, 2040-2059, giss_e2_r, Jun Anomaly, Nepal, NPL
1.2114059, 2040-2059, giss_e2_r, Jul Anomaly, Nepal, NPL
0.7409706, 2040-2059, giss_e2_r, Aug Anomaly, Nepal, NPL
1.0326843, 2040-2059, giss_e2_r, Sep Anomaly, Nepal, NPL
1.4270948, 2040-2059, giss_e2_r, Oct Anomaly, Nepal, NPL
1.3441488, 2040-2059, giss_e2_r, Nov Anomaly, Nepal, NPL
1.9484348, 2040-2059, giss_e2_r, Dec Anomaly, Nepal, NPL
2.6095095, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, Nepal, NPL
3.302754, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, Nepal, NPL
2.9062116, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, Nepal, NPL
2.786423, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, Nepal, NPL
2.2083116, 2040-2059, ipsl_cm5a_mr, May Anomaly, Nepal, NPL
1.773619, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, Nepal, NPL
1.9660186, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, Nepal, NPL
2.5874345, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, Nepal, NPL
2.046627, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, Nepal, NPL
2.4212534, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, Nepal, NPL
2.5157819, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, Nepal, NPL
2.1065762, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, Nepal, NPL
2.711502, 2040-2059, miroc_esm, Jan Anomaly, Nepal, NPL
1.9949291, 2040-2059, miroc_esm, Feb Anomaly, Nepal, NPL
2.448198, 2040-2059, miroc_esm, Mar Anomaly, Nepal, NPL
3.3899004, 2040-2059, miroc_esm, Apr Anomaly, Nepal, NPL
2.4544585, 2040-2059, miroc_esm, May Anomaly, Nepal, NPL
1.4318513, 2040-2059, miroc_esm, Jun Anomaly, Nepal, NPL
-0.20285688, 2040-2059, miroc_esm, Jul Anomaly, Nepal, NPL
0.77193576, 2040-2059, miroc_esm, Aug Anomaly, Nepal, NPL
1.7939084, 2040-2059, miroc_esm, Sep Anomaly, Nepal, NPL
