Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-0.5376, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-0.7704, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-1.295, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-1.4716, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-1.8993, 2060-2079, hadgem2_es, Feb Anomaly, NPL
-0.431, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-1.3501, 2060-2079, hadgem2_es, Apr Anomaly, NPL
-2.1036, 2060-2079, hadgem2_es, May Anomaly, NPL
-0.8951, 2060-2079, hadgem2_es, Jun Anomaly, NPL
-0.2785, 2060-2079, hadgem2_es, Jul Anomaly, NPL
-0.2697, 2060-2079, hadgem2_es, Aug Anomaly, NPL
-2.143, 2060-2079, hadgem2_es, Sep Anomaly, NPL
-0.8739, 2060-2079, hadgem2_es, Oct Anomaly, NPL
-1.1512, 2060-2079, hadgem2_es, Nov Anomaly, NPL
-0.7208, 2060-2079, hadgem2_es, Dec Anomaly, NPL
-2.9361, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-2.2571, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-1.7466, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
-1.3515, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
-2.9434, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
-3.367, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
-1.0014, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.0207, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
-1.6692, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
-2.0717, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
-1.1124, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
-2.2756, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
-2.1693, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
-1.9777, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
-1.3198, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
-1.5629, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
-3.3852, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
-3.7972, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
-1.022, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.1338, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
-1.8522, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
-2.9747, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.7307, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
-1.365, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
-1.9354, 2060-2079, miroc5, Jan Anomaly, NPL
-2.1217, 2060-2079, miroc5, Feb Anomaly, NPL
-1.3856, 2060-2079, miroc5, Mar Anomaly, NPL
-1.1358, 2060-2079, miroc5, Apr Anomaly, NPL
