FID,id_punto,agno,pre_anual,geom
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cf8,40335,1923,792.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cf6,40335,1924,927.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cf4,40335,1925,884.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cf3,40335,1926,796.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cf1,40335,1927,909.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cef,40335,1928,738.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ced,40335,1929,809.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ceb,40335,1930,745,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ce9,40335,1931,844.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ce8,40335,1932,685.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ce6,40335,1933,1016.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ce4,40335,1934,746.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ce2,40335,1935,675.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ce0,40335,1936,1242.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cdf,40335,1937,859.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cdd,40335,1938,797.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cdb,40335,1939,644.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cd9,40335,1940,735.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cd7,40335,1941,585.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cd6,40335,1942,874.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cd4,40335,1943,776.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cd2,40335,1944,577.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cd0,40335,1945,892.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cce,40335,1946,723,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ccc,40335,1947,728.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ccb,40335,1948,772.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cc9,40335,1949,877.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cc7,40335,1950,818.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cc5,40335,1951,725.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cc4,40335,1952,690.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cc2,40335,1953,691.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cc0,40335,1954,777.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cbe,40335,1955,836.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cbc,40335,1956,821.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cba,40335,1957,741.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cb8,40335,1958,700.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cb6,40335,1959,865.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cb5,40335,1960,609.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cb3,40335,1961,698.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cb1,40335,1962,750.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7caf,40335,1963,939.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cad,40335,1964,639.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cac,40335,1965,726.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ca9,40335,1966,649.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ca7,40335,1967,604.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ca5,40335,1968,640.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ca4,40335,1969,904.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ca2,40335,1970,619.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7ca0,40335,1971,1091.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c9e,40335,1972,747.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c9c,40335,1973,901.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c9a,40335,1974,607.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c98,40335,1975,870.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c96,40335,1976,840.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c94,40335,1977,796.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c93,40335,1978,978.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c91,40335,1979,651.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c8f,40335,1980,797.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c8d,40335,1981,695.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c8b,40335,1982,745.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c8a,40335,1983,1067.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c89,40335,1984,695,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c88,40335,1985,878.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c87,40335,1986,879.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c86,40335,1987,651.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c85,40335,1988,841.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c84,40335,1989,756.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c83,40335,1990,960.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c82,40335,1991,541.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c81,40335,1992,618.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c80,40335,1993,644.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c7f,40335,1994,666.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c7e,40335,1995,835.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c7c,40335,1996,677.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c7a,40335,1997,768.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c78,40335,1998,942.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c77,40335,1999,577.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c75,40335,2000,838,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c73,40335,2001,496.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c71,40335,2002,630.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c6f,40335,2003,692.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c6d,40335,2004,352.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c6c,40335,2005,516,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c6a,40335,2006,572.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c69,40335,2007,608.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c68,40335,2008,508.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c66,40335,2009,553.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c65,40335,2010,510.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c64,40335,2011,881,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c62,40335,2012,612.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c60,40335,2013,1245.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c5e,40335,2014,1101.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c5d,40335,2015,1094.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c5b,40335,2016,1059.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c59,40335,2017,1129.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c57,40335,2018,1194.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c55,40335,2019,1100.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c54,40335,2020,1095.4,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c52,40336,1901,696.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c50,40336,1902,589.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c4e,40336,1903,547.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c4c,40336,1904,684.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c4b,40336,1905,643.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c49,40336,1906,676.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c47,40336,1907,643.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c45,40336,1908,506.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c43,40336,1909,794.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c42,40336,1910,705.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c40,40336,1911,725.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c3e,40336,1912,701.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c3c,40336,1913,664.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c3a,40336,1914,895.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c39,40336,1915,775.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c37,40336,1916,720.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c35,40336,1917,894,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c33,40336,1918,520.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c31,40336,1919,686.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c30,40336,1920,604.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c2e,40336,1921,638.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c2c,40336,1922,766.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c2a,40336,1923,667.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c28,40336,1924,754.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c26,40336,1925,737.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c24,40336,1926,686.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c22,40336,1927,773.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c20,40336,1928,645.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c1e,40336,1929,698,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c1d,40336,1930,638.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c1b,40336,1931,700.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c19,40336,1932,573,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c17,40336,1933,841.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c15,40336,1934,620.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c14,40336,1935,580.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c12,40336,1936,1006.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c10,40336,1937,727.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c0e,40336,1938,665.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c0c,40336,1939,552.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c0b,40336,1940,643,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c09,40336,1941,505.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c07,40336,1942,740.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c05,40336,1943,635.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c03,40336,1944,515.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c02,40336,1945,729.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7c00,40336,1946,644.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bfe,40336,1947,618.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bfc,40336,1948,646.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bfa,40336,1949,728.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf9,40336,1950,680.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf7,40336,1951,611.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf6,40336,1952,616.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf5,40336,1953,577.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf4,40336,1954,638.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf3,40336,1955,700.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf2,40336,1956,681,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bf1,40336,1957,601.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bef,40336,1958,583.2,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bed,40336,1959,704.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bec,40336,1960,465.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bea,40336,1961,531.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7be8,40336,1962,606.7,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7be6,40336,1963,807.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7be4,40336,1964,479.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7be3,40336,1965,648.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7be1,40336,1966,503,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bdf,40336,1967,493.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bdd,40336,1968,509.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bdb,40336,1969,681.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bda,40336,1970,517.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bd8,40336,1971,890.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bd6,40336,1972,567.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bd4,40336,1973,758.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bd2,40336,1974,597.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bd1,40336,1975,801.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bcf,40336,1976,692.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bcd,40336,1977,745.8,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bcb,40336,1978,860.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bc9,40336,1979,619.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bc8,40336,1980,697,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bc6,40336,1981,642.9,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bc4,40336,1982,623.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bc2,40336,1983,945,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bc0,40336,1984,547.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bbf,40336,1985,727.1,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bbd,40336,1986,746,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bbb,40336,1987,529.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bb9,40336,1988,666.4,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bb7,40336,1989,596.6,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bb5,40336,1990,821.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bb4,40336,1991,466.5,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bb2,40336,1992,530.3,POINT (8989048.88155684 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7bb0,40336,1993,521,POINT (8989048.88155684 3535725.659799159)
