FID,id_punto,agno,seasonality_index,geom
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd8,40335,1979,0.55,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd9,40335,1980,0.88,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cda,40335,1981,0.6,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cdb,40335,1982,0.67,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cdc,40335,1983,0.64,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cdd,40335,1984,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cde,40335,1985,0.69,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cdf,40335,1986,0.69,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce0,40335,1987,0.61,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce1,40335,1988,0.7,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce2,40335,1989,0.88,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce3,40335,1990,0.67,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce4,40335,1991,0.69,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce5,40335,1992,0.59,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce6,40335,1993,0.77,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce7,40335,1994,0.86,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce8,40335,1995,0.78,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ce9,40335,1996,0.59,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cea,40335,1997,0.59,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ceb,40335,1998,0.62,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cec,40335,1999,0.78,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ced,40335,2000,0.72,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cee,40335,2001,0.77,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cef,40335,2002,0.73,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf0,40335,2003,0.64,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf1,40335,2004,0.74,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf2,40335,2005,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf3,40335,2006,0.87,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf4,40335,2007,0.79,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf5,40335,2008,0.97,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf6,40335,2009,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf7,40335,2010,0.94,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf8,40335,2011,0.85,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cf9,40335,2012,0.94,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cfa,40336,1901,0.7,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cfb,40336,1902,0.74,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cfc,40336,1903,0.59,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cfd,40336,1904,0.72,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cfe,40336,1905,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cff,40336,1906,0.78,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d00,40336,1907,0.7,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d01,40336,1908,0.63,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d02,40336,1909,0.79,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d03,40336,1910,0.77,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d04,40336,1911,0.59,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d05,40336,1912,0.53,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d06,40336,1913,0.58,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d07,40336,1914,0.58,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d08,40336,1915,0.68,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d09,40336,1916,0.8,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d0a,40336,1917,0.5,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d0b,40336,1918,0.63,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d0c,40336,1919,0.56,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d0d,40336,1920,0.76,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d0e,40336,1921,0.75,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d0f,40336,1922,0.73,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d10,40336,1923,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d11,40336,1924,0.69,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d12,40336,1925,0.82,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d13,40336,1926,0.73,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d14,40336,1927,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d15,40336,1928,0.54,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d16,40336,1929,0.54,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d17,40336,1930,0.54,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d18,40336,1931,0.74,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d19,40336,1932,0.73,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d1a,40336,1933,0.56,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d1b,40336,1934,0.75,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d1c,40336,1935,0.61,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d1d,40336,1936,0.71,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d1e,40336,1937,0.63,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d1f,40336,1938,0.81,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d20,40336,1939,0.56,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d21,40336,1940,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d22,40336,1941,0.61,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d23,40336,1942,0.56,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d24,40336,1943,0.86,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d25,40336,1944,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d26,40336,1945,0.72,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d27,40336,1946,0.56,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d28,40336,1947,0.76,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d29,40336,1948,0.8,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d2a,40336,1949,0.68,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d2b,40336,1950,0.72,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d2c,40336,1951,0.46,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d2d,40336,1952,0.62,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d2e,40336,1953,0.83,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d2f,40336,1954,0.77,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d30,40336,1955,0.64,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d31,40336,1956,0.64,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d32,40336,1957,0.69,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d33,40336,1958,0.78,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d34,40336,1959,0.53,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d35,40336,1960,0.83,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d36,40336,1961,0.65,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d37,40336,1962,0.61,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d38,40336,1963,0.65,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d39,40336,1964,0.77,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d3a,40336,1965,0.77,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d3b,40336,1966,0.62,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d3c,40336,1967,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d3d,40336,1968,0.7,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d3e,40336,1969,0.93,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d3f,40336,1970,0.69,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d40,40336,1971,0.61,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d41,40336,1972,0.76,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d42,40336,1973,0.7,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d43,40336,1974,0.8,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d44,40336,1975,0.71,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d45,40336,1976,0.83,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d46,40336,1977,0.72,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d47,40336,1978,0.68,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d48,40336,1979,0.41,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d49,40336,1980,0.71,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d4a,40336,1981,0.55,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d4b,40336,1982,0.58,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d4c,40336,1983,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d4d,40336,1984,0.75,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d4e,40336,1985,0.62,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d4f,40336,1986,0.66,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d50,40336,1987,0.61,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d51,40336,1988,0.62,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d52,40336,1989,0.89,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d53,40336,1990,0.67,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d54,40336,1991,0.6,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d55,40336,1992,0.51,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d56,40336,1993,0.69,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d57,40336,1994,0.77,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d58,40336,1995,0.67,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d59,40336,1996,0.52,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d5a,40336,1997,0.54,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d5b,40336,1998,0.57,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d5c,40336,1999,0.68,POINT (8989048.88155684 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5d5d,40336,2000,0.63,POINT (8989048.88155684 3535725.659799159)
