FID,id_punto,agno,anomalia_temp_min_anual,geom
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_449f,40335,1923,0.21,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a0,40335,1924,0.2,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a1,40335,1925,-0.28,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a2,40335,1926,-0.56,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a3,40335,1927,-0.43,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a4,40335,1928,0.2,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a5,40335,1929,0.04,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a6,40335,1930,-0.18,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a7,40335,1931,0.18,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a8,40335,1932,0.29,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44a9,40335,1933,-0.4,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44aa,40335,1934,-0.13,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ab,40335,1935,-0.56,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ac,40335,1936,-1.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ad,40335,1937,-0.89,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ae,40335,1938,-0.32,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44af,40335,1939,-0.31,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b0,40335,1940,-0.4,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b1,40335,1941,0.83,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b2,40335,1942,0.33,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b3,40335,1943,0.25,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b4,40335,1944,-0.01,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b5,40335,1945,-0.32,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b6,40335,1946,0.35,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b7,40335,1947,0.41,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b8,40335,1948,0.09,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44b9,40335,1949,0.21,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ba,40335,1950,-0.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44bb,40335,1951,0.33,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44bc,40335,1952,0.3,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44bd,40335,1953,0.87,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44be,40335,1954,0.32,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44bf,40335,1955,0.42,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c0,40335,1956,0.52,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c1,40335,1957,0.14,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c2,40335,1958,1.05,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c3,40335,1959,0.82,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c4,40335,1960,0.74,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c5,40335,1961,0.85,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c6,40335,1962,0.88,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c7,40335,1963,0.59,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c8,40335,1964,1.04,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44c9,40335,1965,0.34,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ca,40335,1966,-0.03,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44cb,40335,1967,-0.53,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44cc,40335,1968,-0.7,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44cd,40335,1969,0.09,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ce,40335,1970,-0.1,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44cf,40335,1971,-0.33,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d0,40335,1972,-0.04,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d1,40335,1973,-0.09,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d2,40335,1974,-0.3,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d3,40335,1975,-0.71,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d4,40335,1976,-0.26,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d5,40335,1977,-0.23,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d6,40335,1978,-0.22,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d7,40335,1979,-0.16,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d8,40335,1980,0.32,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44d9,40335,1981,-0.17,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44da,40335,1982,-0.13,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44db,40335,1983,-0.68,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44dc,40335,1984,0.14,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44dd,40335,1985,0.26,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44de,40335,1986,-0.64,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44df,40335,1987,0.51,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e0,40335,1988,0.59,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e1,40335,1989,-0.5,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e2,40335,1990,0.21,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e3,40335,1991,-0.45,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e4,40335,1992,-0.53,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e5,40335,1993,0.04,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e6,40335,1994,0.85,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e7,40335,1995,0.58,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e8,40335,1996,0.59,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44e9,40335,1997,0.09,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ea,40335,1998,0.85,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44eb,40335,1999,1.64,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ec,40335,2000,1.01,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ed,40335,2001,1.24,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ee,40335,2002,1.29,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ef,40335,2003,0.76,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f0,40335,2004,1.46,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f1,40335,2005,0.79,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f2,40335,2006,1.78,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f3,40335,2007,1.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f4,40335,2008,1.34,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f5,40335,2009,1.53,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f6,40335,2010,1.5,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f7,40335,2011,1.21,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f8,40335,2012,1.36,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44f9,40336,1901,0.15,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44fa,40336,1902,0.32,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44fb,40336,1903,0.11,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44fc,40336,1904,-0.03,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44fd,40336,1905,-0.87,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44fe,40336,1906,-0.06,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_44ff,40336,1907,-0.26,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4500,40336,1908,0.48,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4501,40336,1909,0.46,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4502,40336,1910,-0.28,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4503,40336,1911,-0.28,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4504,40336,1912,-0.53,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4505,40336,1913,-0.93,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4506,40336,1914,-0.65,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4507,40336,1915,0.23,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4508,40336,1916,0.19,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4509,40336,1917,-1.18,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_450a,40336,1918,-0.3,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_450b,40336,1919,-0.98,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_450c,40336,1920,-0.48,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_450d,40336,1921,-0.38,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_450e,40336,1922,-0.14,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_450f,40336,1923,0.21,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4510,40336,1924,0.21,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4511,40336,1925,-0.3,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4512,40336,1926,-0.53,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4513,40336,1927,-0.43,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4514,40336,1928,0.18,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4515,40336,1929,0.01,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4516,40336,1930,-0.2,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4517,40336,1931,0.16,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4518,40336,1932,0.26,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4519,40336,1933,-0.39,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_451a,40336,1934,-0.13,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_451b,40336,1935,-0.45,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_451c,40336,1936,-1.08,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_451d,40336,1937,-0.77,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_451e,40336,1938,-0.28,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_451f,40336,1939,-0.28,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4520,40336,1940,-0.33,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4521,40336,1941,0.81,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4522,40336,1942,0.34,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4523,40336,1943,0.28,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4524,40336,1944,0.01,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4525,40336,1945,-0.29,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4526,40336,1946,0.38,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4527,40336,1947,0.44,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4528,40336,1948,0.11,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4529,40336,1949,0.25,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_452a,40336,1950,-0.17,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_452b,40336,1951,0.33,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_452c,40336,1952,0.26,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_452d,40336,1953,0.86,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_452e,40336,1954,0.31,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_452f,40336,1955,0.43,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4530,40336,1956,0.53,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4531,40336,1957,0.11,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4532,40336,1958,1.04,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4533,40336,1959,0.71,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4534,40336,1960,0.7,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4535,40336,1961,0.95,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4536,40336,1962,0.88,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4537,40336,1963,0.61,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4538,40336,1964,1.02,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4539,40336,1965,0.31,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_453a,40336,1966,-0.17,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_453b,40336,1967,-0.61,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_453c,40336,1968,-0.65,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_453d,40336,1969,0.15,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_453e,40336,1970,-0.08,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_453f,40336,1971,-0.27,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4540,40336,1972,-0.08,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4541,40336,1973,-0.08,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4542,40336,1974,-0.37,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4543,40336,1975,-0.73,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4544,40336,1976,-0.31,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4545,40336,1977,-0.18,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4546,40336,1978,-0.25,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4547,40336,1979,-0.2,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4548,40336,1980,0.32,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4549,40336,1981,-0.12,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_454a,40336,1982,-0.13,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_454b,40336,1983,-0.67,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_454c,40336,1984,0.16,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_454d,40336,1985,0.29,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_454e,40336,1986,-0.61,POINT (8989048.88155684 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_454f,40336,1987,0.39,POINT (8989048.88155684 3535725.659799159)
