Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
0.0, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
-2.0E-4, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
-0.0237, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.0082, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
-5.0E-4, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
-2.0E-4, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
-0.0044, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
0.03706, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
0.00301, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Feb Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Mar Anomaly, NPL
0.00277, 2060-2079, Ensemble (90th Percentile), Apr Anomaly, NPL
0.13509, 2060-2079, Ensemble (90th Percentile), May Anomaly, NPL
0.83694, 2060-2079, Ensemble (90th Percentile), Jun Anomaly, NPL
1.64808, 2060-2079, Ensemble (90th Percentile), Jul Anomaly, NPL
0.7678, 2060-2079, Ensemble (90th Percentile), Aug Anomaly, NPL
0.18037, 2060-2079, Ensemble (90th Percentile), Sep Anomaly, NPL
0.00212, 2060-2079, Ensemble (90th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Dec Anomaly, NPL
0.18528, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-10.695, 2060-2079, bnu_esm, Annual Anomaly, NPL
-7.541, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-13.154, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-12.915, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-13.012, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
2.85841, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-3.4303, 2060-2079, miroc5, Annual Anomaly, NPL
-0.7607, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-7.7976, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.035, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.05383, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
3.44542, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
