TEMPERATURE(CELSIUS),YEAR,MONTH_STATISTICS,COUNTRY,ISO3
8.6,1967, Mar Average, Nepal, NPL
13,1967, Apr Average, Nepal, NPL
16.5,1967, May Average, Nepal, NPL
19.1,1967, Jun Average, Nepal, NPL
19,1967, Jul Average, Nepal, NPL
18.2,1967, Aug Average, Nepal, NPL
16.9,1967, Sep Average, Nepal, NPL
12.4,1967, Oct Average, Nepal, NPL
7.3,1967, Nov Average, Nepal, NPL
5.5,1967, Dec Average, Nepal, NPL
2.9,1968, Jan Average, Nepal, NPL
4.3,1968, Feb Average, Nepal, NPL
9.6,1968, Mar Average, Nepal, NPL
13.4,1968, Apr Average, Nepal, NPL
16.6,1968, May Average, Nepal, NPL
18,1968, Jun Average, Nepal, NPL
18.4,1968, Jul Average, Nepal, NPL
18.5,1968, Aug Average, Nepal, NPL
18,1968, Sep Average, Nepal, NPL
12.4,1968, Oct Average, Nepal, NPL
8.7,1968, Nov Average, Nepal, NPL
5.5,1968, Dec Average, Nepal, NPL
4.1,1969, Jan Average, Nepal, NPL
6.3,1969, Feb Average, Nepal, NPL
11.4,1969, Mar Average, Nepal, NPL
14.1,1969, Apr Average, Nepal, NPL
16.3,1969, May Average, Nepal, NPL
19.3,1969, Jun Average, Nepal, NPL
18.7,1969, Jul Average, Nepal, NPL
18.3,1969, Aug Average, Nepal, NPL
17,1969, Sep Average, Nepal, NPL
13.7,1969, Oct Average, Nepal, NPL
10.2,1969, Nov Average, Nepal, NPL
5.9,1969, Dec Average, Nepal, NPL
4.2,1970, Jan Average, Nepal, NPL
4.8,1970, Feb Average, Nepal, NPL
9.7,1970, Mar Average, Nepal, NPL
14.8,1970, Apr Average, Nepal, NPL
17.8,1970, May Average, Nepal, NPL
18.1,1970, Jun Average, Nepal, NPL
19,1970, Jul Average, Nepal, NPL
18.7,1970, Aug Average, Nepal, NPL
17.5,1970, Sep Average, Nepal, NPL
14.2,1970, Oct Average, Nepal, NPL
8.5,1970, Nov Average, Nepal, NPL
5.9,1970, Dec Average, Nepal, NPL
3.8,1971, Jan Average, Nepal, NPL
4.8,1971, Feb Average, Nepal, NPL
9.6,1971, Mar Average, Nepal, NPL
13.6,1971, Apr Average, Nepal, NPL
15.3,1971, May Average, Nepal, NPL
17.5,1971, Jun Average, Nepal, NPL
18,1971, Jul Average, Nepal, NPL
17.6,1971, Aug Average, Nepal, NPL
17.3,1971, Sep Average, Nepal, NPL
13.6,1971, Oct Average, Nepal, NPL
8.3,1971, Nov Average, Nepal, NPL
5.6,1971, Dec Average, Nepal, NPL
5,1972, Jan Average, Nepal, NPL
4.3,1972, Feb Average, Nepal, NPL
10.6,1972, Mar Average, Nepal, NPL
13.4,1972, Apr Average, Nepal, NPL
18,1972, May Average, Nepal, NPL
19.4,1972, Jun Average, Nepal, NPL
19.7,1972, Jul Average, Nepal, NPL
18.4,1972, Aug Average, Nepal, NPL
16.6,1972, Sep Average, Nepal, NPL
13,1972, Oct Average, Nepal, NPL
8.2,1972, Nov Average, Nepal, NPL
5.8,1972, Dec Average, Nepal, NPL
4.8,1973, Jan Average, Nepal, NPL
6.2,1973, Feb Average, Nepal, NPL
9.3,1973, Mar Average, Nepal, NPL
15.3,1973, Apr Average, Nepal, NPL
17.1,1973, May Average, Nepal, NPL
18.4,1973, Jun Average, Nepal, NPL
19.3,1973, Jul Average, Nepal, NPL
18.2,1973, Aug Average, Nepal, NPL
17.5,1973, Sep Average, Nepal, NPL
13.2,1973, Oct Average, Nepal, NPL
8.4,1973, Nov Average, Nepal, NPL
4.9,1973, Dec Average, Nepal, NPL
3.7,1974, Jan Average, Nepal, NPL
5.4,1974, Feb Average, Nepal, NPL
10.7,1974, Mar Average, Nepal, NPL
15.2,1974, Apr Average, Nepal, NPL
16.9,1974, May Average, Nepal, NPL
18.6,1974, Jun Average, Nepal, NPL
18.3,1974, Jul Average, Nepal, NPL
18.3,1974, Aug Average, Nepal, NPL
17,1974, Sep Average, Nepal, NPL
15.3,1974, Oct Average, Nepal, NPL
8.5,1974, Nov Average, Nepal, NPL
4.7,1974, Dec Average, Nepal, NPL
3.1,1975, Jan Average, Nepal, NPL
4.9,1975, Feb Average, Nepal, NPL
9.4,1975, Mar Average, Nepal, NPL
14.6,1975, Apr Average, Nepal, NPL
17.2,1975, May Average, Nepal, NPL
18.7,1975, Jun Average, Nepal, NPL
18.1,1975, Jul Average, Nepal, NPL
18.3,1975, Aug Average, Nepal, NPL
16.8,1975, Sep Average, Nepal, NPL
15,1975, Oct Average, Nepal, NPL
8.6,1975, Nov Average, Nepal, NPL
5.3,1975, Dec Average, Nepal, NPL
4.1,1976, Jan Average, Nepal, NPL
6.2,1976, Feb Average, Nepal, NPL
10.2,1976, Mar Average, Nepal, NPL
13.8,1976, Apr Average, Nepal, NPL
16.4,1976, May Average, Nepal, NPL
18,1976, Jun Average, Nepal, NPL
18.5,1976, Jul Average, Nepal, NPL
17.7,1976, Aug Average, Nepal, NPL
16.6,1976, Sep Average, Nepal, NPL
13.3,1976, Oct Average, Nepal, NPL
11.1,1976, Nov Average, Nepal, NPL
5.5,1976, Dec Average, Nepal, NPL
4.3,1977, Jan Average, Nepal, NPL
6.1,1977, Feb Average, Nepal, NPL
11.5,1977, Mar Average, Nepal, NPL
13.9,1977, Apr Average, Nepal, NPL
14.8,1977, May Average, Nepal, NPL
17.7,1977, Jun Average, Nepal, NPL
18.4,1977, Jul Average, Nepal, NPL
18.6,1977, Aug Average, Nepal, NPL
17,1977, Sep Average, Nepal, NPL
13.1,1977, Oct Average, Nepal, NPL
10.3,1977, Nov Average, Nepal, NPL
5.4,1977, Dec Average, Nepal, NPL
2.7,1978, Jan Average, Nepal, NPL
4.5,1978, Feb Average, Nepal, NPL
7.9,1978, Mar Average, Nepal, NPL
13.4,1978, Apr Average, Nepal, NPL
17.8,1978, May Average, Nepal, NPL
18.6,1978, Jun Average, Nepal, NPL
18.4,1978, Jul Average, Nepal, NPL
18.2,1978, Aug Average, Nepal, NPL
16.7,1978, Sep Average, Nepal, NPL
13.8,1978, Oct Average, Nepal, NPL
9.4,1978, Nov Average, Nepal, NPL
5.5,1978, Dec Average, Nepal, NPL
4.2,1979, Jan Average, Nepal, NPL
4.1,1979, Feb Average, Nepal, NPL
9.2,1979, Mar Average, Nepal, NPL
14.8,1979, Apr Average, Nepal, NPL
17.3,1979, May Average, Nepal, NPL
18.8,1979, Jun Average, Nepal, NPL
18.9,1979, Jul Average, Nepal, NPL
18.9,1979, Aug Average, Nepal, NPL
16.8,1979, Sep Average, Nepal, NPL
14.1,1979, Oct Average, Nepal, NPL
11.4,1979, Nov Average, Nepal, NPL
6,1979, Dec Average, Nepal, NPL
4,1980, Jan Average, Nepal, NPL
6.2,1980, Feb Average, Nepal, NPL
9.4,1980, Mar Average, Nepal, NPL
15.4,1980, Apr Average, Nepal, NPL
17.3,1980, May Average, Nepal, NPL
18.3,1980, Jun Average, Nepal, NPL
18.6,1980, Jul Average, Nepal, NPL
18.6,1980, Aug Average, Nepal, NPL
17.6,1980, Sep Average, Nepal, NPL
13.3,1980, Oct Average, Nepal, NPL
9.2,1980, Nov Average, Nepal, NPL
6.4,1980, Dec Average, Nepal, NPL
3.3,1981, Jan Average, Nepal, NPL
6.2,1981, Feb Average, Nepal, NPL
9.2,1981, Mar Average, Nepal, NPL
13.8,1981, Apr Average, Nepal, NPL
16.4,1981, May Average, Nepal, NPL
19.1,1981, Jun Average, Nepal, NPL
18.7,1981, Jul Average, Nepal, NPL
19,1981, Aug Average, Nepal, NPL
17.3,1981, Sep Average, Nepal, NPL
13.8,1981, Oct Average, Nepal, NPL
8.3,1981, Nov Average, Nepal, NPL
4.7,1981, Dec Average, Nepal, NPL
4.7,1982, Jan Average, Nepal, NPL
4.9,1982, Feb Average, Nepal, NPL
8.4,1982, Mar Average, Nepal, NPL
13.5,1982, Apr Average, Nepal, NPL
15.7,1982, May Average, Nepal, NPL
18.3,1982, Jun Average, Nepal, NPL
19.9,1982, Jul Average, Nepal, NPL
18.8,1982, Aug Average, Nepal, NPL
17.4,1982, Sep Average, Nepal, NPL
13.2,1982, Oct Average, Nepal, NPL
8.8,1982, Nov Average, Nepal, NPL
5.9,1982, Dec Average, Nepal, NPL
3.2,1983, Jan Average, Nepal, NPL
4.3,1983, Feb Average, Nepal, NPL
9.2,1983, Mar Average, Nepal, NPL
12.2,1983, Apr Average, Nepal, NPL
15.6,1983, May Average, Nepal, NPL
18.6,1983, Jun Average, Nepal, NPL
19.2,1983, Jul Average, Nepal, NPL
19,1983, Aug Average, Nepal, NPL
17.7,1983, Sep Average, Nepal, NPL
13.5,1983, Oct Average, Nepal, NPL
8.1,1983, Nov Average, Nepal, NPL
5.3,1983, Dec Average, Nepal, NPL
3.7,1984, Jan Average, Nepal, NPL
5.1,1984, Feb Average, Nepal, NPL
11.6,1984, Mar Average, Nepal, NPL
14.5,1984, Apr Average, Nepal, NPL
18.2,1984, May Average, Nepal, NPL
18.7,1984, Jun Average, Nepal, NPL
18.2,1984, Jul Average, Nepal, NPL
18.1,1984, Aug Average, Nepal, NPL
16.4,1984, Sep Average, Nepal, NPL
14.4,1984, Oct Average, Nepal, NPL
8,1984, Nov Average, Nepal, NPL
6.9,1984, Dec Average, Nepal, NPL
3.8,1985, Jan Average, Nepal, NPL
6.1,1985, Feb Average, Nepal, NPL
12.5,1985, Mar Average, Nepal, NPL
15.1,1985, Apr Average, Nepal, NPL
17,1985, May Average, Nepal, NPL
19.1,1985, Jun Average, Nepal, NPL
17.8,1985, Jul Average, Nepal, NPL
18.9,1985, Aug Average, Nepal, NPL
17.1,1985, Sep Average, Nepal, NPL
13,1985, Oct Average, Nepal, NPL
9,1985, Nov Average, Nepal, NPL
6.5,1985, Dec Average, Nepal, NPL
4.5,1986, Jan Average, Nepal, NPL
5.4,1986, Feb Average, Nepal, NPL
9.7,1986, Mar Average, Nepal, NPL
13.6,1986, Apr Average, Nepal, NPL
15.1,1986, May Average, Nepal, NPL
18.9,1986, Jun Average, Nepal, NPL
18.2,1986, Jul Average, Nepal, NPL
18.5,1986, Aug Average, Nepal, NPL
16.9,1986, Sep Average, Nepal, NPL
12.4,1986, Oct Average, Nepal, NPL
9.4,1986, Nov Average, Nepal, NPL
4.6,1986, Dec Average, Nepal, NPL
3.7,1987, Jan Average, Nepal, NPL
6.3,1987, Feb Average, Nepal, NPL
10.2,1987, Mar Average, Nepal, NPL
14.1,1987, Apr Average, Nepal, NPL
15.6,1987, May Average, Nepal, NPL
19.5,1987, Jun Average, Nepal, NPL
19.2,1987, Jul Average, Nepal, NPL
18.1,1987, Aug Average, Nepal, NPL
17.7,1987, Sep Average, Nepal, NPL
13.5,1987, Oct Average, Nepal, NPL
9.3,1987, Nov Average, Nepal, NPL
5.7,1987, Dec Average, Nepal, NPL
5.4,1988, Jan Average, Nepal, NPL
6.8,1988, Feb Average, Nepal, NPL
10.3,1988, Mar Average, Nepal, NPL
14.8,1988, Apr Average, Nepal, NPL
17.7,1988, May Average, Nepal, NPL
18.2,1988, Jun Average, Nepal, NPL
18.6,1988, Jul Average, Nepal, NPL
18.3,1988, Aug Average, Nepal, NPL
17.7,1988, Sep Average, Nepal, NPL
13.8,1988, Oct Average, Nepal, NPL
8.9,1988, Nov Average, Nepal, NPL
6.4,1988, Dec Average, Nepal, NPL
3.2,1989, Jan Average, Nepal, NPL
5.4,1989, Feb Average, Nepal, NPL
10.1,1989, Mar Average, Nepal, NPL
14.1,1989, Apr Average, Nepal, NPL
17.1,1989, May Average, Nepal, NPL
18.2,1989, Jun Average, Nepal, NPL
18.8,1989, Jul Average, Nepal, NPL
18.1,1989, Aug Average, Nepal, NPL
17.7,1989, Sep Average, Nepal, NPL
14,1989, Oct Average, Nepal, NPL
8.8,1989, Nov Average, Nepal, NPL
4.7,1989, Dec Average, Nepal, NPL
5.9,1990, Jan Average, Nepal, NPL
5.5,1990, Feb Average, Nepal, NPL
8.6,1990, Mar Average, Nepal, NPL
13.6,1990, Apr Average, Nepal, NPL
16.6,1990, May Average, Nepal, NPL
19.3,1990, Jun Average, Nepal, NPL
18.3,1990, Jul Average, Nepal, NPL
18.4,1990, Aug Average, Nepal, NPL
17.2,1990, Sep Average, Nepal, NPL
13.3,1990, Oct Average, Nepal, NPL
9.8,1990, Nov Average, Nepal, NPL
5.9,1990, Dec Average, Nepal, NPL
