FID,id_punto,agno,temp_max_anual,geom
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cba,40340,2007,6.51,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cbb,40340,2008,5.93,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cbc,40340,2009,6.21,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cbd,40340,2010,6.57,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cbe,40340,2011,5.64,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cbf,40340,2012,5.6,POINT (9211687.863143386 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc0,40341,2001,6.25,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc1,40341,2002,6.13,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc2,40341,2003,6.17,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc3,40341,2004,6.66,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc4,40341,2005,6,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc5,40341,2006,6.48,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc6,40341,2007,6.9,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc7,40341,2008,6.3,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc8,40341,2009,6.63,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cc9,40341,2010,6.98,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cca,40341,2011,6.02,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ccb,40341,2012,5.98,POINT (9267347.608540025 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ccc,40342,2001,4.7,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ccd,40342,2002,4.47,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cce,40342,2003,4.6,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ccf,40342,2004,5.03,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd0,40342,2005,4.42,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd1,40342,2006,4.85,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd2,40342,2007,5.25,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd3,40342,2008,4.61,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd4,40342,2009,5.03,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd5,40342,2010,5.38,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd6,40342,2011,4.39,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd7,40342,2012,4.34,POINT (9323007.353936663 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd8,40343,2001,3.03,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cd9,40343,2002,2.76,POINT (9378667.099333297 3535725.659799159)
