FID,id_punto,agno,temp_anual,geom
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c92,40336,2007,-0.36,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c93,40336,2008,-0.53,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c94,40336,2009,-0.25,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c95,40336,2010,-0.16,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c96,40336,2011,-0.77,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c97,40336,2012,-0.75,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c98,40336,2013,-5.53,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c99,40336,2014,-3.59,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c9a,40336,2015,-2.77,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c9b,40336,2016,-2.12,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c9c,40336,2017,-2.64,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c9d,40336,2018,-3.18,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c9e,40336,2019,-3.27,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4c9f,40336,2020,-3.48,POINT (8989048.88155684 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca0,40337,2001,-3.68,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca1,40337,2002,-3.65,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca2,40337,2003,-3.92,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca3,40337,2004,-3.27,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca4,40337,2005,-3.9,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca5,40337,2006,-3.23,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca6,40337,2007,-3.35,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca7,40337,2008,-3.54,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca8,40337,2009,-3.36,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ca9,40337,2010,-3.2,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4caa,40337,2011,-3.8,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cab,40337,2012,-3.75,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cac,40337,2013,-9.62,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cad,40337,2014,-7.67,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cae,40337,2015,-6.75,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4caf,40337,2016,-6.1,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb0,40337,2017,-6.67,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb1,40337,2018,-7.23,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb2,40337,2019,-7.31,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb3,40337,2020,-7.5,POINT (9044708.626953477 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb4,40338,2001,-1.1,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb5,40338,2002,-1.1,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb6,40338,2003,-1.35,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb7,40338,2004,-0.75,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb8,40338,2005,-1.33,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cb9,40338,2006,-0.7,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cba,40338,2007,-0.75,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cbb,40338,2008,-0.95,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cbc,40338,2009,-0.85,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cbd,40338,2010,-0.63,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cbe,40338,2011,-1.23,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cbf,40338,2012,-1.16,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc0,40338,2013,-6.61,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc1,40338,2014,-4.85,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc2,40338,2015,-3.89,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc3,40338,2016,-3.26,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc4,40338,2017,-3.84,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc5,40338,2018,-4.41,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc6,40338,2019,-4.5,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc7,40338,2020,-4.65,POINT (9100368.372350115 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc8,40339,2001,-2.49,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cc9,40339,2002,-2.52,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cca,40339,2003,-2.75,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ccb,40339,2004,-2.19,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ccc,40339,2005,-2.71,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ccd,40339,2006,-2.13,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cce,40339,2007,-2.11,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ccf,40339,2008,-2.3,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd0,40339,2009,-2.33,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd1,40339,2010,-2.03,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd2,40339,2011,-2.61,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd3,40339,2012,-2.51,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd4,40339,2013,-7.24,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd5,40339,2014,-5.86,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd6,40339,2015,-4.9,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd7,40339,2016,-4.3,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd8,40339,2017,-4.87,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cd9,40339,2018,-5.41,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cda,40339,2019,-5.52,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cdb,40339,2020,-5.7,POINT (9156028.117746752 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cdc,40340,2001,-1.03,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cdd,40340,2002,-1.1,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cde,40340,2003,-1.28,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cdf,40340,2004,-0.79,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce0,40340,2005,-1.25,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce1,40340,2006,-0.74,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce2,40340,2007,-0.68,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce3,40340,2008,-0.9,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce4,40340,2009,-0.92,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce5,40340,2010,-0.6,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce6,40340,2011,-1.18,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce7,40340,2012,-1.1,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce8,40340,2013,-3.63,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ce9,40340,2014,-2.87,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cea,40340,2015,-1.98,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ceb,40340,2016,-1.4,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cec,40340,2017,-1.93,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4ced,40340,2018,-2.47,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cee,40340,2019,-2.56,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cef,40340,2020,-2.76,POINT (9211687.863143386 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf0,40341,2001,-0.69,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf1,40341,2002,-0.8,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf2,40341,2003,-0.94,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf3,40341,2004,-0.49,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf4,40341,2005,-0.95,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf5,40341,2006,-0.47,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf6,40341,2007,-0.42,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf7,40341,2008,-0.66,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf8,40341,2009,-0.65,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cf9,40341,2010,-0.34,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cfa,40341,2011,-0.95,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cfb,40341,2012,-0.88,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cfc,40341,2013,-1.08,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cfd,40341,2014,-0.84,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cfe,40341,2015,-0.26,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4cff,40341,2016,0.28,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d00,40341,2017,-0.09,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d01,40341,2018,-0.5,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d02,40341,2019,-0.6,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d03,40341,2020,-0.9,POINT (9267347.608540025 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d04,40342,2001,-2.4,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d05,40342,2002,-2.58,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d06,40342,2003,-2.67,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d07,40342,2004,-2.26,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d08,40342,2005,-2.68,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d09,40342,2006,-2.27,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d0a,40342,2007,-2.23,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d0b,40342,2008,-2.51,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d0c,40342,2009,-2.45,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d0d,40342,2010,-2.1,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d0e,40342,2011,-2.76,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d0f,40342,2012,-2.74,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d10,40342,2013,-2.87,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d11,40342,2014,-3.4,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d12,40342,2015,-3.46,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d13,40342,2016,-3.2,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d14,40342,2017,-3.31,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d15,40342,2018,-3.21,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d16,40342,2019,-3.05,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d17,40342,2020,-3.35,POINT (9323007.353936663 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d18,40343,2001,-4.21,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d19,40343,2002,-4.4,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d1a,40343,2003,-4.51,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d1b,40343,2004,-4.14,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d1c,40343,2005,-4.51,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d1d,40343,2006,-4.14,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d1e,40343,2007,-4.09,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d1f,40343,2008,-4.4,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d20,40343,2009,-4.27,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d21,40343,2010,-3.94,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d22,40343,2011,-4.65,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d23,40343,2012,-4.67,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d24,40343,2013,-5.56,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d25,40343,2014,-6.09,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d26,40343,2015,-6.19,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d27,40343,2016,-6.25,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d28,40343,2017,-6.19,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d29,40343,2018,-5.85,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d2a,40343,2019,-5.58,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d2b,40343,2020,-5.74,POINT (9378667.099333297 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d2c,40344,2001,-4.2,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d2d,40344,2002,-4.36,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d2e,40344,2003,-4.48,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d2f,40344,2004,-4.15,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d30,40344,2005,-4.48,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d31,40344,2006,-4.14,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d32,40344,2007,-4.06,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d33,40344,2008,-4.42,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d34,40344,2009,-4.22,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d35,40344,2010,-3.93,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d36,40344,2011,-4.64,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d37,40344,2012,-4.68,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d38,40344,2013,-7.16,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d39,40344,2014,-7.69,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d3a,40344,2015,-7.94,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d3b,40344,2016,-7.98,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d3c,40344,2017,-7.99,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d3d,40344,2018,-7.6,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d3e,40344,2019,-7.32,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d3f,40344,2020,-7.26,POINT (9434326.844729934 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d40,40345,2001,-4.74,POINT (9489986.590126572 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d41,40345,2002,-4.95,POINT (9489986.590126572 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d42,40345,2003,-5.07,POINT (9489986.590126572 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d43,40345,2004,-4.76,POINT (9489986.590126572 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d44,40345,2005,-5.06,POINT (9489986.590126572 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_4d45,40345,2006,-4.73,POINT (9489986.590126572 3535725.659799159)
