FID,id_punto,agno,etp_anual,geom
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78aa,40339,2003,735,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ab,40339,2004,771,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ac,40339,2005,756,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ad,40339,2006,759,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ae,40339,2007,777,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78af,40339,2008,762,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b0,40339,2009,765,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b1,40339,2010,759,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b2,40339,2011,753,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b3,40339,2012,762,POINT (9156028.117746752 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b4,40340,2001,795,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b5,40340,2002,774,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b6,40340,2003,786,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b7,40340,2004,807,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b8,40340,2005,798,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78b9,40340,2006,807,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ba,40340,2007,828,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78bb,40340,2008,801,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78bc,40340,2009,816,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78bd,40340,2010,822,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78be,40340,2011,798,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78bf,40340,2012,807,POINT (9211687.863143386 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c0,40341,2001,804,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c1,40341,2002,783,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c2,40341,2003,795,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c3,40341,2004,816,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c4,40341,2005,804,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c5,40341,2006,813,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c6,40341,2007,834,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c7,40341,2008,813,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c8,40341,2009,819,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78c9,40341,2010,831,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ca,40341,2011,804,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78cb,40341,2012,813,POINT (9267347.608540025 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78cc,40342,2001,741,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78cd,40342,2002,720,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ce,40342,2003,738,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78cf,40342,2004,753,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d0,40342,2005,741,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d1,40342,2006,738,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d2,40342,2007,765,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d3,40342,2008,744,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d4,40342,2009,753,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d5,40342,2010,759,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d6,40342,2011,735,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d7,40342,2012,747,POINT (9323007.353936663 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d8,40343,2001,675,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78d9,40343,2002,651,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78da,40343,2003,672,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78db,40343,2004,687,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78dc,40343,2005,672,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78dd,40343,2006,672,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78de,40343,2007,699,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78df,40343,2008,681,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e0,40343,2009,696,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e1,40343,2010,702,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e2,40343,2011,666,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e3,40343,2012,687,POINT (9378667.099333297 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e4,40344,2001,681,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e5,40344,2002,651,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e6,40344,2003,666,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e7,40344,2004,678,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e8,40344,2005,663,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78e9,40344,2006,675,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ea,40344,2007,702,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78eb,40344,2008,681,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ec,40344,2009,696,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ed,40344,2010,699,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ee,40344,2011,669,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ef,40344,2012,684,POINT (9434326.844729934 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f0,40345,2001,663,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f1,40345,2002,627,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f2,40345,2003,648,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f3,40345,2004,654,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f4,40345,2005,642,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f5,40345,2006,648,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f6,40345,2007,672,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f7,40345,2008,654,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f8,40345,2009,678,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78f9,40345,2010,669,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78fa,40345,2011,654,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78fb,40345,2012,663,POINT (9489986.590126572 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78fc,40346,2001,699,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78fd,40346,2002,675,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78fe,40346,2003,693,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_78ff,40346,2004,690,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7900,40346,2005,675,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7901,40346,2006,681,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7902,40346,2007,711,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7903,40346,2008,684,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7904,40346,2009,720,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7905,40346,2010,708,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7906,40346,2011,687,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7907,40346,2012,705,POINT (9545646.335523209 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7908,40347,2001,765,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7909,40347,2002,735,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_790a,40347,2003,753,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_790b,40347,2004,750,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_790c,40347,2005,732,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_790d,40347,2006,744,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_790e,40347,2007,768,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_790f,40347,2008,738,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7910,40347,2009,771,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7911,40347,2010,774,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7912,40347,2011,741,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7913,40347,2012,756,POINT (9601306.080919845 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7914,40348,2001,777,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7915,40348,2002,750,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7916,40348,2003,774,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7917,40348,2004,768,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7918,40348,2005,756,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7919,40348,2006,753,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_791a,40348,2007,789,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_791b,40348,2008,759,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_791c,40348,2009,795,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_791d,40348,2010,786,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_791e,40348,2011,762,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_791f,40348,2012,777,POINT (9656965.826316481 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7920,40349,2001,753,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7921,40349,2002,729,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7922,40349,2003,750,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7923,40349,2004,753,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7924,40349,2005,729,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7925,40349,2006,729,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7926,40349,2007,768,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7927,40349,2008,738,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7928,40349,2009,768,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7929,40349,2010,759,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_792a,40349,2011,741,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_792b,40349,2012,756,POINT (9712625.57171312 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_792c,40350,2001,714,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_792d,40350,2002,687,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_792e,40350,2003,699,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_792f,40350,2004,705,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7930,40350,2005,687,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7931,40350,2006,690,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7932,40350,2007,729,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7933,40350,2008,690,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7934,40350,2009,735,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7935,40350,2010,711,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7936,40350,2011,699,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7937,40350,2012,720,POINT (9768285.317109756 3535725.659799159)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7938,40665,2001,1161,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7939,40665,2002,1152,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_793a,40665,2003,1119,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_793b,40665,2004,1179,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_793c,40665,2005,1161,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_793d,40665,2006,1176,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_793e,40665,2007,1179,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_793f,40665,2008,1116,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7940,40665,2009,1200,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7941,40665,2010,1158,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7942,40665,2011,1122,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7943,40665,2012,1143,POINT (8933389.136160204 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7944,40666,2001,1047,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7945,40666,2002,1032,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7946,40666,2003,1005,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7947,40666,2004,1056,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7948,40666,2005,1044,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7949,40666,2006,1053,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_794a,40666,2007,1053,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_794b,40666,2008,1011,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_794c,40666,2009,1071,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_794d,40666,2010,1041,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_794e,40666,2011,1011,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_794f,40666,2012,1026,POINT (8989048.88155684 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7950,40667,2001,918,POINT (9044708.626953477 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7951,40667,2002,903,POINT (9044708.626953477 3471454.9819268296)
etp_anual_espacial_p.fid--5ff12b53_17a374f8fe9_7952,40667,2003,891,POINT (9044708.626953477 3471454.9819268296)
