FID,id_punto,agno,anomalia_temp_min_anual,geom
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c1,40341,2002,1.44,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c2,40341,2003,1.08,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c3,40341,2004,1.51,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c4,40341,2005,1.21,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c5,40341,2006,1.71,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c6,40341,2007,1.4,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c7,40341,2008,1.52,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c8,40341,2009,1.18,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66c9,40341,2010,1.49,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ca,40341,2011,1.2,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66cb,40341,2012,1.38,POINT (9267347.608540025 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66cc,40342,2001,1.57,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66cd,40342,2002,1.45,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ce,40342,2003,1.12,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66cf,40342,2004,1.53,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d0,40342,2005,1.28,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d1,40342,2006,1.68,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d2,40342,2007,1.36,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d3,40342,2008,1.43,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d4,40342,2009,1.14,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d5,40342,2010,1.47,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d6,40342,2011,1.15,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d7,40342,2012,1.24,POINT (9323007.353936663 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d8,40343,2001,1.56,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66d9,40343,2002,1.44,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66da,40343,2003,1.1,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66db,40343,2004,1.49,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66dc,40343,2005,1.31,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66dd,40343,2006,1.64,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66de,40343,2007,1.29,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66df,40343,2008,1.34,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e0,40343,2009,1.08,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e1,40343,2010,1.43,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e2,40343,2011,1.06,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e3,40343,2012,1.09,POINT (9378667.099333297 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e4,40344,2001,1.5,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e5,40344,2002,1.4,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e6,40344,2003,1.08,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e7,40344,2004,1.44,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e8,40344,2005,1.31,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66e9,40344,2006,1.58,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ea,40344,2007,1.24,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66eb,40344,2008,1.27,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ec,40344,2009,1.04,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ed,40344,2010,1.33,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ee,40344,2011,0.99,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ef,40344,2012,0.98,POINT (9434326.844729934 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f0,40345,2001,1.5,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f1,40345,2002,1.38,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f2,40345,2003,1.04,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f3,40345,2004,1.41,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f4,40345,2005,1.31,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f5,40345,2006,1.56,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f6,40345,2007,1.18,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f7,40345,2008,1.16,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f8,40345,2009,1.01,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66f9,40345,2010,1.28,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66fa,40345,2011,0.92,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66fb,40345,2012,0.84,POINT (9489986.590126572 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66fc,40346,2001,1.47,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66fd,40346,2002,1.28,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66fe,40346,2003,1,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_66ff,40346,2004,1.38,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6700,40346,2005,1.33,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6701,40346,2006,1.51,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6702,40346,2007,1.13,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6703,40346,2008,1.06,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6704,40346,2009,0.96,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6705,40346,2010,1.28,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6706,40346,2011,0.87,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6707,40346,2012,0.69,POINT (9545646.335523209 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6708,40347,2001,1.45,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6709,40347,2002,1.25,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_670a,40347,2003,0.97,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_670b,40347,2004,1.37,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_670c,40347,2005,1.32,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_670d,40347,2006,1.45,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_670e,40347,2007,1.08,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_670f,40347,2008,0.99,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6710,40347,2009,0.91,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6711,40347,2010,1.17,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6712,40347,2011,0.78,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6713,40347,2012,0.6,POINT (9601306.080919845 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6714,40348,2001,1.42,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6715,40348,2002,1.23,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6716,40348,2003,0.98,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6717,40348,2004,1.39,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6718,40348,2005,1.35,POINT (9656965.826316481 3535725.659799159)
