Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
34.091206, 2060-2079, giss_e2_r, Aug Average, Nepal, NPL
32.707367, 2060-2079, giss_e2_r, Sep Average, Nepal, NPL
29.178957, 2060-2079, giss_e2_r, Oct Average, Nepal, NPL
24.60739, 2060-2079, giss_e2_r, Nov Average, Nepal, NPL
21.129847, 2060-2079, giss_e2_r, Dec Average, Nepal, NPL
12.789535, 2060-2079, ipsl_cm5a_mr, Jan Average, Nepal, NPL
15.517943, 2060-2079, ipsl_cm5a_mr, Feb Average, Nepal, NPL
20.037502, 2060-2079, ipsl_cm5a_mr, Mar Average, Nepal, NPL
24.340601, 2060-2079, ipsl_cm5a_mr, Apr Average, Nepal, NPL
27.856277, 2060-2079, ipsl_cm5a_mr, May Average, Nepal, NPL
29.317854, 2060-2079, ipsl_cm5a_mr, Jun Average, Nepal, NPL
29.321823, 2060-2079, ipsl_cm5a_mr, Jul Average, Nepal, NPL
27.408129, 2060-2079, ipsl_cm5a_mr, Aug Average, Nepal, NPL
26.359808, 2060-2079, ipsl_cm5a_mr, Sep Average, Nepal, NPL
22.863514, 2060-2079, ipsl_cm5a_mr, Oct Average, Nepal, NPL
18.164492, 2060-2079, ipsl_cm5a_mr, Nov Average, Nepal, NPL
13.989898, 2060-2079, ipsl_cm5a_mr, Dec Average, Nepal, NPL
5.9058213, 2060-2079, miroc_esm, Jan Average, Nepal, NPL
7.602818, 2060-2079, miroc_esm, Feb Average, Nepal, NPL
11.838134, 2060-2079, miroc_esm, Mar Average, Nepal, NPL
16.908838, 2060-2079, miroc_esm, Apr Average, Nepal, NPL
20.702381, 2060-2079, miroc_esm, May Average, Nepal, NPL
20.5611, 2060-2079, miroc_esm, Jun Average, Nepal, NPL
19.253944, 2060-2079, miroc_esm, Jul Average, Nepal, NPL
18.516317, 2060-2079, miroc_esm, Aug Average, Nepal, NPL
18.346733, 2060-2079, miroc_esm, Sep Average, Nepal, NPL
16.309345, 2060-2079, miroc_esm, Oct Average, Nepal, NPL
11.845706, 2060-2079, miroc_esm, Nov Average, Nepal, NPL
7.4710174, 2060-2079, miroc_esm, Dec Average, Nepal, NPL
6.2603335, 2060-2079, miroc_esm_chem, Jan Average, Nepal, NPL
7.62285, 2060-2079, miroc_esm_chem, Feb Average, Nepal, NPL
11.172619, 2060-2079, miroc_esm_chem, Mar Average, Nepal, NPL
16.119038, 2060-2079, miroc_esm_chem, Apr Average, Nepal, NPL
20.559448, 2060-2079, miroc_esm_chem, May Average, Nepal, NPL
20.583075, 2060-2079, miroc_esm_chem, Jun Average, Nepal, NPL
19.499226, 2060-2079, miroc_esm_chem, Jul Average, Nepal, NPL
18.440384, 2060-2079, miroc_esm_chem, Aug Average, Nepal, NPL
18.427761, 2060-2079, miroc_esm_chem, Sep Average, Nepal, NPL
16.103758, 2060-2079, miroc_esm_chem, Oct Average, Nepal, NPL
11.804227, 2060-2079, miroc_esm_chem, Nov Average, Nepal, NPL
7.587331, 2060-2079, miroc_esm_chem, Dec Average, Nepal, NPL
11.300133, 2060-2079, miroc5, Jan Average, Nepal, NPL
13.947603, 2060-2079, miroc5, Feb Average, Nepal, NPL
18.109707, 2060-2079, miroc5, Mar Average, Nepal, NPL
24.480362, 2060-2079, miroc5, Apr Average, Nepal, NPL
27.703829, 2060-2079, miroc5, May Average, Nepal, NPL
27.421015, 2060-2079, miroc5, Jun Average, Nepal, NPL
24.37848, 2060-2079, miroc5, Jul Average, Nepal, NPL
23.582209, 2060-2079, miroc5, Aug Average, Nepal, NPL
22.813911, 2060-2079, miroc5, Sep Average, Nepal, NPL
20.717842, 2060-2079, miroc5, Oct Average, Nepal, NPL
16.72578, 2060-2079, miroc5, Nov Average, Nepal, NPL
12.526338, 2060-2079, miroc5, Dec Average, Nepal, NPL
9.502135, 2060-2079, mri_cgcm3, Jan Average, Nepal, NPL
12.991777, 2060-2079, mri_cgcm3, Feb Average, Nepal, NPL
18.224808, 2060-2079, mri_cgcm3, Mar Average, Nepal, NPL
