 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1985    21.6    18.7    15.3    13.2    11.7     8.0     6.9     6.0     8.7    13.9    16.8    19.5    40.2    20.9    39.3    60.2   160.3
 1986    21.8    18.9    17.0    13.8    12.9     8.6     6.8     6.8     9.4    14.2    16.6    21.2    43.8    22.3    40.2    61.7   168.2
 1987    22.6    18.0    16.7    13.6    12.8     7.9     5.9     6.6     8.5    13.6    17.0    20.7    43.0    20.5    39.2    59.6   163.9
 1988    20.7    18.2    16.5    13.3    11.4     8.7     5.9     6.2     8.7    14.0    17.1    19.8    41.1    20.8    39.8    60.3   160.4
 1989    22.4    18.1    16.5    13.8    11.6     8.6     6.6     6.7     8.3    13.5    16.8    21.3    41.9    21.9    38.6    59.9   164.2
 1990    20.5    18.1    17.7    13.8    11.7     7.8     6.3     6.5     8.5    13.8    16.6    20.2    43.1    20.5    38.9    60.8   161.5
 1991    22.9    17.6    16.6    13.8    11.8     8.5     5.5     6.7     9.0    14.1    17.7    20.9    42.3    20.7    40.8    63.4   165.1
 1992    22.0    20.6    15.7    13.6    12.5     8.9     6.7     6.8     9.5    13.9    17.3    21.0    41.7    22.5    40.6    58.9   168.4
 1993    20.3    17.6    18.1    14.1    11.9     8.3     6.3     6.3     9.0    13.4    16.8    20.4    44.1    20.9    39.3    59.8   162.6
 1994    20.8    18.7    16.0    13.9    11.6     7.9     6.6     6.4     8.4    14.2    16.8    20.1    41.5    21.0    39.4    61.1   161.4
 1995    23.0    18.0    16.6    13.9    10.9     7.3     5.8     6.5     8.6    13.4    16.9    19.3    41.4    19.7    38.9    59.0   160.2
 1996    20.6    19.1    15.7    13.7    11.4     8.6     5.7     6.9     8.7    13.3    16.4    21.5    40.8    21.3    38.4    63.3   161.5
 1997    22.8    19.0    16.5    14.1    12.2     8.4     6.2     6.8     8.8    14.6    16.5    20.4    42.8    21.4    39.9    60.4   166.3
 1998    21.9    18.1    17.3    13.5    11.2     7.3     5.8     5.8     8.2    12.5    15.6    20.0    42.0    18.8    36.3    59.0   157.1
 1999    21.9    17.1    15.9    12.9    10.8     7.9     6.3     6.1     8.4    12.8    15.5    19.4    39.7    20.3    36.8    60.0   155.1
 2000    20.8    19.8    17.2    13.1    11.1     7.7     5.6     6.0     8.9    13.2    15.6    20.1    41.5    19.3    37.6    58.3   159.1
 2001    20.9    17.3    16.8    13.6    11.4     8.2     5.8     5.7     8.4    12.8    16.2    19.7    41.8    19.7    37.4    59.3   156.8
 2002    21.7    17.9    16.4    13.1    11.4     7.8     5.1     6.0     9.0    13.6    16.2    19.2    40.9    18.9    38.8    59.5   157.5
 2003    22.1    18.2    16.8    13.1    12.1     7.4     5.9     5.5     8.1    13.2    16.0    19.9    42.0    18.8    37.4    60.7   158.4
 2004    21.4    19.3    15.3    12.7    11.1     8.2     5.8     6.1     8.6    13.7    16.8    19.2    39.1    20.1    39.0    56.7   158.1
 2005    20.3    17.1    15.5    13.5    12.1     7.4     5.7     5.5     8.3    13.2    16.5    20.8    41.2    18.6    38.0    56.5   156.1
 2006    19.6    16.0    16.3    13.3    11.0     7.8     5.9     5.8     8.6    13.0    15.2    19.2    40.6    19.4    36.8    58.1   151.6
 2007    20.9    18.1    16.7    12.9    11.2     8.3     5.5     5.6     7.8    12.8    16.3    19.4    40.8    19.4    36.9    58.3   155.5
 2008    19.1    19.8    15.8    13.3    11.0     7.7     6.1     6.3     8.8    13.6    16.2    19.1    40.1    20.2    38.6    55.9   156.9
 2009    19.9    16.9    15.9    12.9    11.3     7.7     5.4     5.9     8.8    13.3    15.7    19.1    40.1    19.0    37.8    60.0   152.9
 2010    22.6    18.3    15.1    12.2    11.0     7.4     5.1     5.2     7.9    12.7    15.2    20.4    38.3    17.7    35.8    60.0   153.0
 2011    21.4    18.1    15.7    13.5    10.9     8.0     5.4     6.3     8.2    13.5    16.3    19.3    40.1    19.7    37.9    59.5   156.6
 2012    22.2    18.0    16.3    13.2    11.1     6.6     5.3     6.0     8.5    14.0    17.2    20.0    40.6    17.9    39.8    61.3   158.5
 2013    22.5    18.8    16.5    13.3    10.8     7.5     5.2     6.4     8.6    12.8    17.0    20.1    40.6    19.1    38.4    60.3   159.4
 2014    21.6    18.6    16.8    13.4    12.0     7.3     5.1     5.8     8.6    13.5    16.4    19.9    42.2    18.2    38.4    60.3   158.8
 2015    22.1    18.3    16.9    13.6    11.0     7.5     6.1     5.8     8.7    13.3    16.0    20.0    41.5    19.5    38.0    59.4   159.4
 2016    21.7    17.6    15.5    12.7    11.3     7.3     5.5     5.3     8.2    12.8    16.0    18.7    39.5    18.2    36.9    56.9   152.7
 2017    20.9    17.3    16.5    12.8    11.1     8.1     5.4     5.4     7.8    12.8    16.1    18.5    40.4    18.9    36.8    56.3   152.8
 2018    21.0    16.8    15.8    13.2    11.4     7.3     5.2     5.4     8.3    13.6    16.2    20.6    40.4    17.9    38.1  -999.0   154.8
