 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1914     1.3     4.3     4.4     5.6     8.6    12.8    19.5    18.5    14.2     2.8     2.3     0.7    18.6    50.9    19.4     8.4    95.2
 1915     2.6     5.2     5.4     5.0     7.3    14.4    19.5    23.2    14.0     3.3     2.1     1.2    17.7    57.1    19.4     6.0   103.1
 1916     1.2     3.5     1.8     4.6     6.3    16.5    20.0    20.1    15.2     4.5     0.8     0.7    12.7    56.7    20.4     7.3    95.2
 1917     2.5     4.2     3.8     4.5    10.2    16.4    19.4    17.1    15.5     4.8     0.7     1.6    18.6    52.9    21.0     4.9   100.7
 1918     1.9     1.4     3.5     5.7     7.2    15.8    16.2    21.1    12.4     2.6     2.2     1.1    16.4    53.1    17.2     8.6    91.1
 1919     4.8     2.7     3.2     5.8     7.2    13.2    19.5    17.3    14.0     3.4     1.5     1.0    16.2    50.0    18.9     6.5    93.6
 1920     1.7     3.8     5.4     2.7     6.5    14.4    19.6    15.7    12.3     2.1     0.7     0.9    14.6    49.7    15.0     6.9    85.7
 1921     4.0     2.1     3.2     3.3     5.1    13.7    18.2    21.5    13.6     4.1     0.7     0.9    11.6    53.4    18.4     7.9    90.3
 1922     3.7     3.3     1.6     3.9     5.0    16.1    20.8    21.5    14.5     2.9     1.6     2.9    10.6    58.5    19.0    10.0    98.0
 1923     2.0     5.1     2.0     3.3     7.3    12.4    18.0    18.0    13.9     4.5     2.3     1.8    12.6    48.4    20.7     7.7    90.6
 1924     2.5     3.4     2.4     3.2     6.4    12.4    20.0    19.2    16.8     4.8     3.7     1.6    12.0    51.6    25.4     6.7    96.6
 1925     3.2     1.8     2.4     5.7     7.6    14.9    20.2    21.7    13.7     2.7     2.3     0.7    15.7    56.7    18.8     5.9    96.9
 1926     3.0     2.1     5.1     5.9     8.1    10.0    20.9    19.6    13.0     2.6     1.5     1.7    19.1    50.4    17.1     8.9    93.5
 1927     2.8     4.4     4.6     3.6     8.2    12.7    17.8    19.9    12.0     4.1     3.2     0.9    16.5    50.4    19.3     9.7    94.3
 1928     4.2     4.6     2.5     4.5     6.0    13.9    20.0    17.4     9.6     4.1     1.6     2.2    13.0    51.2    15.2     8.3    90.4
 1929     4.2     1.8     3.7     5.7     5.8    15.1    19.0    19.7    11.6     5.4     0.7     2.6    15.2    53.8    17.7     9.1    95.3
 1930     3.1     3.4     4.5     4.1     5.6    13.4    18.9    17.8    12.3     3.8     2.8     2.7    14.2    50.1    18.9     9.1    92.4
 1931     1.8     4.6     3.5     2.2     6.4    10.6    21.1    17.2    15.5     5.1     2.3     0.9    12.1    49.0    22.9     5.2    91.3
 1932     1.2     3.0     2.7     3.3     5.5    13.2    15.7    18.1    15.5     2.9     3.0     2.2    11.5    47.0    21.4     9.7    86.3
 1933     3.4     4.1     2.6     6.5     9.6    14.8    20.6    19.7    13.3     5.1     0.7     0.9    18.7    55.2    19.1     7.6   101.4
 1934     3.8     2.9     3.6     2.6     5.8    14.4    19.4    19.1    12.5     2.9     1.3     1.7    12.0    52.9    16.8     8.9    90.0
 1935     3.6     3.6     2.5     3.5     5.1    12.1    18.5    19.0    12.9     1.7     1.5     1.6    11.0    49.6    16.1     7.3    85.6
 1936     2.3     3.3     3.4     3.6     8.5    16.4    22.4    20.3    15.0     3.2     1.5     3.3    15.5    59.1    19.7    10.2   103.2
 1937     1.6     5.3     1.9     5.7     8.6    12.5    17.5    20.9    13.7     5.2     0.8     1.6    16.2    51.0    19.7     8.8    95.3
 1938     3.7     3.6     2.0     2.8     7.3    18.6    19.3    21.2    12.0     3.2     1.5     0.7    12.1    59.1    16.7     7.6    95.8
 1939     2.6     4.3     3.1     3.7     4.9    16.7    18.9    18.8    12.5     4.0     0.7     0.7    11.6    54.3    17.2     8.3    90.7
 1940     2.5     5.1     4.9     3.8     7.9    13.0    21.2    20.2    11.4     1.3     0.4     2.6    16.6    54.4    13.0     8.0    94.3
 1941     3.4     2.0     1.5     2.5     8.5    15.3    16.5    20.2    12.9     3.0     2.4     1.0    12.5    52.0    18.3     7.5    89.3
 1942     3.1     3.5     2.6     5.8     5.9    15.0    20.3    20.8    15.6     1.6     0.4     1.4    14.3    56.0    17.6     8.9    95.8
 1943     3.7     3.8     2.4     7.2     5.6    13.7    18.0    22.0    13.6     2.8     0.3     0.4    15.3    53.7    16.7     9.4    93.5
 1944     4.5     4.5     5.9     6.5     4.6    14.4    18.1    18.5    14.8     3.0     0.4     0.7    17.0    51.0    18.3     8.8    96.0
 1945     5.4     2.7     2.8     7.0     6.4    12.0    19.4    19.9    17.0     5.8     0.9     0.8    16.3    51.3    23.6     5.5   100.1
 1946     0.8     3.8     3.2     7.3     9.7    14.3    21.5    17.8    12.3     5.1     2.1     1.0    20.2    53.7    19.5     7.2    99.1
 1947     3.2     3.0     4.1     4.3     7.4    11.3    21.2    19.2    13.6     3.3     1.1     1.3    15.8    51.7    18.1     5.8    93.0
 1948     1.5     3.0     3.8     4.5     7.2    13.1    19.0    20.3    13.3     4.6     3.2     0.9    15.5    52.4    21.1     7.8    94.4
 1949     1.7     5.1     2.2     6.6     8.6    13.3    20.9    19.9    14.1     5.3     0.5     1.0    17.4    54.1    19.9     7.5    99.2
 1950     3.7     2.9     4.5     2.2     7.2    15.9    20.2    21.4    12.3     1.6     0.3     1.1    13.9    57.5    14.2     6.3    93.1
 1951     2.6     2.7     4.0     3.4     6.4    12.5    18.9    20.3    11.4     3.2     3.2     0.4    13.9    51.7    17.7     5.6    88.9
 1952     1.9     3.4     5.1     4.3     8.0    13.6    18.6    18.7    13.5     1.3     1.4     0.7    17.4    50.9    16.2     5.9    90.5
 1953     3.7     1.5     3.9     4.0     5.9    13.2    21.7    17.7    13.7     2.0     0.6     0.7    13.8    52.6    16.2     7.4    88.5
 1954     2.7     4.1     2.2     2.4     5.7    13.7    21.0    21.0    11.9     2.4     0.3     1.2    10.3    55.8    14.6     5.8    88.5
 1955     2.8     1.8     3.0     4.8     5.7    13.9    20.6    20.2    12.8     3.3     0.5     0.8    13.5    54.7    16.6     7.3    90.2
 1956     3.8     2.7     3.5     3.4     9.3    17.0    17.1    18.1    12.4     6.0     2.3     1.2    16.2    52.1    20.7     7.6    96.8
 1957     5.7     0.7     3.3     2.5     4.3    10.1    18.9    19.0     9.8     2.4     0.9     2.7    10.1    48.0    13.1     8.3    80.2
 1958     4.1     1.5     2.8     4.4     5.2    10.4    18.2    20.9    11.7     4.7     0.5     1.5    12.4    49.6    16.9     8.9    86.0
 1959     5.6     1.8     3.9     3.6     7.1    12.6    17.8    18.1    13.7     5.5     1.1     0.0    14.6    48.4    20.3     2.4    90.8
 1960     1.0     1.3     5.6     3.3     7.6    12.1    19.2    17.6    12.1     4.0     0.5     0.2    16.4    49.0    16.5     9.2    84.4
 1961     4.1     4.9     2.9     2.8     5.9    14.8    18.5    21.7    12.7     5.6     1.4     2.5    11.6    55.0    19.7    13.5    97.8
 1962     5.8     5.2     4.7     5.2     7.2    15.6    18.8    21.1    14.3     1.9     0.3     1.5    17.0    55.5    16.5     5.5   101.5
 1963     2.2     1.8     6.0     5.3     7.2    13.4    19.9    19.7    13.9     3.6     4.1     1.4    18.6    52.9    21.6     3.8    98.5
 1964     1.0     1.5     2.1     4.9     7.2    11.3    21.1    17.5    13.5     2.4     0.3     0.9    14.1    49.9    16.3     5.4    83.7
 1965     1.5     3.0     4.2     4.0     4.9    12.7    19.7    19.8     9.8     4.1     3.4     0.2    13.2    52.2    17.3     8.2    87.4
 1966     4.2     3.9     0.6     2.2     6.2    12.4    18.8    19.0    10.9     2.4     1.0     1.4     9.0    50.2    14.3     5.8    83.0
 1967     2.6     1.8     5.0     4.3     5.5    11.6    18.4    19.7    13.6     2.2     1.2     0.6    14.8    49.8    16.9     8.3    86.4
 1968     5.3     2.4     4.9     3.7     4.7    14.9    18.8    18.0    12.0     5.5     0.6     0.7    13.3    51.7    18.1     3.1    91.5
 1969     1.1     1.3     4.7     5.6     5.7    11.6    20.5    17.5    12.6     1.6     1.6     0.7    16.0    49.6    15.8     8.0    84.5
 1970     3.7     3.7     3.2     3.0     7.7    14.9    19.6    18.8    12.2     3.7     0.8     0.4    13.8    53.2    16.7     5.1    91.5
 1971     1.6     3.1     3.5     7.7     9.1    18.0    18.3    18.9    11.1     6.3     2.4     0.2    20.3    55.2    19.9     6.6   100.2
 1972     1.9     4.6     3.7     4.2     5.8    12.3    17.8    15.8    15.0     4.4     3.1     0.5    13.8    46.0    22.5    10.2    89.1
 1973     5.0     4.8     4.3     2.8     7.9    17.0    17.0    18.1    14.9     7.2     2.1     0.1    15.0    52.1    24.2     5.9   101.0
 1974     3.3     2.5     3.7     4.1     7.3    12.6    20.7    19.9    13.0     3.4     0.3     2.2    15.1    53.2    16.7    11.2    93.0
 1975     4.8     4.2     3.5     2.9     7.1    16.0    19.3    17.7    16.0     3.7     0.0     0.1    13.5    53.0    19.8     7.0    95.4
 1976     3.8     3.1     1.1     4.8     8.4    15.4    18.3    19.8    12.3     2.3     0.2     0.2    14.3    53.4    14.8     5.5    89.6
 1977     2.8     2.4     2.2     6.5     9.0    12.1    18.8    18.5    10.7     4.0     2.8     3.5    17.7    49.5    17.6    10.2    93.6
 1978     2.5     4.3     5.9     5.7     8.8    15.2    19.1    18.3    13.3     3.6     2.5     1.5    20.3    52.6    19.4     9.1   100.5
 1979     2.7     4.9     1.8     5.0     6.2    12.9    19.5    18.8     9.6     3.9     3.7     3.8    13.0    51.2    17.1     8.6    92.7
 1980     1.4     3.4     4.8     2.4     8.0    14.6    20.6    18.8    14.0     3.3     0.5     1.2    15.1    54.0    17.8     7.4    92.8
 1981     4.3     1.9     5.3     5.3     8.2    12.3    20.3    18.5    13.4     0.5     4.0     0.7    18.9    51.1    17.9     8.5    94.8
 1982     4.0     3.8     5.8     5.3     6.8    12.1    17.2    17.4    12.3     2.8     3.7     1.4    17.9    46.8    18.8     8.3    92.8
 1983     4.3     2.6     3.1     5.5     9.7    11.1    19.9    17.6    15.8     5.4     0.6     3.0    18.4    48.7    21.8    10.6    98.7
 1984     4.1     3.5     2.5     5.0     7.7    14.9    20.3    16.9    15.2     2.3     0.4     1.5    15.3    52.2    17.9     6.1    94.4
 1985     3.0     1.5     2.1     4.1     7.9    12.4    20.9    18.0    15.8     6.9     0.8     4.3    14.1    51.3    23.5     8.9    97.7
 1986     0.6     3.9     3.3     5.7     8.5    13.0    18.7    17.6    14.3     4.5     1.9     4.1    17.5    49.3    20.6    10.2    96.0
 1987     2.0     4.2     4.4     5.6     7.1    10.5    20.4    19.2    12.3     5.3     0.3     2.3    17.1    50.1    17.9     7.8    93.4
 1988     1.5     4.0     5.9     5.2     8.0    12.3    21.6    20.3    11.3     1.2     1.7     4.1    19.1    54.2    14.3    12.6    97.0
 1989     5.5     3.1     3.4     1.5     8.3    12.1    19.4    17.4    14.3     2.4     2.6     1.1    13.2    49.0    19.3     7.2    91.2
 1990     0.5     5.5     5.3     5.1     9.2    13.7    19.7    17.5    13.0     3.8     0.5     1.8    19.5    51.0    17.3     8.4    95.7
 1991     3.9     2.7     4.5     4.5     6.4    14.0    15.1    19.2    12.6     1.1     2.4     2.4    15.3    48.2    16.1     8.8    88.7
 1992     3.1     3.2     2.8     4.0     7.6    10.4    18.0    17.3    11.7     3.2     1.9     1.5    14.4    45.7    16.8     7.4    84.8
 1993     3.3     2.7     4.5     4.7     8.5    12.6    16.5    15.8    14.3     1.6     0.7     0.3    17.7    44.9    16.5     9.0    85.5
 1994     4.2     4.4     2.4     3.5     7.4    12.8    17.8    19.1    12.5     0.7     2.9     0.7    13.4    49.6    16.1     8.9    88.5
 1995     3.5     4.7     3.9     3.1     5.4    13.3    17.3    20.1    12.0     1.5     2.7     2.4    12.4    50.6    16.2    11.7    90.0
 1996     4.8     4.5     3.8     3.7     4.8    15.2    18.6    19.0    12.3     3.2     0.3     0.3    12.3    52.8    15.9     7.1    90.5
 1997     4.5     2.3     3.9     7.1     9.1    13.2    19.3    17.3    14.0     2.9     1.7     5.1    20.1    49.8    18.6     9.4   100.3
 1998     1.2     3.1     5.6     5.0     5.8    12.7    19.9    21.3    13.2     4.2     2.2     0.4    16.5    53.9    19.5     5.5    94.6
 1999     3.4     1.7     1.0     2.1     9.8    14.1    19.9    19.1    16.3     5.5     0.4     1.2    12.9    53.1    22.2     5.6    94.6
 2000     1.6     2.8     2.8     4.8    11.4    15.8    19.3    18.0    14.0     0.9     0.4     0.5    19.0    53.2    15.3     6.6    92.4
 2001     2.7     3.4     2.5     5.0    12.9    15.4    20.9    17.0    10.2     3.0     0.4     0.8    20.4    53.2    13.6     8.3    94.1
 2002     3.9     3.7     5.1     3.7     7.8    12.1    17.2    19.9    12.9     4.3     2.5     0.8    16.6    49.1    19.7     9.7    93.8
 2003     3.6     5.4     3.4     3.5     4.5    12.1    19.6    16.5    15.5     2.6     1.2     1.7    11.3    48.2    19.4     6.0    89.5
 2004     2.9     1.4     3.0     4.6     8.6    14.6    18.1    15.7    12.2     4.1     2.8     0.7    16.1    48.3    19.0     8.4    88.5
 2005     4.7     3.0     5.7     2.8     6.4    10.8    18.2    16.9    12.6     4.6     0.8     0.9    14.9    45.8    17.9     3.6    87.3
 2006     1.3     1.3     4.6     5.4    10.2    12.9    18.6    15.8    11.8     3.1     1.8     2.0    20.2    47.3    16.7     8.3    89.0
 2007     0.7     5.5     4.4     4.0     8.3    12.4    15.7    16.7    13.7     1.8     1.5     0.8    16.7    44.8    17.1     4.1    85.7
 2008     1.9     1.3     2.9     3.7     9.4    17.3    18.8    16.9    11.6     2.5     0.4     0.9    16.0    53.1    14.6     4.1    87.8
 2009     0.8     2.4     3.6     2.8    10.7     8.8    14.9    16.5    12.1     3.5     2.3     2.0    17.0    40.2    17.8     6.5    80.3
 2010     2.0     2.5     2.9     3.9     8.1     8.6    17.4    19.8    15.4     3.9     0.7     0.6    14.9    45.8    20.1     8.3    85.8
 2011     1.8     5.9     3.8     4.4    12.1    15.7    22.0    19.1    16.7     2.6     2.0     0.7    20.3    56.8    21.3     9.4   106.9
 2012     4.9     3.8     4.1     4.7     4.7    11.5    19.8    19.0    15.6     1.6     0.9     1.1    13.5    50.2    18.1     8.9    91.6
 2013     3.6     4.3     2.8     4.8     6.4    16.3    20.6    18.7    12.7     6.5     0.9     0.8    14.1    55.6    20.1     6.5    98.3
 2014     2.3     3.4     3.0     2.7     5.7     8.0    12.7    11.0     8.6     3.7     0.4     1.6    11.4    31.7    12.6     9.4    63.0
 2015     3.3     4.5     4.8     5.0     6.1    12.0    19.4    20.6    10.3     3.9     2.5     1.5    15.8    52.1    16.8     5.4    94.0
 2016     1.0     2.9     3.3     3.5     8.6    16.0    20.8    14.8    14.2     4.0     1.1     1.1    15.4    51.6    19.2     5.7    91.2
 2017     2.5     2.0     5.1     6.3    10.0    12.9    19.5    19.1    10.7     2.8     1.2     1.2    21.4    51.5    14.7     5.1    93.3
 2018     2.1     1.8     3.6     5.7     8.4    14.4    19.8    19.7    13.0     3.0     1.9     1.4    17.7    53.9    17.9  -999.0    94.7
