 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1963    29.6    32.6    42.0    41.0    58.0    64.4    76.4    77.2    65.8    46.5    47.3    33.4    47.0    72.7    53.2    39.3    51.2
 1964    39.0    45.6    40.5    41.0    57.4    62.7    78.8    74.9    69.5    38.4    32.3    41.0    46.3    72.1    46.7    40.0    51.8
 1965    35.4    43.5    42.4    41.7    54.7    62.4    76.0    74.4    63.5    45.9    37.8    30.9    46.3    70.9    49.1    34.8    50.7
 1966    32.3    41.2    38.3    36.2    50.5    65.0    74.2    77.5    61.2    36.5    33.3    35.4    41.6    72.2    43.7    34.5    48.5
 1967    34.2    34.0    46.1    36.6    54.1    63.3    75.5    78.5    64.2    40.5    38.7    46.0    45.6    72.4    47.8    46.4    51.0
 1968    48.3    45.0    42.2    38.4    54.5    68.8    78.8    74.2    60.1    45.2    34.1    39.3    45.0    74.0    46.5    40.3    52.4
 1969    38.2    43.4    35.3    38.7    57.8    63.8    77.5    73.7    70.0    44.9    37.3    34.1    43.9    71.7    50.7    41.2    51.2
 1970    42.5    47.0    45.8    32.4    56.1    66.5    76.7    75.7    67.5    43.5    31.7    31.3    44.8    73.0    47.6    37.2    51.4
 1971    39.9    40.5    40.8    39.5    62.0    73.3    78.7    77.7    61.3    49.5    37.9    34.1    47.4    76.6    49.6    39.8    52.9
 1972    37.5    47.9    41.2    33.2    45.3    57.9    70.1    71.6    62.8    45.1    39.7    42.1    39.9    66.5    49.2    45.0    49.5
 1973    46.4    46.5    41.6    31.0    57.1    68.4    74.6    76.6    69.3    55.0    38.2    37.4    43.2    73.2    54.2    40.3    53.5
 1974    40.3    43.2    45.3    36.6    56.2    65.4    77.3    75.9    62.3    41.8    29.4    42.6    46.0    72.9    44.5    45.2    51.4
 1975    44.3    48.5    45.4    34.8    53.6    65.6    76.4    75.0    73.9    48.3    33.9    36.3    44.6    72.3    52.0    41.8    53.0
 1976    39.3    49.7    45.2    36.7    57.1    67.4    75.3    76.9    66.8    38.6    34.3    35.5    46.3    73.2    46.6    39.2    51.9
 1977    43.4    38.6    36.0    41.7    60.4    67.6    79.3    76.9    68.4    49.5    39.2    43.4    46.0    74.6    52.4    46.0    53.7
 1978    42.8    51.9    46.5    37.3    58.0    68.3    77.2    77.9    70.9    47.6    41.4    39.4    47.2    74.5    53.3    44.6    54.9
 1979    40.8    53.6    47.0    38.0    50.6    62.6    75.1    72.4    57.5    43.6    42.3    48.8    45.2    70.0    47.8    46.5    52.7
 1980    43.6    47.2    46.3    32.8    61.5    71.7    79.9    76.2    68.2    50.6    32.9    38.1    46.9    75.9    50.5    44.1    54.1
 1981    49.7    44.5    46.9    35.9    59.3    65.5    79.3    74.2    65.0    34.7    38.6    39.0    47.4    73.0    46.1    44.4    52.7
 1982    42.5    51.7    45.8    39.4    56.6    67.0    74.9    74.9    57.9    46.1    40.5    44.0    47.3    72.3    48.1    44.8    53.4
 1983    43.2    47.2    45.9    41.1    60.2    65.9    73.2    69.2    68.6    47.7    32.1    37.4    49.0    69.4    49.5    41.3    52.6
 1984    40.8    45.7    37.6    39.4    57.6    68.2    79.5    71.3    65.0    44.0    35.2    43.2    44.9    73.0    48.1    42.3    52.3
 1985    46.8    37.1    42.5    36.4    57.5    67.5    77.8    77.6    69.6    48.0    38.2    41.5    45.5    74.3    51.9    41.8    53.4
 1986    40.3    43.6    43.3    40.1    56.5    62.6    77.2    73.5    63.6    47.0    40.1    41.9    46.6    71.1    50.2    41.0    52.5
 1987    37.1    44.0    44.6    40.4    56.7    64.6    78.4    78.5    65.9    47.1    34.9    41.0    47.2    73.8    49.3    43.4    52.8
 1988    42.8    46.3    46.5    38.5    58.2    67.9    81.7    81.0    67.2    41.0    37.4    42.7    47.7    76.8    48.5    46.7    54.3
 1989    44.3    53.2    47.6    37.4    57.7    69.8    75.6    77.7    68.9    47.2    43.1    44.4    47.6    74.3    53.1    45.9    55.6
 1990    39.5    53.9    47.4    41.8    62.3    68.4    80.3    77.1    72.7    48.8    35.4    43.4    50.5    75.3    52.3    43.4    55.9
 1991    40.9    45.8    43.5    37.7    56.8    66.2    77.0    75.9    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.2    52.7
 1992    40.9    45.8    43.5    37.7    56.7    66.1    77.0    75.9    66.2    45.4    37.3    39.7    46.0    73.0    49.6    42.1    52.7
 1993    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.9    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1994    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.9    66.2    45.3    37.3    39.8    46.0    73.0    49.6    42.1    52.7
 1995    40.9    45.7    43.5    37.7    56.8    66.2    77.0    75.9    66.2    48.1    38.8    43.3    46.0    73.0    51.1    41.0    53.3
 1996    35.1    44.8    78.3    32.8    61.4    67.8    75.6    73.2    66.8    52.4    27.8    40.5    57.5    72.2    49.0    41.1    54.7
 1997    38.7    44.2    39.4    38.6    58.9    52.5    74.3    65.5    70.5    48.0    32.2    50.5    45.6    64.1    50.2    45.0    51.1
 1998    39.6    45.1    38.5    68.6    59.7    57.6    76.0    81.0    67.5    47.2    37.6    43.1    55.6    71.5    50.8    42.8    55.1
 1999    40.3    45.2    41.6    31.2    63.1    61.4    77.1    75.2    73.2    53.0    62.6    39.6    45.3    71.2    63.0    41.3    55.3
 2000    38.7    45.5    34.7    30.0    59.5    64.9    76.6    71.1    68.0    46.6    36.9    37.2    41.4    70.9    50.5    40.1    50.8
 2001    38.3    44.6    44.3    35.1    60.4    65.6    79.2    70.3    61.4    46.6    31.0    44.6    46.6    71.7    46.3    43.3    51.8
 2002    40.1    45.3    37.9    39.3    61.5    59.5    74.0    74.5    69.4    43.6    29.7    46.2    46.2    69.3    47.6    46.0    51.7
 2003    43.0    48.7    44.5    32.8    53.2    75.3    79.3    75.6    68.8    47.8    32.2    43.4    43.5    76.7    49.6    44.0    53.7
 2004    47.3    41.3    38.3    42.3    58.1    71.7    81.8    77.0    67.3    44.9    36.3    37.6    46.2    76.8    49.5    45.2    53.6
 2005    48.8    49.3    44.9    36.0    54.9    67.1    80.0    78.9    65.6    47.9    32.7    35.8    45.2    75.3    48.7    39.5    53.5
 2006    37.6    45.2    43.5    37.8    65.7    70.1    76.8    76.7    65.2    43.2    39.2    34.3    49.0    74.6    49.2    43.3    52.9
 2007    46.6    49.0    40.2    34.6    57.0    70.8    79.4    78.3    71.8    46.1    32.2    35.6    43.9    76.1    50.0    43.2    53.5
 2008    49.3    44.9    44.6    29.3    62.0    77.4    80.8    80.5    65.6    46.3    32.5    38.9    45.3    79.5    48.2    42.9    54.3
 2009    44.0    46.0    43.5    30.7    60.1    61.0    75.6    74.1    60.9    41.6    34.3    36.1    44.8    70.2    45.6    39.5    50.6
 2010    34.4    47.9    41.7    31.0    56.7    61.2    77.5    80.9    73.1    51.6    34.5    34.4    43.1    73.2    53.1    39.5    52.1
 2011    37.5    46.5    45.5    37.3    63.7    73.9    81.4    78.7    68.3    40.9    35.6    36.7    48.8    78.0    48.3    41.7    53.8
 2012    42.4    45.9    44.2    39.0    55.6    72.0    79.9    77.4    68.1    42.6    30.9    33.7    46.3    76.4    47.2    38.9    52.6
 2013    34.8    48.0    42.9    39.4    61.6    74.6    81.9    75.4    66.7    53.7    36.5    35.8    48.0    77.3    52.3    42.3    54.3
 2014    42.9    48.1    44.6    37.5    62.4    65.3    80.8    76.4    66.7    47.3    36.2    41.0    48.2    74.2    50.1    43.4    54.1
 2015    44.3    44.9    44.7    33.4    61.3    70.6    76.0    78.9    62.8    44.2    37.7    41.5    46.5    75.2    48.2    48.2    53.4
 2016    56.3    46.9    44.8    39.9    69.3    75.0    79.2    75.0    74.4    46.8    30.3    39.8    51.3    76.4    50.5    42.2    56.5
 2017    42.6    44.2    44.3    37.9    64.5    72.7    78.3    79.6    62.8    45.0    31.4    37.6    48.9    76.9    46.4    42.1    53.4
 2018    40.6    48.1    44.0    38.8    67.5    67.1    79.1    78.0    67.9    47.3    38.4    46.0    50.1    74.7    51.2  -999.0    55.2
