 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1934     3.7     4.6     4.0     5.5     7.6    10.7    13.0    12.7    12.3     7.8     5.3     4.4     5.7    12.1     8.5     4.2     7.6
 1935     3.6     4.5     4.3     4.8     8.5    12.6    13.0    12.5    11.4     7.5     5.1     4.2     5.8    12.7     8.0     4.1     7.7
 1936     3.8     4.2     4.2     5.2     8.5    10.1    12.4    12.7    11.4     8.0     5.4     4.4     6.0    11.8     8.3     4.1     7.5
 1937     3.7     4.1     3.9     5.0     7.7    11.6    13.7    13.3    11.8     7.7     5.1     4.2     5.5    12.9     8.2     4.0     7.6
 1938     4.0     3.9     5.2     5.9     8.8    10.6    13.0    13.5    12.6     8.5     5.2     4.4     6.6    12.4     8.8     4.4     8.0
 1939     4.4     4.5     3.9     5.5     8.8    10.8    13.3    13.4    11.8     8.4     5.5     4.6     6.1    12.5     8.6     4.2     7.9
 1940     4.0     4.1     4.2     5.1     8.3    12.0    13.8    13.1    11.7     8.1     5.8     4.4     5.9    13.0     8.5     4.3     7.9
 1941     4.0     4.6     5.4     6.5     8.6    10.9    14.8    13.6    12.3     9.1     5.3     5.2     6.8    13.1     8.9     4.6     8.3
 1942     3.9     4.6     4.8     5.7     8.3    12.4    12.9    12.7    11.3     8.0     6.0     4.3     6.3    12.7     8.5     4.3     7.9
 1943     4.6     4.2     4.5     4.9     7.8    11.3    13.3    12.6    12.1     8.0     5.5     5.0     5.7    12.4     8.5     4.3     7.8
 1944     3.8     4.0     3.9     5.0     8.9    11.1    13.3    13.3    12.0     8.1     5.5     5.0     5.9    12.6     8.5     4.2     7.8
 1945     3.7     3.9     4.2     4.8     7.5    11.4    13.6    13.8    11.9     8.1     5.3     4.1     5.5    12.9     8.4     4.6     7.7
 1946     4.4     5.2     4.4     5.8     8.2    11.3    12.7    13.5    12.3     8.5     5.3     4.6     6.1    12.5     8.7     4.3     8.0
 1947     3.8     4.4     4.6     6.1     8.4    12.8    14.0    13.7    12.3     7.8     5.6     4.6     6.4    13.5     8.6     4.5     8.2
 1948     4.3     4.5     4.0     6.0     8.7    12.7    13.0    12.7    11.8     8.2     5.3     4.2     6.2    12.8     8.4     4.4     7.9
 1949     4.8     4.3     4.4     5.8     8.1    12.0    13.3    13.4    12.4     8.6     5.0     3.9     6.1    12.9     8.7     4.1     8.0
 1950     4.4     4.0     3.8     5.0     7.9    11.2    13.1    12.7    11.3     8.1     5.4     4.3     5.6    12.3     8.2     4.0     7.6
