Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
3.51142, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
2.51734, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
4.02433, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
4.93597, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
3.86627, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
3.45653, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
3.17728, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
3.49773, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
2.87858, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
2.81851, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
2.96335, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
2.82536, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
3.85642, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
4.11515, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
5.28708, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
4.90098, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
6.01983, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
4.81662, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
5.19483, 2080-2099, gfdl_cm3, May Anomaly, NPL
6.01107, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
5.8305, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
6.16287, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
5.35172, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
4.26648, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
4.31643, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
5.26316, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
1.33044, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
1.13032, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
