Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-197.48, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
-175.43, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
-190.41, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
-158.65, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
-177.01, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-111.7, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-94.167, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-75.618, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-66.107, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-72.771, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-82.747, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-128.24, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
-188.43, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
-161.85, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
-204.88, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-205.64, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-185.68, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-123.37, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-75.322, 2080-2099, hadgem2_ao, May Anomaly, NPL
-66.762, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
-60.262, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
-65.963, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
-85.401, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
-124.3, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-200.05, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
-255.28, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-296.16, 2080-2099, hadgem2_cc, Jan Anomaly, NPL
-274.29, 2080-2099, hadgem2_cc, Feb Anomaly, NPL
-210.15, 2080-2099, hadgem2_cc, Mar Anomaly, NPL
-123.12, 2080-2099, hadgem2_cc, Apr Anomaly, NPL
-92.352, 2080-2099, hadgem2_cc, May Anomaly, NPL
-81.392, 2080-2099, hadgem2_cc, Jun Anomaly, NPL
-76.66, 2080-2099, hadgem2_cc, Jul Anomaly, NPL
-79.965, 2080-2099, hadgem2_cc, Aug Anomaly, NPL
-93.36, 2080-2099, hadgem2_cc, Sep Anomaly, NPL
-142.78, 2080-2099, hadgem2_cc, Oct Anomaly, NPL
-214.49, 2080-2099, hadgem2_cc, Nov Anomaly, NPL
-264.1, 2080-2099, hadgem2_cc, Dec Anomaly, NPL
-259.75, 2080-2099, hadgem2_es, Jan Anomaly, NPL
-266.18, 2080-2099, hadgem2_es, Feb Anomaly, NPL
-190.78, 2080-2099, hadgem2_es, Mar Anomaly, NPL
-135.39, 2080-2099, hadgem2_es, Apr Anomaly, NPL
-87.916, 2080-2099, hadgem2_es, May Anomaly, NPL
