Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
19.337551, 2080-2099, ipsl_cm5a_mr, May Average, Nepal, NPL
20.923744, 2080-2099, ipsl_cm5a_mr, Jun Average, Nepal, NPL
22.913774, 2080-2099, ipsl_cm5a_mr, Jul Average, Nepal, NPL
23.01454, 2080-2099, ipsl_cm5a_mr, Aug Average, Nepal, NPL
21.378819, 2080-2099, ipsl_cm5a_mr, Sep Average, Nepal, NPL
16.713514, 2080-2099, ipsl_cm5a_mr, Oct Average, Nepal, NPL
12.057032, 2080-2099, ipsl_cm5a_mr, Nov Average, Nepal, NPL
7.54787, 2080-2099, ipsl_cm5a_mr, Dec Average, Nepal, NPL
3.6203542, 2080-2099, miroc_esm, Jan Average, Nepal, NPL
3.9972794, 2080-2099, miroc_esm, Feb Average, Nepal, NPL
6.872284, 2080-2099, miroc_esm, Mar Average, Nepal, NPL
11.519858, 2080-2099, miroc_esm, Apr Average, Nepal, NPL
15.139676, 2080-2099, miroc_esm, May Average, Nepal, NPL
18.408676, 2080-2099, miroc_esm, Jun Average, Nepal, NPL
18.626814, 2080-2099, miroc_esm, Jul Average, Nepal, NPL
18.203382, 2080-2099, miroc_esm, Aug Average, Nepal, NPL
17.109373, 2080-2099, miroc_esm, Sep Average, Nepal, NPL
13.77779, 2080-2099, miroc_esm, Oct Average, Nepal, NPL
9.396474, 2080-2099, miroc_esm, Nov Average, Nepal, NPL
5.230242, 2080-2099, miroc_esm, Dec Average, Nepal, NPL
3.178908, 2080-2099, miroc_esm_chem, Jan Average, Nepal, NPL
3.6418204, 2080-2099, miroc_esm_chem, Feb Average, Nepal, NPL
6.7651734, 2080-2099, miroc_esm_chem, Mar Average, Nepal, NPL
11.1648245, 2080-2099, miroc_esm_chem, Apr Average, Nepal, NPL
15.205011, 2080-2099, miroc_esm_chem, May Average, Nepal, NPL
18.337463, 2080-2099, miroc_esm_chem, Jun Average, Nepal, NPL
18.515614, 2080-2099, miroc_esm_chem, Jul Average, Nepal, NPL
18.100933, 2080-2099, miroc_esm_chem, Aug Average, Nepal, NPL
17.228006, 2080-2099, miroc_esm_chem, Sep Average, Nepal, NPL
13.733808, 2080-2099, miroc_esm_chem, Oct Average, Nepal, NPL
8.92002, 2080-2099, miroc_esm_chem, Nov Average, Nepal, NPL
5.086318, 2080-2099, miroc_esm_chem, Dec Average, Nepal, NPL
7.742019, 2080-2099, miroc5, Jan Average, Nepal, NPL
9.582822, 2080-2099, miroc5, Feb Average, Nepal, NPL
13.824625, 2080-2099, miroc5, Mar Average, Nepal, NPL
18.618723, 2080-2099, miroc5, Apr Average, Nepal, NPL
22.284664, 2080-2099, miroc5, May Average, Nepal, NPL
