FID,id_punto,mes,mes_etiqueta,n_period,period,temp_max_normal,geom
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77dc,40986,6,6,30,1940,10.79,POINT (9211687.863143386 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77db,40987,6,6,30,1940,10.3,POINT (9267347.608540025 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77da,40988,6,6,30,1940,9.8,POINT (9323007.353936663 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d9,40989,6,6,30,1940,11.41,POINT (9378667.099333297 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d8,40990,6,6,30,1940,10.91,POINT (9434326.844729934 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d7,40991,6,6,30,1940,11.83,POINT (9489986.590126572 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d6,40992,6,6,30,1940,13.63,POINT (9545646.335523209 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d5,40993,6,6,30,1940,12.96,POINT (9601306.080919845 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d4,40994,6,6,30,1940,15.16,POINT (9656965.826316481 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d3,40995,6,6,30,1940,14.17,POINT (9712625.57171312 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d2,40996,6,6,30,1940,15.28,POINT (9768285.317109756 3407504.076175717)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d1,41926,6,6,30,1940,38.62,POINT (8933389.136160204 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77d0,41927,6,6,30,1940,38.2,POINT (8989048.88155684 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77cf,41928,6,6,30,1940,37.89,POINT (9044708.626953477 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ce,41929,6,6,30,1940,37.49,POINT (9100368.372350115 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77cd,41930,6,6,30,1940,36.6,POINT (9156028.117746752 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77cc,41931,6,6,30,1940,35.39,POINT (9211687.863143386 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77cb,41932,6,6,30,1940,33.61,POINT (9267347.608540025 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ca,41933,6,6,30,1940,32.9,POINT (9323007.353936663 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c9,41934,6,6,30,1940,33.32,POINT (9378667.099333297 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c8,41935,6,6,30,1940,32.52,POINT (9434326.844729934 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c7,41936,6,6,30,1940,28.93,POINT (9489986.590126572 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c6,41937,6,6,30,1940,25.15,POINT (9545646.335523209 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c5,41938,6,6,30,1940,21.24,POINT (9601306.080919845 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c4,41939,6,6,30,1940,14.74,POINT (9656965.826316481 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c3,41940,6,6,30,1940,16.48,POINT (9712625.57171312 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c2,41941,6,6,30,1940,14.88,POINT (9768285.317109756 3217490.9158222144)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c1,42228,6,6,30,1940,38.95,POINT (8933389.136160204 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77c0,42229,6,6,30,1940,38.52,POINT (8989048.88155684 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77bf,42230,6,6,30,1940,38.22,POINT (9044708.626953477 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77be,42231,6,6,30,1940,37.91,POINT (9100368.372350115 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77bd,42232,6,6,30,1940,37.51,POINT (9156028.117746752 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77bc,42233,6,6,30,1940,37.11,POINT (9211687.863143386 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77bb,42234,6,6,30,1940,36.72,POINT (9267347.608540025 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ba,42235,6,6,30,1940,36.22,POINT (9323007.353936663 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b9,42236,6,6,30,1940,35.23,POINT (9378667.099333297 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b8,42237,6,6,30,1940,34.83,POINT (9434326.844729934 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b7,42238,6,6,30,1940,32.95,POINT (9489986.590126572 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b6,42239,6,6,30,1940,30.86,POINT (9545646.335523209 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b5,42240,6,6,30,1940,27.77,POINT (9601306.080919845 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b4,42241,6,6,30,1940,23.94,POINT (9656965.826316481 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b3,42242,6,6,30,1940,24.04,POINT (9712625.57171312 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b2,42243,6,6,30,1940,21.83,POINT (9768285.317109756 3154740.816666564)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b1,41614,6,6,30,1940,37.99,POINT (8933389.136160204 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77b0,41615,6,6,30,1940,37.78,POINT (8989048.88155684 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77af,41616,6,6,30,1940,37.28,POINT (9044708.626953477 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ae,41617,6,6,30,1940,34.68,POINT (9100368.372350115 3280529.7896193247)
temp_max_normales_espacial_p.fid--5ff12b53_17a3881fa7e_-77ad,41618,6,6,30,1940,30.19,POINT (9156028.117746752 3280529.7896193247)
