"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1971-12","1221","G","0",",G",,,,,"0",",G","0",",G","0",",G","0",",G","0",",G","32",",G,17,",,,"70",",G,12,+","747","G","437",",G",,,"50.9",",G","64.8",",,,G","37.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-01","0","G","0",",G",,,,,"0",",G","2",",G","0",",G","0",",G","0",",G","31",",G,16,",,,"68",",G,23,","1193","G","447",",G",,,"50.6",",G","63.5",",,,G","37.7",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-02","0","G","0","1,G",,,,,"0","1,G","1","1,G","0",",G","6",",G","0",",G","30","1,G,18,",,,"77",",G,26,","1587","G","394",",G",,,"50.7","1,G","63.7",",,,G","37.8","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-03","3","G","3",",G",,,,,"0",",G","0",",G","0",",G","27",",G","0",",G","36",",G,01,",,,"81",",G,23,","1717","G","130",",G",,,"60.9",",G","75.4",",,,G","46.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-04","42","G","39",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","44",",G,06,",,,"87",",G,29,","1753","G","36",",G",,,"65.1",",G","79.4",",,,G","50.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-05","288","G","246",",G",,,,,"0",",G","0",",G","0",",G","31",",G","3",",G","52",",G,05,",,,"90",",G,13,","1753","G","0",",G",,,"72.9",",G","84.8",",,,G","61.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-06","565","G","277",",G",,,,,"0",",G","0",",G","0",",G","30",",G","2",",G","59",",G,08,",,,"91",",G,12,","1753","G","0",",G",,,"74.2",",G","83.9",",,,G","64.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-07","868","G","303",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","66",",G,29,",,,"87",",G,13,","0","G","0",",G",,,"74.7",",G","81.1",",,,G","68.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-08","1147","G","279",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","64",",G,18,+",,,"85",",G,21,","0","G","0",",G",,,"74.0",",G","81.1",",,,G","66.9",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-09","1315","G","168",",G",,,,,"0",",G","0",",G","0",",G","27",",G","0",",G","60",",G,25,",,,"84",",G,20,","0","G","0",",G",,,"70.6",",G","77.6",",,,G","63.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-10","1358","G","43",",G",,,,,"0",",G","0",",G","0",",G","26",",G","0",",G","42",",G,25,",,,"82",",G,04,","64","G","64",",G",,,"64.3",",G","74.1",",,,G","54.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-11","1358","G","0",",G",,,,,"0",",G","0",",G","0",",G","15",",G","0",",G","38",",G,25,",,,"75",",G,07,","290","G","227",",G",,,"57.5",",G","69.7",",,,G","45.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1972-12","1358","G","0",",G",,,,,"0",",G","2",",G","0",",G","4",",G","0",",G","31",",G,24,",,,"73",",G,04,","723","G","432",",G",,,"51.0",",G","66.7",",,,G","35.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-01","0","G","0",",G",,,,,"0",",G","4",",G","0",",G","0",",G","0",",G","31",",G,02,",,,"67",",G,01,","1170","G","447",",G",,,"50.6",",G","63.0",",,,G","38.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-02","0","G","0",",G",,,,,"0",",G","0",",G","0",",G","9",",G","0",",G","35",",G,02,",,,"72",",G,24,","1482","G","312",",G",,,"53.9",",G","67.7",",,,G","40.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-03","9","G","9",",G",,,,,"0",",G","0",",G","0",",G","22",",G","0",",G","35",",G,01,",,,"86",",G,31,","1684","G","202",",G",,,"58.8",",G","74.0",",,,G","43.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-04","118","G","109",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","47",",G,18,",,,"89",",G,16,","1684","G","0",",G",,,"68.6",",G","83.8",",,,G","53.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-05","277","G","159","1,G",,,,,"0",",G","0",",G","0","1,G","30","1,G","0","1,G","54",",G,12,",,,"86","1,G,10,","1684","G","0","1,G",,,"70.4","1,G","80.1","1,,,G","60.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-06","524","G","247",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","60",",G,03,",,,"85",",G,25,+","1684","G","0",",G",,,"73.2",",G","80.4",",,,G","66.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-07","829","G","305",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","64",",G,18,",,,"85",",G,18,","0","G","0",",G",,,"74.8",",G","82.0",",,,G","67.7",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-08","1116","G","286",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","63",",G,11,",,,"88",",G,24,","0","G","0",",G",,,"74.2",",G","81.5",",,,G","67.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-09","1327","G","211",",G",,,,,"0",",G","0",",G","0",",G","28",",G","0",",G","56",",G,27,",,,"85",",G,07,","3","G","3",",G",,,"71.9",",G","79.1",",,,G","64.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-10","1395","G","69",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","49",",G,30,",,,"81",",G,05,","24","G","20",",G",,,"66.5",",G","75.8",",,,G","57.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-11","1395","G","0",",G",,,,,"0",",G","0",",G","0",",G","17",",G","0",",G","38",",G,30,",,,"75",",G,09,","261","G","237",",G",,,"57.1",",G","70.3",",,,G","44.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1973-12","1395","G","0",",G",,,,,"0",",G","7",",G","0",",G","0",",G","0",",G","29",",G,27,",,,"69",",G,08,","735","G","474",",G",,,"49.7",",G","64.4",",,,G","35.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-01","0","G","0","1,G",,,,,"0","1,G","3","1,G","0",",G","0",",G","0",",G","28","1,G,16,",,,"67",",G,26,","1227","G","492",",G",,,"48.7","1,G","62.2",",,,G","35.1","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-02","0","G","0",",G",,,,,"0",",G","4",",G","0",",G","11",",G","0",",G","31",",G,09,+",,,"77",",G,25,","1569","G","342",",G",,,"52.8",",G","68.1",",,,G","37.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-03","0","G","0",",G",,,,,"0",",G","0",",G","0",",G","26",",G","0",",G","41",",G,19,+",,,"82",",G,16,","1706","G","137",",G",,,"60.6",",G","75.1",",,,G","46.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-04","108","G","108",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","46",",G,10,",,,"89",",G,24,","1718","G","12",",G",,,"68.2",",G","81.1",",,,G","55.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-05","298","G","190","1,G",,,,,"0","1,G","0","1,G","0",",G","31",",G","0",",G","56","1,G,17,",,,"87",",G,25,","1718","G","0",",G",,,"71.3","1,G","81.5",",,,G","61.1","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-06","582","G","284",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","58",",G,08,",,,"87",",G,13,","1718","G","0",",G",,,"74.5",",G","82.8",",,,G","66.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-07","848","G","266",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","65",",G,19,",,,"85",",G,10,","0","G","0",",G",,,"73.6",",G","79.4",",,,G","67.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-08","1127","G","279",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","66",",G,05,",,,"84",",G,08,","0","G","0",",G",,,"74.0",",G","80.0",",,,G","68.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-09","1302","G","175",",G",,,,,"0",",G","0",",G","0",",G","28",",G","0",",G","58",",G,12,",,,"82",",G,26,","3","G","3",",G",,,"70.7",",G","77.7",",,,G","63.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-10","1450","G","148",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","47",",G,31,",,,"82",",G,18,","19","G","15",",G",,,"69.3",",G","78.4",",,,G","60.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-11","1450","G","0",",G",,,,,"0",",G","0",",G","0",",G","27",",G","0",",G","38",",G,28,",,,"78",",G,01,","235","G","216",",G",,,"57.8",",G","72.2",",,,G","43.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1974-12","1450","G","0","1,G",,,,,"0",",G","8",",G","0","1,G","0","1,G","0","1,G","30",",G,22,",,,"67","1,G,03,","748","G","513","1,G",,,"47.9","1,G","61.7","1,,,G","34.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-01","0","G","0",",G",,,,,"0",",G","11",",G","0",",G","0",",G","0",",G","29",",G,13,",,,"67",",G,28,","1280","G","532",",G",,,"47.8",",G","61.2",",,,G","34.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-02","0","G","0",",G",,,,,"0",",G","0",",G","0",",G","5",",G","0",",G","32",",G,03,",,,"74",",G,28,","1624","G","344",",G",,,"52.7",",G","66.0",",,,G","39.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-03","0","G","0",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","40",",G,13,",,,"80",",G,23,+","1790","G","166",",G",,,"59.6",",G","74.9",",,,G","44.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-04","88","G","88",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","43",",G,16,",,,"88",",G,08,","1799","G","9",",G",,,"67.6",",G","82.8",",,,G","52.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-05","280","G","191",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","53",",G,23,",,,"87",",G,02,","1800","G","0",",G",,,"71.1",",G","82.8",",,,G","59.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-06","554","G","274",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","61",",G,01,",,,"89",",G,11,","1800","G","0",",G",,,"74.2",",G","82.3",",,,G","66.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-07","809","G","255",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","64",",G,22,",,,"84",",G,09,","0","G","0",",G",,,"73.2",",G","78.9",",,,G","67.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-08","1093","G","284",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","65",",G,21,",,,"85",",G,27,","0","G","0",",G",,,"74.2",",G","81.1",",,,G","67.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-09","1277","G","184",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","61",",G,29,",,,"83",",G,23,","2","G","2",",G",,,"71.1",",G","77.5",",,,G","64.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-10","1389","G","111",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","49",",G,29,",,,"82",",G,07,","9","G","7",",G",,,"68.4",",G","78.2",",,,G","58.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-11","1389","G","0",",G",,,,,"0",",G","0",",G","0",",G","11",",G","0",",G","34",",G,28,",,,"73",",G,01,","267","G","258",",G",,,"56.4",",G","69.5",",,,G","43.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1975-12","1389","G","0","1,G",,,,,"0","1,G","1","1,G","0",",G","1",",G","0",",G","32","1,G,29,",,,"71",",G,05,","709","G","442",",G",,,"50.3","1,G","64.0",",,,G","36.5","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-01","0","G","0","1,G",,,,,"0","1,G","0","1,G","0",",G","0",",G","0",",G","32","1,G,22,",,,"66",",G,08,","1174","G","465",",G",,,"49.3","1,G","62.2",",,,G","36.3","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-02","0","G","0",",G",,,,,"0",",G","0",",G","0",",G","12",",G","0",",G","35",",G,29,",,,"75",",G,21,","1480","G","306",",G",,,"54.4",",G","67.5",",,,G","41.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-03","1","G","1",",G",,,,,"0",",G","0",",G","0",",G","28",",G","0",",G","37",",G,08,+",,,"82",",G,26,","1630","G","150",",G",,,"60.2",",G","76.2",",,,G","44.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-04","67","G","67",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","45",",G,05,",,,"85",",G,17,","1642","G","12",",G",,,"66.8",",G","80.7",",,,G","52.9",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-05","225","G","157",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","53",",G,06,",,,"86",",G,28,","1642","G","0",",G",,,"70.1",",G","80.4",",,,G","59.7",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-06","450","G","225",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","61",",G,19,+",,,"85",",G,23,","1642","G","0",",G",,,"72.5",",G","79.8",",,,G","65.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-07","730","G","280",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","64",",G,04,",,,"85",",G,29,","0","G","0",",G",,,"74.0",",G","81.0",",,,G","67.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-08","980","G","250",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","63",",G,27,",,,"83",",G,13,","0","G","0",",G",,,"73.1",",G","80.3",",,,G","65.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-09","1173","G","193",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","58",",G,23,",,,"82",",G,11,","0","G","0",",G",,,"71.4",",G","79.7",",,,G","63.1",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-10","1191","G","18",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","47",",G,26,+",,,"80",",G,19,","41","G","41",",G",,,"64.3",",G","77.0",",,,G","51.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-11","1191","G","0",",G",,,,,"0",",G","0",",G","0",",G","26",",G","0",",G","36",",G,30,",,,"78",",G,02,","190","G","148",",G",,,"60.0",",G","72.5",",,,G","47.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1976-12","1191","G","0",",G",,,,,"0",",G","9",",G","0",",G","3",",G","0",",G","28",",G,31,",,,"70",",G,24,+","671","G","481",",G",,,"49.5",",G","66.0",",,,G","33.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-01","0","G","0",",G",,,,,"0",",G","19",",G","0",",G","0",",G","0",",G","28",",G,01,",,,"67",",G,23,","1212","G","541",",G",,,"47.6",",G","62.2",",,,G","32.9",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-02","0","G","0",",G",,,,,"0",",G","6",",G","0",",G","11",",G","0",",G","30",",G,01,",,,"76",",G,21,","1548","G","337",",G",,,"53.0",",G","68.5",",,,G","37.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-03","6","G","6",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","38",",G,06,",,,"83",",G,29,","1672","G","123",",G",,,"61.2",",G","77.7",",,,G","44.8",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-04","34","G","28",",G",,,,,"0",",G","0",",G","0",",G","29",",G","0",",G","46",",G,08,",,,"84",",G,28,","1710","G","38",",G",,,"64.7",",G","77.0",",,,G","52.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-05","146","G","111",",G",,,,,"0",",G","0",",G","0",",G","28",",G","0",",G","48",",G,08,",,,"87",",G,31,","1750","G","40",",G",,,"67.3",",G","78.2",",,,G","56.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-06","384","G","238",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","57",",G,07,",,,"89",",G,01,","1750","G","0",",G",,,"72.9",",G","82.3",",,,G","63.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-07","688","G","304",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","65",",G,04,",,,"86",",G,28,","0","G","0",",G",,,"74.8",",G","82.1",",,,G","67.5",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-08","966","G","277",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","64",",G,27,",,,"86",",G,04,","0","G","0",",G",,,"74.0",",G","81.7",",,,G","66.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-09","1176","G","210",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","59",",G,23,",,,"85",",G,08,","0","G","0",",G",,,"72.0",",G","80.7",",,,G","63.2",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-10","1203","G","27",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","44",",G,24,+",,,"80",",G,02,","56","G","56",",G",,,"64.1",",G","75.2",",,,G","53.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-11","1204","G","1",",G",,,,,"0",",G","0",",G","0",",G","24",",G","0",",G","37",",G,25,",,,"76",",G,01,","229","G","173",",G",,,"59.3",",G","71.1",",,,G","47.4",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1977-12","1204","G","0",",G",,,,,"0",",G","7",",G","0",",G","2",",G","0",",G","28",",G,31,",,,"71",",G,03,","699","G","470",",G",,,"49.8",",G","63.6",",,,G","36.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-01","0","G","0","1,G",,,,,"0","1,G","19","1,G","0",",G","0",",G","0",",G","26","1,G,11,",,,"67",",G,31,","1263","G","564",",G",,,"46.2","1,G","61.0",",,,G","31.5","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-02","0","G","0","1,G",,,,,"0","1,G","8","1,G","0",",G","4",",G","0",",G","28","1,G,04,",,,"75",",G,28,","1646","G","383",",G",,,"50.7","1,G","65.6",",,,G","35.8","1,,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-03","0","G","0",",G",,,,,"0",",G","0",",G","0",",G","22",",G","0",",G","33",",G,13,",,,"76",",G,28,","1930","G","284",",G",,,"55.8",",G","70.8",",,,G","40.9",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-04","28","G","28","1,G",,,,,"0",",G","0",",G","0","1,G","28","1,G","0","1,G","39",",G,01,",,,"83","1,G,23,","1971","G","41","1,G",,,"64.6","1,G","78.5","1,,,G","50.7",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-05","234","G","206","1,G",,,,,"0",",G","0",",G","0","1,G","30","1,G","0","1,G","58",",G,04,",,,"88","1,G,21,","1971","G","0","1,G",,,"71.9","1,G","81.1","1,,,G","62.7",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-06","499","G","264","1,G",,,,,"0",",G","0",",G","0","1,G","29","1,G","0","1,G","62",",G,02,",,,"84","1,G,29,+","1971","G","0","1,G",,,"74.1","1,G","81.5","1,,,G","66.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-07","788","G","290",",G","17","5,S","14","5,S","0",",G","0",",G","0",",G","31",",G","0",",G","65",",G,06,","1.73","5,,S,23,","85",",G,22,","0","G","0",",G","7.84","5,,,S","74.3",",G","81.0",",,,G","67.6",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-08","1113","G","325",",G",,,,,"0",",G","0",",G","0",",G","31",",G","0",",G","65",",G,28,+",,,"88",",G,29,","0","G","0",",G",,,"75.5",",G","82.9",",,,G","68.0",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-09","1342","G","229",",G",,,,,"0",",G","0",",G","0",",G","30",",G","0",",G","62",",G,21,",,,"84",",G,24,","0","G","0",",G",,,"72.6",",G","80.0",",,,G","65.3",",,,G"
"NP000444540","KATHMANDU AIRPORT, NP","27.7","85.367","1337.0","1978-10","1407","G","65","1,G",,,,,"0","1,G","0","1,G","0",",G","28",",G","0",",G","47","1,G,30,",,,"81",",G,03,","19","G","19",",G",,,"66.3","1,G","76.1",",,,G","56.5","1,,,G"
