Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
-7.0E-4, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
0.00136, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
0.18756, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
0.74874, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
2.40135, 2020-2039, cnrm_cm5, May Anomaly, NPL
1.65084, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
0.9923, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
0.75559, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
1.25852, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
0.45227, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
2.4E-4, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
2.2E-4, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
0.05915, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
0.8969, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
3.33169, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.58232, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.20898, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.31939, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
2.92952, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.74931, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.03055, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
0.00274, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.00884, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
-0.0159, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
1.07006, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
3.64643, 2020-2039, gfdl_cm3, May Anomaly, NPL
2.47017, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
2.14134, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
2.1761, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
2.37203, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
1.77027, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
0.1474, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-4.0E-4, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
5.6E-4, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
0.003, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.13405, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.83247, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
1.5807, 2020-2039, gfdl_esm2g, May Anomaly, NPL
1.02654, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.70591, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.18579, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
1.97726, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.87982, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
0.02163, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.00295, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.11716, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.6395, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
3.08652, 2020-2039, gfdl_esm2m, May Anomaly, NPL
1.1765, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.40617, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.67993, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
2.39358, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
0.69502, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
0.08683, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
0.02173, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
0.31895, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.94458, 2020-2039, hadgem2_ao, May Anomaly, NPL
0.82449, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
0.5986, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.73026, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
1.99513, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
0.5094, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
0.00312, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
0.17029, 2020-2039, hadgem2_cc, Mar Anomaly, NPL
0.64532, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
0.9245, 2020-2039, hadgem2_cc, May Anomaly, NPL
2.09384, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
1.43453, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
