Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
6.05947, 2040-2059, hadgem2_cc, Dec Anomaly, NPL
3.63887, 2040-2059, hadgem2_es, Jan Anomaly, NPL
0.87622, 2040-2059, hadgem2_es, Feb Anomaly, NPL
1.39973, 2040-2059, hadgem2_es, Mar Anomaly, NPL
2.36872, 2040-2059, hadgem2_es, Apr Anomaly, NPL
-0.0335, 2040-2059, hadgem2_es, May Anomaly, NPL
3.69736, 2040-2059, hadgem2_es, Jun Anomaly, NPL
1.5823, 2040-2059, hadgem2_es, Jul Anomaly, NPL
1.73685, 2040-2059, hadgem2_es, Aug Anomaly, NPL
7.26593, 2040-2059, hadgem2_es, Sep Anomaly, NPL
13.5518, 2040-2059, hadgem2_es, Oct Anomaly, NPL
9.19236, 2040-2059, hadgem2_es, Nov Anomaly, NPL
2.49603, 2040-2059, hadgem2_es, Dec Anomaly, NPL
1.27378, 2040-2059, inmcm4, Jan Anomaly, NPL
-0.018, 2040-2059, inmcm4, Feb Anomaly, NPL
0.16494, 2040-2059, inmcm4, Mar Anomaly, NPL
0.22736, 2040-2059, inmcm4, Apr Anomaly, NPL
0.78884, 2040-2059, inmcm4, May Anomaly, NPL
0.93801, 2040-2059, inmcm4, Jun Anomaly, NPL
3.59539, 2040-2059, inmcm4, Jul Anomaly, NPL
11.4232, 2040-2059, inmcm4, Aug Anomaly, NPL
6.23911, 2040-2059, inmcm4, Sep Anomaly, NPL
3.12841, 2040-2059, inmcm4, Oct Anomaly, NPL
0.42864, 2040-2059, inmcm4, Nov Anomaly, NPL
0.90827, 2040-2059, inmcm4, Dec Anomaly, NPL
9.88533, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
4.86126, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
3.90035, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
6.41956, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
8.6583, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
