Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
1.55637, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
0.89563, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
0.67265, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
0.27872, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
-0.5037, 2060-2079, miroc_esm_chem, Nov Anomaly, NPL
0.49208, 2060-2079, miroc_esm_chem, Dec Anomaly, NPL
0.27181, 2060-2079, miroc_esm, Jan Anomaly, NPL
-0.337, 2060-2079, miroc_esm, Feb Anomaly, NPL
-0.095, 2060-2079, miroc_esm, Mar Anomaly, NPL
0.27386, 2060-2079, miroc_esm, Apr Anomaly, NPL
0.43737, 2060-2079, miroc_esm, May Anomaly, NPL
0.18772, 2060-2079, miroc_esm, Jun Anomaly, NPL
0.45952, 2060-2079, miroc_esm, Jul Anomaly, NPL
-0.0151, 2060-2079, miroc_esm, Aug Anomaly, NPL
0.43862, 2060-2079, miroc_esm, Sep Anomaly, NPL
0.3731, 2060-2079, miroc_esm, Oct Anomaly, NPL
-0.0298, 2060-2079, miroc_esm, Nov Anomaly, NPL
0.39036, 2060-2079, miroc_esm, Dec Anomaly, NPL
-0.0147, 2060-2079, mri_cgcm3, Jan Anomaly, NPL
0.31233, 2060-2079, mri_cgcm3, Feb Anomaly, NPL
0.01573, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
0.10277, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
0.09679, 2060-2079, mri_cgcm3, May Anomaly, NPL
0.00736, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
0.65164, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
0.33955, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
0.15745, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
0.07328, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
-0.0169, 2060-2079, mri_cgcm3, Nov Anomaly, NPL
-0.0909, 2060-2079, mri_cgcm3, Dec Anomaly, NPL
-0.2011, 2060-2079, noresm1_m, Jan Anomaly, NPL
0.10795, 2060-2079, noresm1_m, Feb Anomaly, NPL
-0.0517, 2060-2079, noresm1_m, Mar Anomaly, NPL
-6.0E-4, 2060-2079, noresm1_m, Apr Anomaly, NPL
0.25075, 2060-2079, noresm1_m, May Anomaly, NPL
0.39882, 2060-2079, noresm1_m, Jun Anomaly, NPL
1.33959, 2060-2079, noresm1_m, Jul Anomaly, NPL
0.96901, 2060-2079, noresm1_m, Aug Anomaly, NPL
-0.2627, 2060-2079, noresm1_m, Sep Anomaly, NPL
