YEAR,MONTH,DAY,TMAX
1982,3,8,16.1
1982,3,11,21.1
1982,3,15,20.1
1982,3,20,21.4
1982,3,21,21.5
1982,4,3,23
1982,4,6,26.2
1982,4,8,26.4
1982,4,15,22.9
1982,4,17,21.5
1982,4,26,23.8
1982,4,30,24.2
1982,5,1,25.6
1982,5,6,25
1982,5,9,24.6
1982,5,12,25.5
1982,5,18,25.3
1982,5,24,27.8
1982,5,30,25.9
1982,6,4,25.8
1982,7,4,21.7
1982,7,7,22.4
1982,7,8,24.4
1982,7,13,25
1982,7,16,25.1
1982,7,17,26.3
1982,7,21,24.5
1982,8,3,20.1
1982,8,4,21.8
1982,8,5,23.2
1982,8,9,23.9
1982,8,12,26.4
1982,8,13,27.2
1982,9,12,23.8
1982,9,13,21
1982,11,4,20.5
1982,11,10,15.1
1982,11,12,14.8
1982,11,13,16.8
1982,11,14,18.4
1982,11,16,18.4
1982,11,17,18.9
1982,11,19,19.5
1982,11,20,19.7
1982,11,22,18.2
1982,11,23,17.6
1982,11,26,15.8
1982,12,1,15.9
1982,12,22,16.7
1982,12,24,14.9
1983,1,10,11.3
1983,1,11,11.9
1983,1,14,13.5
1983,1,16,14.4
1983,2,9,16.4
1983,2,18,18.5
1983,2,22,16.8
1983,2,23,15.3
1983,2,24,14.7
1983,2,25,16.8
1983,3,9,18.6
1983,3,11,21.8
1983,3,17,18.5
1983,4,6,24.3
1983,4,16,14.3
1983,4,17,19.3
1983,5,4,22.2
1983,6,21,24.5
1983,6,25,26.4
1983,6,27,26.8
1983,6,28,25.7
1983,7,6,22.8
1983,7,7,23.5
1983,7,8,25.2
1983,7,10,25
1983,7,12,24.3
1983,7,13,25
1983,7,14,23.1
1983,7,16,21.1
1983,7,17,24.7
1983,7,18,26.6
1983,7,19,25.4
1983,7,20,24.6
1983,7,21,26.1
1983,7,22,26.1
1983,7,23,25
1983,7,24,24.7
1983,7,28,23.7
1983,7,30,26.4
1983,7,31,23.4
1983,8,2,25.8
1983,8,3,24
1983,8,5,24.3
1983,8,6,26.4
1983,8,7,26.4
1983,8,8,27.1
1983,8,10,23.4
1983,8,11,23.2
1983,8,12,25.2
1983,8,14,26.4
1983,8,15,26.2
1983,8,16,25.3
1983,8,17,26.3
1983,8,18,27.2
1983,8,19,27.4
1983,8,23,21.8
1983,8,24,22.2
1983,8,27,26.5
1983,8,28,23.3
1983,8,30,22.8
1983,8,31,23.7
1983,9,1,24.2
1983,9,3,25.5
1983,9,4,24.5
1983,9,5,24
1983,9,6,25.4
1983,9,7,26.4
1983,9,8,25.4
1983,9,10,24.3
1983,9,11,23.7
1983,9,14,22.9
1983,9,15,23.5
1983,9,16,25.6
1983,9,17,23.3
1983,9,18,22.9
1983,9,19,25.6
1983,9,22,22.3
1983,9,23,24.4
1983,9,24,23.8
1983,9,28,23.3
1983,10,2,26.4
1983,10,9,22.1
1983,10,10,24.8
1983,10,13,22.2
1983,10,14,22.5
1983,10,15,23.1
1983,10,16,20.6
1983,10,17,20.5
1983,10,20,27.1
1983,10,21,24.5
1983,10,22,23.2
1983,10,25,19
1983,10,26,20.8
1983,11,19,20.2
1983,11,20,17.7
1983,11,22,21.4
1983,11,26,21.2
1983,11,28,18.5
1983,11,30,18
1983,12,2,18.9
1983,12,3,17.8
1983,12,4,17.3
1983,12,5,17.5
1983,12,25,11.2
1983,12,26,8
1984,1,2,12.5
1984,1,3,18.9
1984,1,4,15
1984,1,5,14.1
1984,1,6,15.3
1984,1,13,16.8
1984,1,15,13.8
1984,1,19,7.6
1984,1,21,10.4
1984,1,23,12.5
1984,1,24,12.8
1984,1,25,12.3
1984,1,26,14.1
1984,1,27,15.4
1984,1,28,13
1984,1,30,13.6
1984,2,2,15.1
1984,2,4,17.3
1984,2,5,15
1984,2,6,15.8
1984,2,7,15.8
1984,2,8,15.4
1984,2,13,15.3
1984,2,14,16.4
1984,2,16,18
1984,2,17,18.6
1984,2,19,16.7
1984,2,20,12.4
1984,2,21,18.3
1984,2,25,14.9
1984,2,26,15.6
1984,2,27,16.2
1984,2,28,16.7
1984,2,29,17.4
1984,3,2,17.1
1984,3,3,16.8
1984,3,5,17.8
1984,3,8,19.3
1984,3,9,19
1984,3,10,19.1
1984,3,12,20.2
1984,3,14,21.8
1984,3,15,22
1984,3,16,21.6
1984,3,17,23.7
1984,3,20,22.7
1984,3,21,20
1984,3,22,21.1
1984,3,24,23
1984,3,25,23.1
1984,4,3,25.4
1984,4,6,24.6
1984,4,12,22.8
1984,4,13,24
1984,4,14,24.9
1984,4,15,25.3
1984,4,16,26.2
1984,4,17,23.6
1984,4,19,24.6
1984,4,20,26.2
1984,4,21,26.4
1984,4,24,24.8
1984,4,25,22.8
1984,4,28,20.6
1984,4,30,23.8
1984,5,1,23.6
1984,5,2,24.2
1984,5,6,23.2
1984,5,8,21.5
1984,5,11,21.3
1984,5,12,20.5
1984,5,16,22.4
1984,5,19,25.8
1984,5,23,26.5
1984,5,25,24.9
1984,5,27,25.5
1984,5,29,20.4
1984,6,2,27.4
1984,6,3,27.8
1984,6,4,25.9
1984,6,7,19.6
1984,6,8,22.2
1984,6,11,22.8
1984,6,15,22.2
1984,6,16,19.8
1984,6,17,22.4
1984,6,19,22.2
1984,6,20,23.2
1984,6,22,26.9
1984,6,25,23.4
1984,6,28,25
1984,6,29,22.6
1984,6,30,24.3
1984,7,4,24.6
1984,7,6,22.8
1984,7,7,24.6
1984,7,8,21.6
1984,7,9,21.5
1984,7,10,24.2
1984,7,11,20.7
1984,7,13,22.3
1984,7,14,22.9
1984,7,16,24.6
1984,7,17,23.8
1984,7,18,24.5
1984,7,19,23.1
1984,7,20,23.7
1984,7,22,22.7
1984,7,23,21.8
1984,7,25,22.2
1984,7,26,21.3
1984,7,30,24.5
1984,7,31,24.6
1984,8,4,22.7
1984,8,5,23.6
1984,8,7,26.3
1984,9,1,26.1
1984,9,2,26
1984,9,3,25.2
1984,9,4,24.1
1984,9,9,23.2
1984,9,11,23.5
1984,9,12,21.3
1984,9,14,20.8
1984,9,15,20.7
1984,9,18,20.6
1984,9,20,21.9
1984,9,21,21.7
1984,9,22,22.9
1984,9,23,21.8
1984,9,24,22.4
1984,9,25,22.4
1984,9,26,22
1984,9,27,22.8
1984,9,28,22.6
1984,9,29,22.9
1984,9,30,23.1
1984,10,1,24.1
1984,10,2,26.7
1984,10,3,25.7
1984,10,4,23
1984,10,7,22.9
1984,10,8,20.7
1984,10,10,21
1984,10,11,22.2
1984,10,12,24.4
1984,10,15,24.8
1984,10,16,22.6
1984,10,18,22.7
1984,10,19,22
1984,10,20,21.2
1984,10,22,20.8
1984,10,25,20.6
1984,10,27,20.6
1984,10,28,21
1984,10,29,20
1984,10,30,20.5
1984,11,1,19.6
1984,11,2,22.9
1984,11,3,22.7
1984,11,6,20.5
1984,11,7,21.3
1984,11,8,21.4
1984,11,9,19.6
1984,11,10,18
1984,11,11,17.3
1984,11,12,16.6
1984,11,14,18.2
1984,11,15,18.4
1984,11,17,19.8
1984,11,19,19.3
1984,11,20,17.3
1984,11,24,19.3
1984,11,25,18.1
1984,11,26,15.9
1984,11,27,17.7
1984,11,29,19.2
1984,12,3,18.4
1984,12,7,18.4
1984,12,11,15.5
1984,12,24,17
1984,12,25,17.4
1984,12,26,16.9
1984,12,27,13.7
1984,12,31,15.3
1985,1,2,15.1
1985,1,4,14.3
1985,1,5,9.6
1985,1,6,14
1985,1,13,13.3
1985,1,14,12.7
1985,1,15,11.9
1985,1,16,12.1
1985,1,17,17.2
1985,1,18,14.2
1985,1,23,16.1
1985,1,24,15.4
1985,1,26,16.8
1985,1,27,15.9
1985,1,30,14.9
1985,1,31,16.1
1985,2,1,16.1
1985,2,2,14.3
1985,2,5,14.8
1985,2,7,12
1985,2,9,11.6
1985,2,10,13.3
1985,2,12,14.4
1985,2,13,17.2
1985,2,14,17.2
1985,2,15,16.4
1985,2,17,14.1
1985,2,18,14.6
1985,2,19,14.8
1985,2,20,15.1
1985,2,21,16.2
1985,2,23,16.8
1985,2,24,18
1985,2,25,16.4
1985,2,26,17.2
1985,2,27,19.4
1985,2,28,17
1985,3,1,16.6
1985,3,2,17.8
1985,3,3,18.8
1985,3,5,21.4
1985,3,6,20.8
1985,3,8,23
1985,3,11,20.8
1985,3,12,21.9
1985,3,13,21.6
1985,3,14,21.4
1985,3,31,24.4
1985,4,1,24.9
1985,4,3,24
1985,4,4,25
1985,4,5,25.1
1985,4,6,35.2
1985,4,7,23.4
1985,4,8,22.7
1985,4,9,22
1985,4,10,23.1
1985,4,11,23.9
1985,4,12,25.8
1985,4,13,26
1985,4,14,25.6
1985,4,16,25.8
1985,4,17,26
1985,4,19,23.8
1985,4,20,24.2
1985,4,21,25.6
1985,4,22,23.4
1985,4,23,23.5
1985,4,28,23.8
1985,4,29,24.6
1985,4,30,24.8
1985,5,1,22.1
1985,5,5,22.8
1985,5,7,22.6
1985,5,8,24.2
1985,5,9,24.9
1985,5,10,25.3
1985,5,12,22.5
1985,5,14,24
1985,5,16,25.9
1985,5,17,26.6
1985,5,19,25.2
1985,5,20,26
1985,5,21,23.3
1985,5,22,25.1
1985,5,23,24.3
1985,5,24,25
1985,5,27,26.1
1985,5,30,26.9
1985,5,31,25.8
1985,6,2,24.9
1985,6,3,24.8
1985,6,4,25.3
1985,6,5,24.6
1985,6,10,23.7
1985,6,14,25.3
1985,6,15,23.8
1985,6,16,23.4
1985,6,18,24.1
1985,6,19,25.5
1985,6,20,25.2
1985,6,21,26
1985,6,22,25.7
1985,6,23,24.8
1985,6,24,24.7
1985,6,25,27.1
1985,6,26,25.9
1985,6,27,25.4
1985,6,28,25.7
1985,7,1,24.9
1985,7,2,23.6
1985,7,3,24.4
1985,7,6,24.9
1985,7,7,25.5
1985,7,8,24.6
1985,7,10,23.5
1985,7,11,24
1985,7,12,24.4
1985,7,13,24.2
1985,7,14,23.2
1985,7,15,24.2
1985,7,18,25.2
1985,7,19,23.5
1985,8,3,24.6
1985,8,5,25.2
1985,8,8,26.2
1985,8,9,24.4
1985,8,10,23.7
1985,8,11,24.7
1985,8,12,25
1985,8,13,25.8
1985,8,15,24.8
1985,8,16,25.6
1985,8,17,24.6
1985,8,18,23.9
1985,8,19,23.8
1985,8,20,26.5
1985,8,23,25.8
1985,8,29,26
1985,8,30,25.1
1985,9,1,23.6
1985,9,2,23.2
1985,9,3,22.4
1985,9,4,24.1
1985,9,5,22.5
1985,9,11,24.8
1985,9,12,25.6
1985,9,14,24.1
1985,9,15,22.5
1985,9,23,22.8
1985,9,24,22.4
1985,9,25,21.6
1985,9,26,23.6
1985,9,30,22.9
1985,10,5,23.7
1985,10,6,23.3
1985,10,8,22.3
1985,10,9,21.6
1985,10,13,22.5
1985,10,15,28.1
1985,10,19,20.2
1985,10,20,22
1985,10,22,24
1985,10,23,22.9
1985,10,24,20.7
1985,10,28,19.4
1985,10,30,19.4
1985,10,31,20.8
1985,11,1,18.9
1985,11,3,20
1985,11,5,16.8
1985,11,6,17.2
1985,11,8,17
1985,11,10,16.1
1985,11,11,17
1985,11,12,18.3
1985,11,13,19.8
1985,11,14,19.6
1985,11,16,21.7
1985,11,17,18.9
1985,11,18,18.9
1985,11,19,18.3
1985,11,20,17.4
1985,11,21,18.9
1985,11,24,17
1985,11,26,19.1
1985,11,27,18.1
1985,11,29,17.2
1985,11,30,17.2
1985,12,1,16.6
1985,12,2,16.2
1985,12,4,16.9
1985,12,5,17.9
1985,12,6,17.3
1985,12,8,16.9
1985,12,12,15.3
1985,12,13,14.6
1985,12,14,17
1985,12,15,17.1
1985,12,16,18.4
1985,12,18,16.6
1985,12,20,13.6
1985,12,23,18.4
1985,12,24,17.4
1985,12,25,17.5
1985,12,26,14.3
1985,12,30,12
1986,1,1,13.2
1986,1,2,14.4
1986,1,6,16.8
1986,1,7,15.4
1986,1,8,15.5
1986,1,10,16.1
1986,1,11,16.1
1986,1,12,14.9
1986,1,13,15.6
1986,1,15,14.2
1986,1,18,16
1986,1,20,16.5
1986,1,22,14.9
1986,1,26,15.3
1986,1,27,16.6
1986,1,30,16.2
1986,1,31,16.3
1986,2,2,13.9
1986,2,5,16.5
1986,2,6,16.1
1986,2,7,14.9
1986,2,8,17
1986,2,9,17.5
1986,2,10,19.7
1986,2,11,17.8
1986,2,13,17
1986,2,14,17
1986,2,18,14.7
1986,3,6,18.3
1986,3,8,17.5
1986,3,11,20.5
1986,3,12,22.2
1986,3,14,22.4
1986,3,15,23.8
1986,3,18,20.3
1986,3,19,21.5
1986,3,24,23.3
1986,3,25,22.9
1986,3,26,22
1986,3,27,23
1986,3,28,23.2
1986,4,1,25.4
1986,4,2,25.4
1986,4,3,24.2
1986,4,4,20.7
1986,4,6,19.6
1986,4,7,20.4
1986,4,8,21.1
1986,4,10,19.7
1986,4,11,22
1986,4,14,23.2
1986,4,15,21.6
1986,4,16,23.4
1986,4,17,26.3
1986,4,19,26.3
1986,4,20,24.6
1986,4,21,24.6
1986,4,28,20.2
1986,4,30,20.7
1986,5,1,20.5
1986,5,2,20.1
1986,5,3,22.8
1986,5,4,22.2
1986,5,8,22.3
1986,5,9,23.4
1986,5,10,25.6
1986,5,11,23.6
1986,5,12,22.4
1986,5,13,22.4
1986,5,14,22.8
1986,5,16,21.4
1986,5,19,23.8
1986,5,20,24.1
1986,5,21,23.8
1986,5,22,24.3
1986,5,23,24.1
1986,5,24,24
1986,5,25,24.7
1986,5,26,25.2
1986,5,29,24
1986,5,30,25.1
1986,5,31,24.9
1986,6,1,24.7
1986,6,2,24
1986,6,4,25.7
1986,6,5,25.8
1986,6,6,24.2
1986,6,7,25.4
1986,6,10,25.7
1986,6,12,24.4
1986,6,13,24.5
1986,6,14,25.5
1986,6,15,25
1986,6,16,23.7
1986,6,17,25.3
1986,6,18,24.3
1986,6,19,25.9
1986,6,20,25.7
1986,6,22,29.6
1986,6,24,25.6
1986,6,25,26.6
1986,6,27,24.9
1986,7,5,22.7
1986,7,6,26.3
1986,7,7,24.4
1986,7,8,22.2
1986,7,9,25.4
1986,7,10,25.9
1986,7,14,25.7
1986,7,16,22.7
1986,7,17,22.2
1986,7,19,24.8
1986,7,21,25.8
1986,7,23,24.4
1986,7,24,23.8
1986,7,25,22.8
1986,7,26,24.1
1986,8,1,22
1986,8,2,22
1986,8,4,24.8
1986,8,8,25.1
1986,8,9,26.5
1986,8,10,27.3
1986,8,11,26.4
1986,8,16,23.5
1986,8,17,29.1
1986,8,18,25
1986,8,20,26.6
1986,8,21,24.1
1986,8,29,24.7
1986,9,2,22.9
1986,9,3,24.1
1986,9,16,22.7
1986,9,17,22.6
1986,9,18,22.9
1986,9,27,20.4
1986,9,28,21
1986,9,29,21.5
1986,9,30,20.8
1986,10,6,19.1
1986,10,7,17.8
1986,10,10,20.1
1986,10,11,20.1
1986,10,12,20.9
1986,10,13,20
1986,10,23,21.3
1986,10,24,21.5
1986,10,25,21.9
1986,10,26,20.6
1986,10,27,19.3
1986,11,13,18.4
1986,11,22,18.1
1986,11,24,17.2
1986,11,26,17.3
1986,11,29,17.7
1986,11,30,18.4
1986,12,8,17
1986,12,10,17.3
1986,12,11,16.8
1986,12,12,15.2
1986,12,14,13.5
1986,12,17,13.9
1986,12,19,15.4
1986,12,20,15.8
1986,12,26,16
1987,1,3,13.6
1987,1,4,15.6
1987,1,8,19.7
1987,2,9,16.9
1987,2,10,16.6
1987,2,12,14.4
1987,2,13,17.8
1987,2,17,17
1987,2,18,16.4
1987,2,19,17.9
1987,2,21,18.6
1987,2,24,19.8
1987,3,1,15.5
1987,3,3,17.6
1987,3,4,17.8
1987,3,13,13.2
1987,3,16,15.9
1987,3,17,17
1987,3,18,17.9
1987,3,22,20.5
1987,3,23,20.2
1987,3,24,21
1987,3,26,22.3
1987,3,28,23
1987,3,29,23.2
1987,3,30,21.2
1987,3,31,22.3
1987,4,1,22.2
1987,4,6,23.4
1987,4,7,23.8
1987,4,8,23.6
1987,4,9,23.5
1987,4,16,24.3
1987,4,21,23.5
1987,4,27,17.1
1987,5,9,20.8
1987,5,10,22.4
1987,5,20,26.7
1987,5,21,25.8
1987,5,22,24.9
1987,6,3,24.2
1987,6,5,22.8
1987,6,6,23.8
1987,6,9,26
1987,6,12,25.3
1987,6,16,25.9
1987,6,18,25.5
1987,6,20,22
1987,7,8,25.1
1987,7,13,25.4
1987,7,14,24.6
1987,7,19,25
1987,7,21,25
1987,7,22,26.2
1987,7,24,21.6
1987,8,1,20.2
1987,8,8,33.5
1987,8,16,23.6
1987,8,30,24.2
1987,9,3,24.7
1987,9,5,24.8
1987,9,14,25.6
1987,9,15,23.4
1987,9,16,23.8
1987,9,20,23.2
1987,9,24,22.9
1987,10,1,21.2
1987,10,2,22.6
1987,10,9,21.8
1987,10,10,21.5
1987,10,12,20.7
1987,10,13,21.4
1987,10,18,23.8
1987,10,29,19.6
1987,10,31,19.5
1987,11,1,18.6
1987,11,4,20.3
1987,11,5,21
1987,11,6,21
1987,11,9,21.2
1987,11,10,19.2
1987,11,13,21.8
1987,11,14,20
1987,11,16,22.5
1987,11,18,19.3
1987,11,19,18.5
1987,11,29,18
1987,11,30,18.3
1987,12,2,18.3
1987,12,6,17.2
1987,12,18,16.7
1987,12,27,16.3
1987,12,28,14.9
1987,12,29,16.3
1988,1,2,15.7
1988,1,3,15.9
1988,1,4,15.3
1988,1,7,15.6
1988,1,8,18.4
1988,1,10,13.4
1988,1,14,15.6
1988,1,16,13.5
1988,1,18,13.6
1988,1,19,14.3
1988,2,5,18.2
1988,2,8,17.8
1988,2,12,17.2
1988,2,15,17.6
1988,2,17,16.2
1988,2,20,16.5
1988,3,8,19.5
1988,3,26,22.5
1988,4,5,25.6
1988,4,6,26.7
1988,4,8,25.8
1988,4,10,26.6
1988,4,19,21.4
1988,4,21,21.8
1988,4,25,23.6
1988,4,28,25.3
1988,4,29,23.4
1988,5,1,24.4
1988,5,31,23.8
1988,6,3,25.8
1988,6,5,25.4
1988,6,7,25.8
1988,6,12,26.5
1988,6,18,24.6
1988,6,22,24.5
1988,6,23,25.3
1988,6,30,25.2
1988,8,2,28
1988,8,17,25.9
1988,8,24,22.4
1988,8,25,21.3
1988,10,2,24
1988,10,13,24.1
1988,10,24,21.7
1988,10,30,21.9
1988,10,31,20.5
1988,11,1,20.8
1988,11,14,21
1988,11,22,20.4
1988,11,24,20.6
1988,11,29,19.2
1988,12,20,16.8
1988,12,22,17.3
1988,12,27,16.3
1988,12,29,15.8
1989,1,2,17.8
1989,1,4,15.4
1989,1,14,13.4
1989,1,21,13.9
1989,2,5,16.8
1989,2,7,17.8
1989,2,17,14.9
1989,3,4,18.5
1989,3,13,17
1989,4,4,22
1989,4,10,24.8
1989,4,14,24.4
1989,4,20,28.2
1989,4,23,27.7
1989,5,7,29.2
1989,5,9,27.3
1989,5,10,28.3
1989,5,11,28.3
1989,5,16,24.8
1989,5,21,26.3
1989,5,23,23.5
1989,5,24,27
1989,5,27,20.5
1989,6,1,24.2
1989,6,5,24.3
1989,6,25,24.8
1989,6,26,24.7
1989,6,28,23.5
1989,7,11,22.4
1989,7,14,21.4
1989,7,17,22.1
1989,8,4,24.8
1989,8,23,25.4
1989,9,4,21
1989,9,8,24
1989,9,11,24.3
1989,9,13,24.8
1989,9,14,20.5
1989,9,15,24.1
1989,9,16,23.8
1989,9,22,23
1989,9,23,22.2
1989,9,28,18.6
1989,10,7,22.7
1989,10,8,22.6
1989,10,10,22.9
1989,10,13,23.5
1989,10,17,22.9
1989,10,18,21.5
1989,11,2,20.1
1989,11,3,18.3
1989,11,5,17.5
1989,11,28,18.4
1989,12,3,19.1
1989,12,5,16.5
