Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.79338, 2020-2039, mpi_esm_lr, Jun Anomaly, NPL
0.38883, 2020-2039, mpi_esm_lr, Jul Anomaly, NPL
0.00386, 2020-2039, mpi_esm_lr, Aug Anomaly, NPL
0.00278, 2020-2039, mpi_esm_lr, Sep Anomaly, NPL
1.4E-4, 2020-2039, mpi_esm_mr, Mar Anomaly, NPL
0.08186, 2020-2039, mpi_esm_mr, Apr Anomaly, NPL
0.8687, 2020-2039, mpi_esm_mr, May Anomaly, NPL
-0.3298, 2020-2039, mpi_esm_mr, Jun Anomaly, NPL
-0.1189, 2020-2039, mpi_esm_mr, Jul Anomaly, NPL
0.00385, 2020-2039, mpi_esm_mr, Aug Anomaly, NPL
-0.0022, 2020-2039, mpi_esm_mr, Sep Anomaly, NPL
5.4E-4, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
0.0078, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
0.43295, 2020-2039, mri_cgcm3, May Anomaly, NPL
1.01324, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
0.41284, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
-0.058, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
0.01885, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
0.00187, 2020-2039, noresm1_m, Mar Anomaly, NPL
0.23901, 2020-2039, noresm1_m, Apr Anomaly, NPL
0.91674, 2020-2039, noresm1_m, May Anomaly, NPL
1.13792, 2020-2039, noresm1_m, Jun Anomaly, NPL
0.15647, 2020-2039, noresm1_m, Jul Anomaly, NPL
-4.0E-4, 2020-2039, noresm1_m, Aug Anomaly, NPL
7.2E-4, 2020-2039, noresm1_m, Sep Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.2091, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-1.1296, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-1.0527, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.2475, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.0107, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.0016, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
0.00166, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
0.25637, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
0.94091, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
0.73649, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
0.12053, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
0.01131, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
0.00274, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
0.06711, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
1.2606, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
2.98929, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
4.38092, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
3.33191, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
0.90986, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
0.28515, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
0.00616, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
-0.4507, 2020-2039, access1_0, Annual Anomaly, NPL
0.52061, 2020-2039, access1_3, Annual Anomaly, NPL
2.88131, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
4.39461, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
3.30991, 2020-2039, bnu_esm, Annual Anomaly, NPL
3.85844, 2020-2039, canesm2, Annual Anomaly, NPL
2.42405, 2020-2039, ccsm4, Annual Anomaly, NPL
2.68504, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
1.66952, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
0.961, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
