Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
3.78569, 2080-2099, miroc5, Jan Anomaly, NPL
14.0443, 2080-2099, miroc5, Feb Anomaly, NPL
52.1268, 2080-2099, miroc5, Mar Anomaly, NPL
93.32, 2080-2099, miroc5, Apr Anomaly, NPL
104.421, 2080-2099, miroc5, May Anomaly, NPL
54.4129, 2080-2099, miroc5, Jun Anomaly, NPL
50.8744, 2080-2099, miroc5, Jul Anomaly, NPL
63.4483, 2080-2099, miroc5, Aug Anomaly, NPL
58.0345, 2080-2099, miroc5, Sep Anomaly, NPL
59.4925, 2080-2099, miroc5, Oct Anomaly, NPL
30.4404, 2080-2099, miroc5, Nov Anomaly, NPL
8.00261, 2080-2099, miroc5, Dec Anomaly, NPL
9.15339, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
2.31404, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
59.1688, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
121.559, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
145.802, 2080-2099, miroc_esm_chem, May Anomaly, NPL
127.074, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
68.5746, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
83.1732, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
97.5874, 2080-2099, miroc_esm_chem, Sep Anomaly, NPL
87.7774, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
44.3015, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
17.3854, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
9.43352, 2080-2099, miroc_esm, Jan Anomaly, NPL
8.43093, 2080-2099, miroc_esm, Feb Anomaly, NPL
52.9146, 2080-2099, miroc_esm, Mar Anomaly, NPL
119.076, 2080-2099, miroc_esm, Apr Anomaly, NPL
112.817, 2080-2099, miroc_esm, May Anomaly, NPL
100.401, 2080-2099, miroc_esm, Jun Anomaly, NPL
60.1128, 2080-2099, miroc_esm, Jul Anomaly, NPL
83.7563, 2080-2099, miroc_esm, Aug Anomaly, NPL
85.086, 2080-2099, miroc_esm, Sep Anomaly, NPL
93.7241, 2080-2099, miroc_esm, Oct Anomaly, NPL
46.868, 2080-2099, miroc_esm, Nov Anomaly, NPL
13.5648, 2080-2099, miroc_esm, Dec Anomaly, NPL
0.33595, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
2.07911, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
32.0901, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
69.695, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
68.2664, 2080-2099, mri_cgcm3, May Anomaly, NPL
85.9545, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
83.3896, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
91.4493, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
55.9213, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
35.5312, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
10.2902, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
0.90133, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
3.83592, 2080-2099, noresm1_m, Jan Anomaly, NPL
5.11875, 2080-2099, noresm1_m, Feb Anomaly, NPL
30.2167, 2080-2099, noresm1_m, Mar Anomaly, NPL
90.1836, 2080-2099, noresm1_m, Apr Anomaly, NPL
106.981, 2080-2099, noresm1_m, May Anomaly, NPL
89.8481, 2080-2099, noresm1_m, Jun Anomaly, NPL
71.6609, 2080-2099, noresm1_m, Jul Anomaly, NPL
86.0429, 2080-2099, noresm1_m, Aug Anomaly, NPL
85.9279, 2080-2099, noresm1_m, Sep Anomaly, NPL
71.5769, 2080-2099, noresm1_m, Oct Anomaly, NPL
26.3704, 2080-2099, noresm1_m, Nov Anomaly, NPL
5.53588, 2080-2099, noresm1_m, Dec Anomaly, NPL
