Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.4407842, 2080-2099, giss_e2_h, Feb Anomaly, Nepal, NPL
2.4082878, 2080-2099, giss_e2_h, Mar Anomaly, Nepal, NPL
2.2784288, 2080-2099, giss_e2_h, Apr Anomaly, Nepal, NPL
2.7695367, 2080-2099, giss_e2_h, May Anomaly, Nepal, NPL
2.3318932, 2080-2099, giss_e2_h, Jun Anomaly, Nepal, NPL
1.9891717, 2080-2099, giss_e2_h, Jul Anomaly, Nepal, NPL
1.1342428, 2080-2099, giss_e2_h, Aug Anomaly, Nepal, NPL
2.5881438, 2080-2099, giss_e2_h, Sep Anomaly, Nepal, NPL
2.456412, 2080-2099, giss_e2_h, Oct Anomaly, Nepal, NPL
2.1141033, 2080-2099, giss_e2_h, Nov Anomaly, Nepal, NPL
2.570925, 2080-2099, giss_e2_h, Dec Anomaly, Nepal, NPL
2.8215916, 2080-2099, giss_e2_r, Jan Anomaly, Nepal, NPL
3.3798234, 2080-2099, giss_e2_r, Feb Anomaly, Nepal, NPL
3.0989363, 2080-2099, giss_e2_r, Mar Anomaly, Nepal, NPL
3.1295104, 2080-2099, giss_e2_r, Apr Anomaly, Nepal, NPL
2.2539723, 2080-2099, giss_e2_r, May Anomaly, Nepal, NPL
1.6980324, 2080-2099, giss_e2_r, Jun Anomaly, Nepal, NPL
1.5224211, 2080-2099, giss_e2_r, Jul Anomaly, Nepal, NPL
1.0417845, 2080-2099, giss_e2_r, Aug Anomaly, Nepal, NPL
1.5740386, 2080-2099, giss_e2_r, Sep Anomaly, Nepal, NPL
1.9676257, 2080-2099, giss_e2_r, Oct Anomaly, Nepal, NPL
1.793738, 2080-2099, giss_e2_r, Nov Anomaly, Nepal, NPL
2.4080215, 2080-2099, giss_e2_r, Dec Anomaly, Nepal, NPL
3.1126668, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, Nepal, NPL
3.7280934, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, Nepal, NPL
2.8370452, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, Nepal, NPL
3.463904, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, Nepal, NPL
2.9186912, 2080-2099, ipsl_cm5a_mr, May Anomaly, Nepal, NPL
2.7543473, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, Nepal, NPL
2.6857011, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, Nepal, NPL
3.7588215, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, Nepal, NPL
3.0465202, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, Nepal, NPL
3.216866, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, Nepal, NPL
3.547301, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, Nepal, NPL
2.6420677, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, Nepal, NPL
3.7020369, 2080-2099, miroc_esm, Jan Anomaly, Nepal, NPL
3.4805295, 2080-2099, miroc_esm, Feb Anomaly, Nepal, NPL
3.631477, 2080-2099, miroc_esm, Mar Anomaly, Nepal, NPL
4.486248, 2080-2099, miroc_esm, Apr Anomaly, Nepal, NPL
3.6864493, 2080-2099, miroc_esm, May Anomaly, Nepal, NPL
2.6525722, 2080-2099, miroc_esm, Jun Anomaly, Nepal, NPL
0.5817871, 2080-2099, miroc_esm, Jul Anomaly, Nepal, NPL
1.8640394, 2080-2099, miroc_esm, Aug Anomaly, Nepal, NPL
2.0218964, 2080-2099, miroc_esm, Sep Anomaly, Nepal, NPL
3.3960102, 2080-2099, miroc_esm, Oct Anomaly, Nepal, NPL
2.881162, 2080-2099, miroc_esm, Nov Anomaly, Nepal, NPL
3.0936265, 2080-2099, miroc_esm, Dec Anomaly, Nepal, NPL
4.615707, 2080-2099, miroc_esm_chem, Jan Anomaly, Nepal, NPL
4.028705, 2080-2099, miroc_esm_chem, Feb Anomaly, Nepal, NPL
3.92799, 2080-2099, miroc_esm_chem, Mar Anomaly, Nepal, NPL
4.811243, 2080-2099, miroc_esm_chem, Apr Anomaly, Nepal, NPL
4.591837, 2080-2099, miroc_esm_chem, May Anomaly, Nepal, NPL
4.150544, 2080-2099, miroc_esm_chem, Jun Anomaly, Nepal, NPL
1.0592127, 2080-2099, miroc_esm_chem, Jul Anomaly, Nepal, NPL
2.089601, 2080-2099, miroc_esm_chem, Aug Anomaly, Nepal, NPL
2.7917683, 2080-2099, miroc_esm_chem, Sep Anomaly, Nepal, NPL
3.1036363, 2080-2099, miroc_esm_chem, Oct Anomaly, Nepal, NPL
2.9168408, 2080-2099, miroc_esm_chem, Nov Anomaly, Nepal, NPL
3.7339633, 2080-2099, miroc_esm_chem, Dec Anomaly, Nepal, NPL
3.4309995, 2080-2099, miroc5, Jan Anomaly, Nepal, NPL
3.359553, 2080-2099, miroc5, Feb Anomaly, Nepal, NPL
3.1486564, 2080-2099, miroc5, Mar Anomaly, Nepal, NPL
2.9014251, 2080-2099, miroc5, Apr Anomaly, Nepal, NPL
2.2436306, 2080-2099, miroc5, May Anomaly, Nepal, NPL
0.52313423, 2080-2099, miroc5, Jun Anomaly, Nepal, NPL
0.90677154, 2080-2099, miroc5, Jul Anomaly, Nepal, NPL
1.631127, 2080-2099, miroc5, Aug Anomaly, Nepal, NPL
1.6744537, 2080-2099, miroc5, Sep Anomaly, Nepal, NPL
1.5161723, 2080-2099, miroc5, Oct Anomaly, Nepal, NPL
2.2385623, 2080-2099, miroc5, Nov Anomaly, Nepal, NPL
2.5280678, 2080-2099, miroc5, Dec Anomaly, Nepal, NPL
