Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
14.96726, 2060-2079, miroc_esm_chem, Feb Average, Nepal, NPL
19.666193, 2060-2079, miroc_esm_chem, Mar Average, Nepal, NPL
24.94895, 2060-2079, miroc_esm_chem, Apr Average, Nepal, NPL
29.355812, 2060-2079, miroc_esm_chem, May Average, Nepal, NPL
26.677883, 2060-2079, miroc_esm_chem, Jun Average, Nepal, NPL
22.275816, 2060-2079, miroc_esm_chem, Jul Average, Nepal, NPL
21.851372, 2060-2079, miroc_esm_chem, Aug Average, Nepal, NPL
22.73508, 2060-2079, miroc_esm_chem, Sep Average, Nepal, NPL
21.133787, 2060-2079, miroc_esm_chem, Oct Average, Nepal, NPL
17.162254, 2060-2079, miroc_esm_chem, Nov Average, Nepal, NPL
13.347095, 2060-2079, miroc_esm_chem, Dec Average, Nepal, NPL
18.574444, 2060-2079, miroc5, Jan Average, Nepal, NPL
22.304695, 2060-2079, miroc5, Feb Average, Nepal, NPL
27.521093, 2060-2079, miroc5, Mar Average, Nepal, NPL
32.009075, 2060-2079, miroc5, Apr Average, Nepal, NPL
35.25808, 2060-2079, miroc5, May Average, Nepal, NPL
33.91457, 2060-2079, miroc5, Jun Average, Nepal, NPL
27.910807, 2060-2079, miroc5, Jul Average, Nepal, NPL
27.248734, 2060-2079, miroc5, Aug Average, Nepal, NPL
27.285099, 2060-2079, miroc5, Sep Average, Nepal, NPL
26.229313, 2060-2079, miroc5, Oct Average, Nepal, NPL
23.391901, 2060-2079, miroc5, Nov Average, Nepal, NPL
19.709648, 2060-2079, miroc5, Dec Average, Nepal, NPL
16.423183, 2060-2079, mri_cgcm3, Jan Average, Nepal, NPL
20.306337, 2060-2079, mri_cgcm3, Feb Average, Nepal, NPL
26.207905, 2060-2079, mri_cgcm3, Mar Average, Nepal, NPL
31.915518, 2060-2079, mri_cgcm3, Apr Average, Nepal, NPL
37.64782, 2060-2079, mri_cgcm3, May Average, Nepal, NPL
40.960148, 2060-2079, mri_cgcm3, Jun Average, Nepal, NPL
35.9372, 2060-2079, mri_cgcm3, Jul Average, Nepal, NPL
31.071579, 2060-2079, mri_cgcm3, Aug Average, Nepal, NPL
29.623938, 2060-2079, mri_cgcm3, Sep Average, Nepal, NPL
26.900946, 2060-2079, mri_cgcm3, Oct Average, Nepal, NPL
21.68537, 2060-2079, mri_cgcm3, Nov Average, Nepal, NPL
16.949368, 2060-2079, mri_cgcm3, Dec Average, Nepal, NPL
15.295098, 2060-2079, noresm1_m, Jan Average, Nepal, NPL
16.951067, 2060-2079, noresm1_m, Feb Average, Nepal, NPL
21.496536, 2060-2079, noresm1_m, Mar Average, Nepal, NPL
28.126686, 2060-2079, noresm1_m, Apr Average, Nepal, NPL
33.170567, 2060-2079, noresm1_m, May Average, Nepal, NPL
32.85168, 2060-2079, noresm1_m, Jun Average, Nepal, NPL
25.85699, 2060-2079, noresm1_m, Jul Average, Nepal, NPL
24.456251, 2060-2079, noresm1_m, Aug Average, Nepal, NPL
25.03446, 2060-2079, noresm1_m, Sep Average, Nepal, NPL
23.452204, 2060-2079, noresm1_m, Oct Average, Nepal, NPL
19.981148, 2060-2079, noresm1_m, Nov Average, Nepal, NPL
16.827316, 2060-2079, noresm1_m, Dec Average, Nepal, NPL
1.4594526, 2060-2079, Ensemble (10th Percentile), Jan Average, Nepal, NPL
1.1066482, 2060-2079, Ensemble (10th Percentile), Feb Average, Nepal, NPL
1.658265, 2060-2079, Ensemble (10th Percentile), Mar Average, Nepal, NPL
1.3156155, 2060-2079, Ensemble (10th Percentile), Apr Average, Nepal, NPL
1.1181314, 2060-2079, Ensemble (10th Percentile), May Average, Nepal, NPL
1.0389694, 2060-2079, Ensemble (10th Percentile), Jun Average, Nepal, NPL
-0.07969426, 2060-2079, Ensemble (10th Percentile), Jul Average, Nepal, NPL
0.32820246, 2060-2079, Ensemble (10th Percentile), Aug Average, Nepal, NPL
0.3031657, 2060-2079, Ensemble (10th Percentile), Sep Average, Nepal, NPL
0.7713871, 2060-2079, Ensemble (10th Percentile), Oct Average, Nepal, NPL
0.91223407, 2060-2079, Ensemble (10th Percentile), Nov Average, Nepal, NPL
1.2225256, 2060-2079, Ensemble (10th Percentile), Dec Average, Nepal, NPL
2.1615918, 2060-2079, Ensemble (50th Percentile), Jan Average, Nepal, NPL
2.0237155, 2060-2079, Ensemble (50th Percentile), Feb Average, Nepal, NPL
2.4349742, 2060-2079, Ensemble (50th Percentile), Mar Average, Nepal, NPL
2.4532087, 2060-2079, Ensemble (50th Percentile), Apr Average, Nepal, NPL
2.2583504, 2060-2079, Ensemble (50th Percentile), May Average, Nepal, NPL
1.8310972, 2060-2079, Ensemble (50th Percentile), Jun Average, Nepal, NPL
1.4133139, 2060-2079, Ensemble (50th Percentile), Jul Average, Nepal, NPL
1.4779795, 2060-2079, Ensemble (50th Percentile), Aug Average, Nepal, NPL
1.6041838, 2060-2079, Ensemble (50th Percentile), Sep Average, Nepal, NPL
1.5640016, 2060-2079, Ensemble (50th Percentile), Oct Average, Nepal, NPL
1.7752942, 2060-2079, Ensemble (50th Percentile), Nov Average, Nepal, NPL
2.0689025, 2060-2079, Ensemble (50th Percentile), Dec Average, Nepal, NPL
3.6331992, 2060-2079, Ensemble (90th Percentile), Jan Average, Nepal, NPL
3.1734545, 2060-2079, Ensemble (90th Percentile), Feb Average, Nepal, NPL
3.3274193, 2060-2079, Ensemble (90th Percentile), Mar Average, Nepal, NPL
3.5791836, 2060-2079, Ensemble (90th Percentile), Apr Average, Nepal, NPL
3.7343388, 2060-2079, Ensemble (90th Percentile), May Average, Nepal, NPL
3.4097567, 2060-2079, Ensemble (90th Percentile), Jun Average, Nepal, NPL
2.7363598, 2060-2079, Ensemble (90th Percentile), Jul Average, Nepal, NPL
2.502127, 2060-2079, Ensemble (90th Percentile), Aug Average, Nepal, NPL
2.547324, 2060-2079, Ensemble (90th Percentile), Sep Average, Nepal, NPL
2.524865, 2060-2079, Ensemble (90th Percentile), Oct Average, Nepal, NPL
2.7256162, 2060-2079, Ensemble (90th Percentile), Nov Average, Nepal, NPL
3.5086973, 2060-2079, Ensemble (90th Percentile), Dec Average, Nepal, NPL
