Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
0.45011, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
-0.0754, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
-2.6256, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
3.49237, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
-10.696, 2060-2079, cmcc_cm, Jan Anomaly, NPL
-1.6121, 2060-2079, cmcc_cm, Feb Anomaly, NPL
-4.037, 2060-2079, cmcc_cm, Mar Anomaly, NPL
-3.8103, 2060-2079, cmcc_cm, Apr Anomaly, NPL
1.48473, 2060-2079, cmcc_cm, May Anomaly, NPL
3.70831, 2060-2079, cmcc_cm, Jun Anomaly, NPL
21.726, 2060-2079, cmcc_cm, Jul Anomaly, NPL
22.7556, 2060-2079, cmcc_cm, Aug Anomaly, NPL
44.6131, 2060-2079, cmcc_cm, Sep Anomaly, NPL
16.1461, 2060-2079, cmcc_cm, Oct Anomaly, NPL
4.67962, 2060-2079, cmcc_cm, Nov Anomaly, NPL
-12.477, 2060-2079, cmcc_cm, Dec Anomaly, NPL
-5.2031, 2060-2079, cmcc_cms, Jan Anomaly, NPL
-3.5208, 2060-2079, cmcc_cms, Feb Anomaly, NPL
-13.75, 2060-2079, cmcc_cms, Mar Anomaly, NPL
-1.562, 2060-2079, cmcc_cms, Apr Anomaly, NPL
-4.2097, 2060-2079, cmcc_cms, May Anomaly, NPL
2.62775, 2060-2079, cmcc_cms, Jun Anomaly, NPL
4.04745, 2060-2079, cmcc_cms, Jul Anomaly, NPL
1.63911, 2060-2079, cmcc_cms, Aug Anomaly, NPL
3.97198, 2060-2079, cmcc_cms, Sep Anomaly, NPL
-3.659, 2060-2079, cmcc_cms, Oct Anomaly, NPL
-2.826, 2060-2079, cmcc_cms, Nov Anomaly, NPL
-2.6324, 2060-2079, cmcc_cms, Dec Anomaly, NPL
0.0621, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
3.633, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-6.075, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
1.17655, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
4.60255, 2060-2079, cnrm_cm5, May Anomaly, NPL
5.46258, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
5.72065, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
22.415, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.8225, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
9.75467, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-2.8152, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
1.04717, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
-2.4698, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-6.7825, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-2.5022, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
0.2591, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-0.3594, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
1.28605, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
0.77165, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
3.42908, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
7.60127, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
6.37115, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
3.33732, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-1.0999, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
1.5573, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
5.45616, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
1.3927, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
1.39834, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
0.66458, 2060-2079, gfdl_cm3, May Anomaly, NPL
8.18129, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
17.039, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
17.8171, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
2.90946, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-2.1542, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-7.4152, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-10.18, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
1.07014, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-1.9984, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-1.0525, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.44719, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.17053, 2060-2079, gfdl_esm2g, May Anomaly, NPL
1.32721, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
5.52586, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
26.6301, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
5.6634, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-1.8567, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
7.37096, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.36223, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-2.7018, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-3.5725, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
2.45944, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-1.3244, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
0.60179, 2060-2079, gfdl_esm2m, May Anomaly, NPL
18.2643, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
7.00418, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
