Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
49.8124, 2020-2039, giss_e2_h, Jul Average, Nepal, NPL
64.33, 2020-2039, giss_e2_h, Aug Average, Nepal, NPL
37.37161, 2020-2039, giss_e2_h, Sep Average, Nepal, NPL
16.7624, 2020-2039, giss_e2_h, Oct Average, Nepal, NPL
6.521863, 2020-2039, giss_e2_h, Nov Average, Nepal, NPL
8.691532, 2020-2039, giss_e2_h, Dec Average, Nepal, NPL
8.250914, 2020-2039, giss_e2_r, Jan Average, Nepal, NPL
8.069958, 2020-2039, giss_e2_r, Feb Average, Nepal, NPL
12.437838, 2020-2039, giss_e2_r, Mar Average, Nepal, NPL
10.169541, 2020-2039, giss_e2_r, Apr Average, Nepal, NPL
14.8725605, 2020-2039, giss_e2_r, May Average, Nepal, NPL
21.319347, 2020-2039, giss_e2_r, Jun Average, Nepal, NPL
33.21925, 2020-2039, giss_e2_r, Jul Average, Nepal, NPL
46.28604, 2020-2039, giss_e2_r, Aug Average, Nepal, NPL
31.236002, 2020-2039, giss_e2_r, Sep Average, Nepal, NPL
13.467396, 2020-2039, giss_e2_r, Oct Average, Nepal, NPL
6.1444826, 2020-2039, giss_e2_r, Nov Average, Nepal, NPL
9.796821, 2020-2039, giss_e2_r, Dec Average, Nepal, NPL
28.157974, 2020-2039, ipsl_cm5a_mr, Jan Average, Nepal, NPL
15.2552395, 2020-2039, ipsl_cm5a_mr, Feb Average, Nepal, NPL
11.041839, 2020-2039, ipsl_cm5a_mr, Mar Average, Nepal, NPL
18.058844, 2020-2039, ipsl_cm5a_mr, Apr Average, Nepal, NPL
15.483169, 2020-2039, ipsl_cm5a_mr, May Average, Nepal, NPL
71.492294, 2020-2039, ipsl_cm5a_mr, Jun Average, Nepal, NPL
265.40784, 2020-2039, ipsl_cm5a_mr, Jul Average, Nepal, NPL
377.486, 2020-2039, ipsl_cm5a_mr, Aug Average, Nepal, NPL
245.6776, 2020-2039, ipsl_cm5a_mr, Sep Average, Nepal, NPL
74.34917, 2020-2039, ipsl_cm5a_mr, Oct Average, Nepal, NPL
