Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-1.962, 2040-2059, miroc_esm_chem, Sep Anomaly, NPL
-2.6543, 2040-2059, miroc_esm_chem, Oct Anomaly, NPL
-2.9915, 2040-2059, miroc_esm_chem, Nov Anomaly, NPL
15.2746, 2040-2059, miroc_esm_chem, Dec Anomaly, NPL
10.4702, 2040-2059, miroc_esm, Jan Anomaly, NPL
0.06629, 2040-2059, miroc_esm, Feb Anomaly, NPL
-4.7304, 2040-2059, miroc_esm, Mar Anomaly, NPL
13.0791, 2040-2059, miroc_esm, Apr Anomaly, NPL
-14.657, 2040-2059, miroc_esm, May Anomaly, NPL
2.66694, 2040-2059, miroc_esm, Jun Anomaly, NPL
13.3932, 2040-2059, miroc_esm, Jul Anomaly, NPL
-2.7037, 2040-2059, miroc_esm, Aug Anomaly, NPL
6.70385, 2040-2059, miroc_esm, Sep Anomaly, NPL
1.31817, 2040-2059, miroc_esm, Oct Anomaly, NPL
-10.104, 2040-2059, miroc_esm, Nov Anomaly, NPL
10.266, 2040-2059, miroc_esm, Dec Anomaly, NPL
-0.6718, 2040-2059, mri_cgcm3, Jan Anomaly, NPL
-1.4574, 2040-2059, mri_cgcm3, Feb Anomaly, NPL
3.03759, 2040-2059, mri_cgcm3, Mar Anomaly, NPL
11.3461, 2040-2059, mri_cgcm3, Apr Anomaly, NPL
3.39928, 2040-2059, mri_cgcm3, May Anomaly, NPL
-2.1839, 2040-2059, mri_cgcm3, Jun Anomaly, NPL
8.56644, 2040-2059, mri_cgcm3, Jul Anomaly, NPL
4.13854, 2040-2059, mri_cgcm3, Aug Anomaly, NPL
0.35335, 2040-2059, mri_cgcm3, Sep Anomaly, NPL
4.57236, 2040-2059, mri_cgcm3, Oct Anomaly, NPL
-3.9119, 2040-2059, mri_cgcm3, Nov Anomaly, NPL
-12.667, 2040-2059, mri_cgcm3, Dec Anomaly, NPL
5.04877, 2040-2059, noresm1_m, Jan Anomaly, NPL
-4.4035, 2040-2059, noresm1_m, Feb Anomaly, NPL
-0.6378, 2040-2059, noresm1_m, Mar Anomaly, NPL
-6.1314, 2040-2059, noresm1_m, Apr Anomaly, NPL
7.24822, 2040-2059, noresm1_m, May Anomaly, NPL
49.3808, 2040-2059, noresm1_m, Jun Anomaly, NPL
4.82894, 2040-2059, noresm1_m, Jul Anomaly, NPL
25.2038, 2040-2059, noresm1_m, Aug Anomaly, NPL
1.36495, 2040-2059, noresm1_m, Sep Anomaly, NPL
-11.686, 2040-2059, noresm1_m, Oct Anomaly, NPL
-9.1176, 2040-2059, noresm1_m, Nov Anomaly, NPL
-9.867, 2040-2059, noresm1_m, Dec Anomaly, NPL
-12.295, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NPL
-17.366, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NPL
-16.759, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NPL
-12.925, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NPL
-19.843, 2040-2059, Ensemble (10th Percentile), May Anomaly, NPL
-55.038, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NPL
-70.956, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NPL
-59.746, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NPL
-32.784, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NPL
-32.966, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, NPL
-22.994, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, NPL
-15.141, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, NPL
-1.9405, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, NPL
1.53067, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, NPL
-4.0287, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, NPL
-1.9976, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, NPL
-2.7247, 2040-2059, Ensemble (50th Percentile), May Anomaly, NPL
10.5035, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, NPL
6.23348, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, NPL
9.43946, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, NPL
13.4625, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NPL
10.0351, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NPL
3.39487, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NPL
0.40227, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NPL
23.8053, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NPL
19.1074, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NPL
12.8699, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NPL
18.5895, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NPL
