Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-4.1594, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
0.51374, 2080-2099, gfdl_esm2m, May Anomaly, NPL
24.076, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
27.2792, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-2.2738, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
26.0809, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
0.83142, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
7.56373, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
10.8649, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
4.67783, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-3.824, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-1.46, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-1.8022, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
15.1208, 2080-2099, hadgem2_ao, May Anomaly, NPL
14.9, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
24.3858, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
8.89892, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
18.6112, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
0.08726, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-6.7711, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
5.42111, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-8.0879, 2080-2099, hadgem2_cc, Jan Anomaly, NPL
-6.9025, 2080-2099, hadgem2_cc, Feb Anomaly, NPL
0.30823, 2080-2099, hadgem2_cc, Mar Anomaly, NPL
2.17441, 2080-2099, hadgem2_cc, Apr Anomaly, NPL
-0.604, 2080-2099, hadgem2_cc, May Anomaly, NPL
20.9039, 2080-2099, hadgem2_cc, Jun Anomaly, NPL
36.8575, 2080-2099, hadgem2_cc, Jul Anomaly, NPL
13.9436, 2080-2099, hadgem2_cc, Aug Anomaly, NPL
17.9535, 2080-2099, hadgem2_cc, Sep Anomaly, NPL
-5.663, 2080-2099, hadgem2_cc, Oct Anomaly, NPL
-8.5942, 2080-2099, hadgem2_cc, Nov Anomaly, NPL
-5.7997, 2080-2099, hadgem2_cc, Dec Anomaly, NPL
-7.1619, 2080-2099, inmcm4, Jan Anomaly, NPL
-4.5725, 2080-2099, inmcm4, Feb Anomaly, NPL
6.24377, 2080-2099, inmcm4, Mar Anomaly, NPL
5.75967, 2080-2099, inmcm4, Apr Anomaly, NPL
6.31221, 2080-2099, inmcm4, May Anomaly, NPL
4.15644, 2080-2099, inmcm4, Jun Anomaly, NPL
6.5071, 2080-2099, inmcm4, Jul Anomaly, NPL
4.59289, 2080-2099, inmcm4, Aug Anomaly, NPL
4.00607, 2080-2099, inmcm4, Sep Anomaly, NPL
7.25154, 2080-2099, inmcm4, Oct Anomaly, NPL
-2.5659, 2080-2099, inmcm4, Nov Anomaly, NPL
8.62937, 2080-2099, inmcm4, Dec Anomaly, NPL
8.24346, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
0.75747, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
-13.662, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
2.46962, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
6.49058, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
5.8522, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
7.7539, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
24.0145, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
25.3743, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
-10.096, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
-16.827, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
3.55278, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
-13.09, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.0339, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
5.302, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
-7.5289, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
3.07421, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
25.3905, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
12.1266, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
21.8206, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
18.0739, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
32.5979, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
3.17392, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
-1.0224, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
-13.828, 2080-2099, ipsl_cm5b_lr, Jan Anomaly, NPL
14.6965, 2080-2099, ipsl_cm5b_lr, Feb Anomaly, NPL
9.99612, 2080-2099, ipsl_cm5b_lr, Mar Anomaly, NPL
3.85088, 2080-2099, ipsl_cm5b_lr, Apr Anomaly, NPL
-8.4486, 2080-2099, ipsl_cm5b_lr, May Anomaly, NPL
12.0344, 2080-2099, ipsl_cm5b_lr, Jun Anomaly, NPL
3.8939, 2080-2099, ipsl_cm5b_lr, Jul Anomaly, NPL
15.6561, 2080-2099, ipsl_cm5b_lr, Aug Anomaly, NPL
2.02164, 2080-2099, ipsl_cm5b_lr, Sep Anomaly, NPL
-2.9529, 2080-2099, ipsl_cm5b_lr, Oct Anomaly, NPL
7.94648, 2080-2099, ipsl_cm5b_lr, Nov Anomaly, NPL
18.1869, 2080-2099, ipsl_cm5b_lr, Dec Anomaly, NPL
-5.992, 2080-2099, miroc5, Jan Anomaly, NPL
5.08076, 2080-2099, miroc5, Feb Anomaly, NPL
0.78567, 2080-2099, miroc5, Mar Anomaly, NPL
3.9239, 2080-2099, miroc5, Apr Anomaly, NPL
7.14913, 2080-2099, miroc5, May Anomaly, NPL
44.0803, 2080-2099, miroc5, Jun Anomaly, NPL
15.059, 2080-2099, miroc5, Jul Anomaly, NPL
35.6094, 2080-2099, miroc5, Aug Anomaly, NPL
26.7375, 2080-2099, miroc5, Sep Anomaly, NPL
20.6883, 2080-2099, miroc5, Oct Anomaly, NPL
-0.7091, 2080-2099, miroc5, Nov Anomaly, NPL
-5.3097, 2080-2099, miroc5, Dec Anomaly, NPL
0.39836, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
-13.026, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
-2.9035, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
3.64817, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
6.10015, 2080-2099, miroc_esm_chem, May Anomaly, NPL
4.32204, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
6.53388, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
26.9247, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
5.94526, 2080-2099, miroc_esm_chem, Sep Anomaly, NPL
-4.9958, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
-9.9757, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
5.09549, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
8.82138, 2080-2099, miroc_esm, Jan Anomaly, NPL
-2.7008, 2080-2099, miroc_esm, Feb Anomaly, NPL
5.82278, 2080-2099, miroc_esm, Mar Anomaly, NPL
5.86489, 2080-2099, miroc_esm, Apr Anomaly, NPL
-7.3678, 2080-2099, miroc_esm, May Anomaly, NPL
0.93135, 2080-2099, miroc_esm, Jun Anomaly, NPL
8.29617, 2080-2099, miroc_esm, Jul Anomaly, NPL
3.3102, 2080-2099, miroc_esm, Aug Anomaly, NPL
2.44816, 2080-2099, miroc_esm, Sep Anomaly, NPL
0.43382, 2080-2099, miroc_esm, Oct Anomaly, NPL
-11.145, 2080-2099, miroc_esm, Nov Anomaly, NPL
6.8755, 2080-2099, miroc_esm, Dec Anomaly, NPL
-8.3114, 2080-2099, mpi_esm_lr, Jan Anomaly, NPL
-4.6447, 2080-2099, mpi_esm_lr, Feb Anomaly, NPL
-7.3286, 2080-2099, mpi_esm_lr, Mar Anomaly, NPL
-1.4202, 2080-2099, mpi_esm_lr, Apr Anomaly, NPL
-0.0633, 2080-2099, mpi_esm_lr, May Anomaly, NPL
3.25419, 2080-2099, mpi_esm_lr, Jun Anomaly, NPL
4.67703, 2080-2099, mpi_esm_lr, Jul Anomaly, NPL
-20.211, 2080-2099, mpi_esm_lr, Aug Anomaly, NPL
10.8404, 2080-2099, mpi_esm_lr, Sep Anomaly, NPL
5.50135, 2080-2099, mpi_esm_lr, Oct Anomaly, NPL
-15.281, 2080-2099, mpi_esm_lr, Nov Anomaly, NPL
-14.128, 2080-2099, mpi_esm_lr, Dec Anomaly, NPL
-17.202, 2080-2099, mpi_esm_mr, Jan Anomaly, NPL
-11.498, 2080-2099, mpi_esm_mr, Feb Anomaly, NPL
-10.576, 2080-2099, mpi_esm_mr, Mar Anomaly, NPL
15.9518, 2080-2099, mpi_esm_mr, Apr Anomaly, NPL
2.61115, 2080-2099, mpi_esm_mr, May Anomaly, NPL
-13.984, 2080-2099, mpi_esm_mr, Jun Anomaly, NPL
13.2778, 2080-2099, mpi_esm_mr, Jul Anomaly, NPL
15.5397, 2080-2099, mpi_esm_mr, Aug Anomaly, NPL
6.9136, 2080-2099, mpi_esm_mr, Sep Anomaly, NPL
-18.574, 2080-2099, mpi_esm_mr, Oct Anomaly, NPL
20.5734, 2080-2099, mpi_esm_mr, Nov Anomaly, NPL
17.6203, 2080-2099, mpi_esm_mr, Dec Anomaly, NPL
1.82038, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
5.20389, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
2.21025, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
4.00725, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
1.04213, 2080-2099, mri_cgcm3, May Anomaly, NPL
1.95182, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
11.5151, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
1.23541, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
2.73604, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
-0.2719, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
-12.726, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
-14.622, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
8.44491, 2080-2099, noresm1_m, Jan Anomaly, NPL
1.76293, 2080-2099, noresm1_m, Feb Anomaly, NPL
9.97285, 2080-2099, noresm1_m, Mar Anomaly, NPL
-4.6814, 2080-2099, noresm1_m, Apr Anomaly, NPL
7.90511, 2080-2099, noresm1_m, May Anomaly, NPL
24.618, 2080-2099, noresm1_m, Jun Anomaly, NPL
33.4644, 2080-2099, noresm1_m, Jul Anomaly, NPL
18.5366, 2080-2099, noresm1_m, Aug Anomaly, NPL
19.2659, 2080-2099, noresm1_m, Sep Anomaly, NPL
10.6117, 2080-2099, noresm1_m, Oct Anomaly, NPL
-16.656, 2080-2099, noresm1_m, Nov Anomaly, NPL
4.92097, 2080-2099, noresm1_m, Dec Anomaly, NPL
-14.827, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
-14.896, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
-13.209, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
-11.254, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-21.643, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
-54.508, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
-70.569, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
-54.366, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
-33.063, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
-31.703, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
-22.24, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
-16.648, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
-3.3649, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
-3.1563, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
-0.1029, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
1.33889, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
0.4573, 2080-2099, Ensemble (50th Percentile), May Anomaly, NPL
8.18394, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, NPL
21.9249, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, NPL
17.1999, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, NPL
18.3024, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, NPL
5.67781, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, NPL
-2.6666, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, NPL
-1.3177, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, NPL
27.5234, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, NPL
18.0419, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, NPL
14.6382, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, NPL
21.982, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, NPL
37.0075, 2080-2099, Ensemble (90th Percentile), May Anomaly, NPL
113.132, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, NPL
182.526, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, NPL
144.553, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, NPL
125.297, 2080-2099, Ensemble (90th Percentile), Sep Anomaly, NPL
50.0044, 2080-2099, Ensemble (90th Percentile), Oct Anomaly, NPL
25.4085, 2080-2099, Ensemble (90th Percentile), Nov Anomaly, NPL
29.1105, 2080-2099, Ensemble (90th Percentile), Dec Anomaly, NPL
32.9488, 2080-2099, access1_0, Annual Anomaly, NPL
46.6696, 2080-2099, access1_3, Annual Anomaly, NPL
10.9636, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
