DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198603,2.71,90.9,4.41,27.51,20.18,0.34,28.13,13.91,14.22,19.7,3.08,5.54,1.18,4.36,3.99,5.99,1.56,4.43
198604,18.08,90.69,5.32,24.41,24.9,2.61,32.36,17.84,14.53,25.43,2.79,4.92,0.89,4.03,3.45,5.21,1.17,4.04
198605,48.63,90.55,7.77,33.8,26.03,7.86,32.79,19.2,13.59,27.16,2.73,4.73,0.97,3.76,3.27,4.72,1.4,3.31
198606,160.75,90.12,12.7,48.44,28.23,14.92,33.96,22.93,11.04,29.94,2.66,4.46,0.96,3.5,3.2,4.53,1.59,2.94
198607,293.83,90.29,17.63,83.4,24.27,21.11,27.61,21.48,6.13,24.67,2.54,4.51,0.97,3.54,3.38,5.01,1.79,3.22
198608,149.44,90.38,17.46,80.96,24.64,20.96,28.57,21.37,7.2,25.01,2.16,3.93,0.8,3.13,2.83,4.19,1.39,2.8
198609,65.89,90.76,15.18,77.98,23.01,18.75,27.22,19.74,7.47,23.34,2.22,3.89,0.98,2.91,2.98,4.3,1.7,2.6
198610,47.68,91.14,9.76,58.81,20.23,11.22,25.9,16.05,9.85,19.38,1.8,3.34,0.44,2.9,2.22,3.4,0.62,2.78
198611,0.73,91.3,5.45,40.17,17.32,3.23,24.28,12.7,11.58,15.26,1.87,3.52,0.49,3.04,2.34,3.54,0.59,2.95
198612,30.26,91.5,4.45,41.28,13.86,0.28,20.92,9.53,11.39,11.71,1.99,3.62,0.85,2.77,2.55,3.72,1.13,2.59
198613,831.68,90.84,9.13,50.23,20.87,8.59,26.99,16.11,10.89,20.48,2.39,4.28,0.87,3.41,3.04,4.5,1.29,3.21
198701,3.78,91.49,3.69,35.47,13.19,-2.19,20.85,8.3,12.56,11.06,2.09,3.89,0.72,3.17,2.68,3.98,0.91,3.07
198702,3.22,91.36,3.68,28.5,16.56,-1.95,24.3,11.05,13.25,15.31,2.54,4.76,1.02,3.73,3.24,4.91,1.36,3.55
198703,15.4,90.98,4.45,27.79,20.06,0.61,27.59,13.92,13.68,19.61,2.62,4.94,0.81,4.13,3.23,4.92,1.07,3.85
198704,18.28,90.79,4.74,22.27,24.98,0.28,32.67,17.93,14.74,25.46,3.02,5.4,1.18,4.22,3.78,5.58,1.6,3.98
198705,14.56,90.72,6.56,27.92,27.19,5.69,34.2,20.57,13.63,28.29,2.79,4.92,0.95,3.98,3.41,4.95,1.28,3.67
198706,46.41,90.18,11.52,41.13,29.54,13.85,35.63,23.83,11.81,31.63,2.63,4.37,1.09,3.28,3.11,4.26,1.66,2.6
198707,254.55,90.18,17.68,77.48,25.68,21.11,29.41,22.67,6.74,26.64,2.33,4.18,0.84,3.35,2.91,4.47,1.43,3.04
198708,306.61,90.35,17.92,86.15,24.04,21.36,27.22,21.44,5.78,24.2,2.37,4.2,0.97,3.23,3.16,4.73,1.63,3.11
198709,220.12,90.69,16.97,86.16,23.15,20.46,26.29,20.66,5.63,22.99,1.65,3.16,0.47,2.68,2.16,3.39,0.84,2.55
198710,80.85,91.14,12.75,80.14,19.77,15.76,24.19,16.48,7.71,19.01,1.66,3.11,0.58,2.53,2.1,3.3,0.79,2.51
198711,0.19,91.25,7.6,57.28,16.77,7.55,22.82,12.84,9.98,14.19,1.61,2.91,0.56,2.35,2.08,3.03,0.75,2.28
198712,1.67,91.53,5.2,47.2,14.12,2.39,21.15,9.91,11.23,11.38,1.77,3.29,0.63,2.66,2.33,3.39,0.87,2.52
198713,965.62,90.89,9.43,51.64,21.27,8.81,27.2,16.66,10.54,20.83,2.26,4.09,0.82,3.27,2.85,4.24,1.18,3.06
198801,0.99,91.31,4.28,40.83,13.34,-0.15,20.65,8.95,11.7,11.08,2.07,3.93,0.77,3.15,2.71,4.11,1.01,3.1
198802,3.93,91.14,4.05,31.98,16.24,-0.86,23.94,10.83,13.11,14.67,2.35,4.32,0.81,3.51,2.98,4.56,1.1,3.46
198803,41.47,90.82,5.05,32.43,19.64,2.0,27.39,13.54,13.85,19.03,2.72,5.12,0.94,4.18,3.44,5.31,1.25,4.06
198804,30.14,90.79,5.6,25.02,25.56,2.82,33.19,18.62,14.58,25.56,2.71,4.76,0.92,3.85,3.27,4.85,1.15,3.7
198805,78.07,90.42,9.91,40.03,27.2,11.6,33.86,20.79,13.07,28.28,2.62,4.34,0.97,3.36,3.21,4.43,1.44,2.98
198806,117.98,90.28,14.32,56.35,27.58,17.51,33.11,22.6,10.51,29.19,2.32,4.23,0.62,3.61,2.73,4.34,0.94,3.4
198807,312.78,90.32,18.35,83.37,24.97,21.78,28.32,22.3,6.02,25.47,2.25,4.01,0.79,3.21,2.93,4.36,1.41,2.95
198808,238.28,90.35,18.15,86.27,24.22,21.58,27.24,21.71,5.53,24.44,2.2,3.9,0.84,3.06,2.96,4.39,1.45,2.95
198809,77.9,90.65,17.19,85.13,23.57,20.69,27.11,20.72,6.39,23.58,2.03,3.64,0.78,2.86,2.73,3.99,1.37,2.62
198810,14.24,90.92,11.16,63.37,21.35,13.47,26.86,17.29,9.57,20.47,1.86,3.29,0.7,2.58,2.42,3.49,0.97,2.52
198811,0.02,91.38,6.3,43.65,18.27,5.14,25.07,13.82,11.26,16.51,1.93,3.19,0.76,2.42,2.52,3.6,0.92,2.68
198812,24.63,91.49,4.71,40.73,14.93,1.31,21.86,10.75,11.11,12.91,2.02,3.72,0.67,3.05,2.64,3.91,0.89,3.02
198813,940.43,90.82,9.94,52.54,21.41,9.78,27.38,16.84,10.54,20.94,2.26,4.04,0.8,3.24,2.88,4.28,1.16,3.12
198901,20.75,91.16,3.63,38.44,11.65,-2.46,19.4,6.97,12.43,9.76,2.25,4.33,0.9,3.43,2.93,4.44,1.23,3.21
198902,10.78,91.06,3.48,30.95,14.45,-2.89,22.47,8.67,13.8,13.26,2.93,5.53,1.25,4.27,3.91,6.13,1.73,4.4
198903,9.02,90.9,3.95,24.47,20.02,-1.42,28.0,13.92,14.09,19.49,2.93,5.56,0.99,4.57,3.77,5.89,1.31,4.58
198904,1.56,90.54,2.94,13.36,25.23,-5.0,33.74,17.6,16.14,25.18,3.48,6.36,1.32,5.04,4.46,6.91,1.67,5.24
198905,60.2,90.43,8.77,35.04,27.75,7.79,34.45,21.39,13.05,29.06,2.94,4.99,1.17,3.82,3.67,5.2,1.8,3.4
198906,71.58,90.28,14.17,56.0,27.46,17.51,32.78,22.69,10.09,29.24,2.7,4.6,1.05,3.55,3.28,4.73,1.61,3.12
198907,216.78,90.32,16.97,74.41,25.63,20.54,29.78,22.23,7.55,26.82,2.49,4.62,0.78,3.84,3.04,4.84,1.33,3.51
198908,129.02,90.41,17.35,80.34,24.67,20.86,28.39,21.58,6.81,25.12,2.17,3.83,0.91,2.93,2.92,4.1,1.63,2.47
198909,90.13,90.62,16.18,77.07,24.27,19.77,28.45,21.01,7.44,24.8,2.13,3.87,0.77,3.1,2.81,4.12,1.28,2.84
198910,13.45,91.01,10.29,54.04,22.4,11.86,28.36,18.05,10.31,21.85,1.83,3.25,0.53,2.72,2.25,3.26,0.7,2.56
198911,2.02,91.41,4.71,35.07,17.21,1.36,24.35,12.6,11.75,15.32,2.1,3.98,0.7,3.27,2.65,4.08,0.87,3.22
198912,2.96,91.52,3.3,31.48,13.61,-3.47,21.12,9.1,12.02,11.27,1.96,3.71,0.72,2.99,2.5,3.82,0.94,2.88
198913,628.26,90.81,8.85,46.02,21.23,7.1,27.63,16.36,11.27,20.96,2.49,4.54,0.92,3.62,3.17,4.78,1.34,3.44
199001,0.0,91.23,3.01,26.19,14.69,-4.45,22.78,9.46,13.32,12.34,2.11,4.3,0.69,3.61,2.64,4.22,0.88,3.33
199002,21.48,91.19,4.59,39.03,15.22,0.24,21.98,10.37,11.61,14.57,2.3,4.25,0.8,3.45,2.9,4.55,1.05,3.5
199003,10.09,91.11,4.28,28.31,19.12,-0.17,26.59,13.06,13.53,18.96,2.52,4.54,0.84,3.7,3.1,4.71,1.11,3.6
199004,5.33,90.58,4.23,20.19,24.67,-0.38,32.42,17.47,14.95,25.14,3.04,5.44,1.16,4.28,3.78,5.57,1.51,4.06
199005,15.82,90.46,9.94,37.6,28.22,11.77,34.2,22.3,11.9,30.15,2.59,4.54,0.86,3.68,3.04,4.56,1.23,3.33
199006,104.18,90.1,14.3,53.62,28.6,17.37,33.88,23.8,10.08,30.44,2.71,4.53,1.08,3.45,3.19,4.54,1.64,2.9
199007,401.49,90.15,17.68,79.14,25.23,21.15,29.0,22.12,6.88,26.05,2.53,4.55,0.94,3.61,3.29,5.0,1.6,3.39
199008,152.3,90.52,18.1,85.95,24.26,21.55,27.49,21.54,5.95,24.45,2.14,3.83,0.78,3.05,2.81,4.15,1.37,2.78
199009,114.28,90.66,16.9,84.45,23.44,20.46,26.9,20.68,6.21,23.55,1.98,3.66,0.72,2.94,2.65,3.99,1.3,2.7
199010,26.42,91.12,11.23,65.71,20.62,13.34,25.74,16.97,8.77,19.82,1.81,3.15,0.66,2.49,2.35,3.41,1.0,2.42
199011,0.0,91.3,6.47,43.25,18.74,5.54,25.47,14.38,11.09,16.66,1.92,3.2,0.8,2.4,2.49,3.47,1.02,2.45
199012,0.06,91.49,4.33,37.61,14.78,0.16,21.79,10.53,11.26,12.41,1.81,3.3,0.58,2.72,2.32,3.6,0.73,2.87
199013,851.45,90.82,9.62,50.18,21.49,8.93,27.37,16.92,10.45,21.24,2.29,4.11,0.83,3.28,2.88,4.31,1.2,3.11
199101,5.52,91.31,3.59,35.75,12.79,-2.61,20.12,8.2,11.92,11.0,2.13,4.1,0.87,3.23,2.67,4.11,1.07,3.05
199102,0.11,91.24,3.33,24.51,17.3,-3.51,25.39,11.57,13.82,16.02,2.75,5.03,1.11,3.92,3.58,5.34,1.44,3.9
