Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
31.4475, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
18.6443, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
11.7273, 2060-2079, miroc5, Annual Anomaly, NPL
29.3166, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
23.6395, 2060-2079, miroc_esm, Annual Anomaly, NPL
25.4373, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
29.2053, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
12.9045, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
11.2578, 2060-2079, mri_esm1, Annual Anomaly, NPL
17.8942, 2060-2079, noresm1_m, Annual Anomaly, NPL
6.4684, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
23.0269, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
37.1358, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
