Local time in Surkhet,T,Po,P,Pa,U,DD,Ff,N,W1,Tn,Tx,Nh,H,VV,Td,RRR,tR
22.05.2021 08:45,25.5,698.6,754.8,1.5,76,,,,,19.3,,40%.,600-1000,15,21,18,24
22.05.2021 05:45,19.4,697.1,753.1,,96,Wind blowing from the north-northeast,2,"10%  or less, but not 0",,,,"10%  or less, but not 0",2000-2500,8,18.8,,
21.05.2021 17:45,27,695.8,751.9,-1.9,69,,,,,,27.2,"10%  or less, but not 0",600-1000,15,20.9,18,9
21.05.2021 14:45,26.4,697.7,753.7,2.5,80,Wind blowing from the south,3,40%.,Thunderstorm(s) with or without precipitation.,,,40%.,300-600,10,22.7,,
21.05.2021 11:45,23.2,695.2,751.2,-3.6,91,Wind blowing from the west-southwest,1,"90  or more, but not 100%",Drizzle.,,,50%.,300-600,9,21.7,,
21.05.2021 08:45,20.8,698.8,754.9,2.1,98,Wind blowing from the north-east,1,100%.,Rain.,20.7,,70 – 80%.,200-300,5,20.5,62,24
21.05.2021 05:45,20.8,696.7,752.8,,96,Wind blowing from the west-southwest,1,100%.,Rain.,,,60%.,200-300,4,20.2,,
20.05.2021 17:45,26.9,694.8,750.8,-1,68,,,,,,27.7,40%.,600-1000,10,20.6,5,9
20.05.2021 14:45,25.8,695.8,752.2,-1.5,74,Wind blowing from the north-east,1,70 – 80%.,Drizzle.,,,70 – 80%.,200-300,10,20.8,,
20.05.2021 11:45,23.6,697.3,753.7,0,85,Wind blowing from the south,2,70 – 80%.,Rain.,,,50%.,200-300,9,20.9,,
20.05.2021 08:45,22.4,697.3,753.7,1.5,92,Wind blowing from the south,3,"90  or more, but not 100%",Thunderstorm(s) with or without precipitation.,20,,60%.,200-300,6,21,28,24
20.05.2021 05:45,20.3,695.8,751.9,,99,Wind blowing from the south-west,4,100%.,Rain.,,,70 – 80%.,,2,20.2,,
19.05.2021 14:45,23.4,697.6,753.3,-1.1,90,Wind blowing from the south-southwest,4,100%.,Drizzle.,,,60%.,200-300,8,21.7,,
19.05.2021 11:45,24.3,698.7,754.3,-0.4,79,Wind blowing from the south-west,1,100%.,Drizzle.,,,70 – 80%.,200-300,10,20.5,,
19.05.2021 08:45,22.2,699.1,754.7,1.2,90,Wind blowing from the east-southeast,1,100%.,Rain.,21,,60%.,300-600,10,20.4,2,24
19.05.2021 05:45,21.4,697.9,753.5,,86,Wind blowing from the north-west,1,100%.,Drizzle.,,,70 – 80%.,,9,18.9,,
18.05.2021 17:45,27.2,696.9,752.5,-1.6,64,Wind blowing from the west,1,70 – 80%.,,,29.6,50%.,600-1000,10,19.9,No precipitation,9
18.05.2021 14:45,29,698.5,753.9,-0.7,57,Wind blowing from the west,2,100%.,,,,70 – 80%.,300-600,10,19.7,,
18.05.2021 11:45,29,699.2,754.6,0.3,58,,,,,,,60%.,300-600,10,19.8,,
18.05.2021 08:45,24.6,698.9,754.3,1,69,Wind blowing from the south-east,1,100%.,,22.3,,70 – 80%.,600-1000,10,18.5,No precipitation,24
