Local time in Supaul,T,Po,P,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
22.05.2021 08:30,30,749.4,753.6,,78,Wind blowing from the east,1,60%.,26.4,,60%.,300-600,4,25.8,0.1,24
21.05.2021 17:30,30.6,747.2,751.4,,73,Wind blowing from the west,1,"90  or more, but not 100%",,31,60%.,300-600,4,25.2,,
20.05.2021 17:30,24.4,748.7,753,,95,Wind blowing from the west,1,"90  or more, but not 100%",,27.1,70 – 80%.,200-300,4,23.5,,
20.05.2021 08:30,27.4,749.8,754.1,,81,Wind blowing from the west,3,"90  or more, but not 100%",25.7,,70 – 80%.,300-600,4,23.9,Trace of precipitation,24
19.05.2021 17:30,32,747,751.2,,75,Wind blowing from the west,3,70 – 80%.,,35.2,60%.,300-600,4,27,,
19.05.2021 08:30,30,749.8,754,,65,Wind blowing from the west,3,20–30%.,25.7,,20–30%.,300-600,4,22.7,,
18.05.2021 17:30,32,747.8,752,,58,Wind blowing from the west,3,"90  or more, but not 100%",,34.4,70 – 80%.,300-600,4,22.7,,
18.05.2021 08:30,29.6,750.6,754.8,,83,Wind blowing from the east,1,"90  or more, but not 100%",27.7,,60%.,300-600,4,26.5,,
17.05.2021 08:30,28.4,751.2,755.5,,85,Wind blowing from the east,3,100%.,27.2,,60%.,300-600,4,25.6,,
16.05.2021 17:30,34.6,748,752.2,,59,Wind blowing from the east,1,no clouds,,36.6,,,4,25.4,,
16.05.2021 08:30,29,751.5,755.8,,74,Wind blowing from the north-east,3,20–30%.,25.7,,20–30%.,300-600,4,23.8,,
15.05.2021 17:30,35,747,751.2,,57,Wind blowing from the west,1,no clouds,,37,,,4,25.2,,
15.05.2021 08:30,29.2,750.3,754.6,,71,Wind blowing from the north-east,3,no clouds,24.6,,,,4,23.4,,
14.05.2021 17:30,34.2,746.1,750.3,,54,Wind blowing from the west,1,no clouds,,34.3,,,4,23.5,,
14.05.2021 08:30,27.8,749.7,754,,76,Wind blowing from the east,1,"10%  or less, but not 0",23.3,,"10%  or less, but not 0",300-600,4,23.1,,
13.05.2021 17:30,28.6,746.9,751.1,,68,Wind blowing from the north-west,1,60%.,,30.5,50%.,300-600,4,22.1,,
13.05.2021 08:30,24.2,750.6,754.9,,80,Wind blowing from the east,3,"90  or more, but not 100%",20.9,,70 – 80%.,300-600,4,20.5,5,24
12.05.2021 17:30,24.2,748.3,752.6,,80,Wind blowing from the east,3,70 – 80%.,,26.9,50%.,300-600,4,20.5,,
12.05.2021 08:30,20.8,750.1,754.5,,96,Wind blowing from the east,3,"90  or more, but not 100%",20.2,,70 – 80%.,300-600,4,20.2,7,24
11.05.2021 17:30,27.4,748.2,752.5,,76,Wind blowing from the east,3,"10%  or less, but not 0",,29.3,"10%  or less, but not 0",300-600,4,22.7,,
11.05.2021 08:30,25.2,750.9,755.2,,81,Wind blowing from the east,3,"90  or more, but not 100%",22.9,,70 – 80%.,300-600,4,21.6,5,24
10.05.2021 17:30,27.4,749,753.3,,74,Wind blowing from the north-west,1,20–30%.,,27.5,"10%  or less, but not 0",300-600,4,22.4,,
10.05.2021 08:30,25.6,753.3,757.6,,82,Wind blowing from the west,3,100%.,21.9,,100%.,300-600,4,22.3,3,24
09.05.2021 17:30,23.4,748.9,753.2,,86,Wind blowing from the east,3,60%.,,28.9,40%.,300-600,4,21,,
09.05.2021 08:30,21.2,753.6,758,,87,Wind blowing from the west,3,"90  or more, but not 100%",20.6,,70 – 80%.,200-300,4,19,4,24
08.05.2021 17:30,31.4,750.1,754.3,,64,Wind blowing from the east,3,no clouds,,33.2,,,4,23.9,,
08.05.2021 08:30,25.8,754.7,759,,79,Wind blowing from the east,3,70 – 80%.,21.8,,70 – 80%.,300-600,4,21.9,0.7,24
07.05.2021 17:30,26,750.8,755.1,,73,Wind blowing from the east,1,no clouds,,30.1,,,4,20.8,,
06.05.2021 17:30,30,751.1,755.3,,64,Wind blowing from the east,3,no clouds,,32.5,,,4,22.4,,
06.05.2021 08:30,27.8,754.1,758.4,,72,Wind blowing from the east,3,20–30%.,23,,20–30%.,300-600,4,22.2,,
04.05.2021 17:30,25.8,751.1,755.4,,76,Wind blowing from the east,1,40%.,,26.4,20–30%.,300-600,4,21.3,,
03.05.2021 17:30,32.8,748,752.2,,55,Wind blowing from the north,3,"90  or more, but not 100%",,35.3,"90  or more, but not 100%",300-600,4,22.6,,
03.05.2021 08:30,28.2,752.5,756.8,,73,Wind blowing from the east,1,70 – 80%.,23.3,,70 – 80%.,300-600,4,22.9,,
02.05.2021 17:30,29.4,750.1,754.3,,57,Wind blowing from the north-west,1,70 – 80%.,,,60%.,50-100,4,20,,
02.05.2021 08:30,28.4,754.3,758.6,,60,Wind blowing from the north-east,3,no clouds,22.3,,,,4,19.9,,
01.05.2021 17:30,22.4,751,755.4,,83,Wind blowing from the east,3,"10%  or less, but not 0",,30.6,"10%  or less, but not 0",300-600,4,19.4,,
01.05.2021 08:30,25,753.3,757.6,,76,Wind blowing from the east,3,20–30%.,24.1,,20–30%.,300-600,4,20.4,,
30.04.2021 17:30,32.4,748.9,753.1,,54,Wind blowing from the north,3,20–30%.,,36.4,no clouds,1000-1500,4,21.8,,
30.04.2021 08:30,29.6,752,756.3,,57,Wind blowing from the east,3,70 – 80%.,23.5,,70 – 80%.,300-600,4,20.2,,
29.04.2021 17:30,36.6,747.8,751.9,,53,Wind blowing from the east,1,60%.,,38.8,60%.,300-600,4,25.4,,
29.04.2021 08:30,28.8,751.2,755.5,,74,Wind blowing from the east,3,20–30%.,22.2,,20–30%.,300-600,4,23.6,,
28.04.2021 17:30,38.2,749.8,753.9,,50,Wind blowing from the east,1,40%.,,41.2,20–30%.,300-600,4,26.1,,
28.04.2021 08:30,29.6,753.8,758.1,,72,Wind blowing from the east,3,70 – 80%.,22.6,,70 – 80%.,300-600,4,24.1,,
27.04.2021 08:30,29.2,752.8,757.1,,55,Wind blowing from the east,3,"90  or more, but not 100%",22.2,,70 – 80%.,300-600,4,19.2,,
26.04.2021 17:30,35.4,748.9,753.1,,34,Wind blowing from the west,3,70 – 80%.,,39.6,70 – 80%.,300-600,4,17.1,,
26.04.2021 08:30,29.8,752.1,756.4,,77,Wind blowing from the east,3,no clouds,24.1,,,,4,25.3,,
25.04.2021 17:30,36.6,748.5,752.6,,41,Wind blowing from the west,1,no clouds,,39.2,,,4,21.4,,
25.04.2021 08:30,29.6,751.6,755.9,,52,Wind blowing from the east,3,no clouds,23.7,,,,4,18.8,,
24.04.2021 17:30,35.4,748.6,752.8,,42,Wind blowing from the west,1,20–30%.,,38.4,"10%  or less, but not 0",300-600,4,20.6,,
24.04.2021 08:30,29.2,752.4,756.7,,54,Wind blowing from the east,3,no clouds,21.4,,,,4,19,,
23.04.2021 08:30,27.2,753.5,757.8,,63,Wind blowing from the west,3,20–30%.,20.1,,20–30%.,300-600,4,19.5,2,24
22.04.2021 17:30,27.8,752,756.3,,62,"Calm, no wind",0,70 – 80%.,,28.3,70 – 80%.,300-600,4,19.9,,
22.04.2021 08:30,22,755.6,760,,82,Wind blowing from the west,5,100%.,21.6,,70 – 80%.,200-300,4,18.8,Trace of precipitation,24
21.04.2021 17:30,32.2,749.8,754,,64,Wind blowing from the north-west,1,"90  or more, but not 100%",,33.1,"90  or more, but not 100%",300-600,4,24.5,,
21.04.2021 08:30,28.4,752.8,757.1,,72,Wind blowing from the east,3,70 – 80%.,25.4,,70 – 80%.,300-600,4,22.8,,
20.04.2021 17:30,35.4,747.3,751.4,,35,Wind blowing from the west,1,70 – 80%.,,38.7,,600-1000,4,17.5,,
20.04.2021 08:30,27.6,750.9,755.2,,69,Wind blowing from the east,3,no clouds,22.6,,,,4,21.3,,
19.04.2021 17:30,34.4,747.2,751.4,,37,Wind blowing from the north-west,1,no clouds,,37.4,,,4,17.7,,
19.04.2021 08:30,27,751.1,755.4,,67,Wind blowing from the east,1,no clouds,21.8,,,,4,20.3,,
18.04.2021 17:30,33.6,748.9,753.1,,45,Wind blowing from the west,1,no clouds,,35.6,,,4,20.1,,
18.04.2021 08:30,27,754.4,758.7,,58,Wind blowing from the east,3,no clouds,21.6,,,,4,17.9,,
17.04.2021 17:30,28.6,751.2,755.5,,58,Wind blowing from the east,3,20–30%.,,31.2,"10%  or less, but not 0",300-600,4,19.4,,
17.04.2021 08:30,25,754.5,758.8,,61,Wind blowing from the east,3,no clouds,20.2,,,,4,17,5,24
16.04.2021 17:30,33.8,748.7,752.9,,56,Wind blowing from the east,1,20–30%.,,35.1,"10%  or less, but not 0",300-600,4,23.8,,
16.04.2021 08:30,27.8,752.6,756.9,,61,Wind blowing from the east,3,70 – 80%.,24.3,,40%.,600-1000,4,19.5,,
15.04.2021 08:30,29,752.2,756.5,,54,Wind blowing from the east,3,40%.,24.5,,40%.,"2500 or more, or no clouds.",4,18.8,,
14.04.2021 17:30,34,749,753.2,,57,Wind blowing from the east,1,60%.,,37.2,60%.,300-600,4,24.4,,
14.04.2021 08:30,29.4,752.7,757,,58,Wind blowing from the east,3,no clouds,23.4,,,,4,20.3,,
13.04.2021 17:30,35,749.1,753.3,,37,"Calm, no wind",0,no clouds,,39,,,4,18.1,,
13.04.2021 08:30,28.2,753.9,758.2,,61,Wind blowing from the north-east,1,no clouds,21.2,,,,4,20,,
12.04.2021 17:30,34.8,751,755.2,,30,Wind blowing from the west,1,"90  or more, but not 100%",,38.7,60%.,300-600,4,14.9,,
12.04.2021 08:30,27.2,755.1,759.4,,51,Wind blowing from the north,1,60%.,27.1,,60%.,300-600,4,16.2,,
11.04.2021 17:30,34.4,751,755.2,,31,Wind blowing from the west,1,40%.,,38.5,20–30%.,300-600,4,14.8,,
11.04.2021 08:30,26.6,754.5,758.8,,61,Wind blowing from the east,1,no clouds,21.4,,,,4,18.5,,
10.04.2021 17:30,34.4,750.3,754.5,,33,Wind blowing from the south,3,no clouds,,36.9,,,4,16.1,,
10.04.2021 08:30,28,746.8,751,,73,Wind blowing from the east,3,no clouds,24.1,,,,4,22.7,,
09.04.2021 17:30,31.6,750.2,754.4,,59,Wind blowing from the south,1,60%.,,33.1,60%.,300-600,4,22.6,,
09.04.2021 08:30,26,753.5,757.8,,70,Wind blowing from the east,3,60%.,22.7,,50%.,600-1000,4,20.2,,
08.04.2021 17:30,31.2,748.4,752.6,,67,Wind blowing from the east,3,20–30%.,,34,"10%  or less, but not 0",300-600,4,24.3,,
08.04.2021 08:30,28.2,752.4,756.7,,67,Wind blowing from the east,3,no clouds,24.1,,,,4,21.6,,
07.04.2021 17:30,31.6,749.6,753.8,,55,Wind blowing from the east,3,no clouds,,34.9,,,4,21.6,,
07.04.2021 08:30,28.4,754.4,758.7,,51,Wind blowing from the east,3,no clouds,22.7,,,,4,17.3,,
06.04.2021 08:30,25.6,754.1,758.4,,58,Wind blowing from the east,3,no clouds,20.2,,,,4,16.6,,
05.04.2021 17:30,29.6,751.5,755.8,,46,Wind blowing from the east,1,no clouds,,33.1,,,4,16.9,,
05.04.2021 08:30,24.6,755.5,759.8,,51,Wind blowing from the east,3,no clouds,18.6,,,,4,13.7,,
04.04.2021 17:30,32.4,749.5,753.7,,27,Wind blowing from the west,1,no clouds,,37.4,,,4,11.2,,
04.04.2021 08:30,25.4,753.3,757.6,,49,Wind blowing from the north-east,1,no clouds,18.5,,,,4,13.9,,
03.04.2021 17:30,32.8,749.5,753.7,,36,Wind blowing from the west,1,no clouds,,37.2,,,4,15.9,,
03.04.2021 08:30,26,752.8,757.1,,67,Wind blowing from the east,3,no clouds,18.2,,,,4,19.5,,
02.04.2021 17:30,32.6,747.8,752,,24,Wind blowing from the south,1,no clouds,,37,,,4,9.4,,
02.04.2021 08:30,25,750.7,755,,57,Wind blowing from the east,1,no clouds,18.4,,,,4,15.8,,
01.04.2021 17:30,31.6,744.7,748.9,,23,Wind blowing from the west,1,no clouds,,35.5,,,4,8.2,,
01.04.2021 08:30,24.6,747.9,752.2,,83,Wind blowing from the east,3,20–30%.,19.8,,20–30%.,300-600,4,21.6,,
31.03.2021 17:30,29.8,743.6,747.8,,60,"Calm, no wind",0,no clouds,,31.4,,,4,21.1,,
31.03.2021 08:30,23.8,746.6,750.9,,67,Wind blowing from the east,3,70 – 80%.,21.3,,70 – 80%.,300-600,4,17.4,,
30.03.2021 17:30,29.6,743.4,747.6,,58,Wind blowing from the east,3,no clouds,,33.5,,,4,20.6,,
30.03.2021 08:30,25.6,747.6,751.9,,66,Wind blowing from the east,3,no clouds,22.1,,,,4,18.7,,
29.03.2021 08:30,26.2,751.8,756.1,,50,Wind blowing from the north,3,no clouds,20.4,,,,4,15,,
28.03.2021 17:30,31.6,748.6,752.8,,42,"Calm, no wind",0,no clouds,,36.6,,,4,17.2,,
28.03.2021 08:30,26.4,752.8,757.1,,40,Wind blowing from the north-east,3,no clouds,18,,,,4,11.8,,
27.03.2021 17:30,31,750.4,754.6,,35,Wind blowing from the east,1,no clouds,,34.9,,,4,13.8,,
27.03.2021 08:30,23.4,754.6,759,,58,Wind blowing from the east,1,no clouds,17.1,,,,4,14.6,,
26.03.2021 08:30,24,753.8,758.1,,47,Wind blowing from the west,3,no clouds,17.6,,,,4,12.1,,
25.03.2021 17:30,31,750.4,754.6,,31,Wind blowing from the west,3,no clouds,,35.2,,,4,12,,
25.03.2021 08:30,25.6,753.6,757.9,,49,Wind blowing from the west,3,no clouds,19.4,,,,4,14.2,,
24.03.2021 17:30,32.6,750.3,754.5,,34,Wind blowing from the west,3,no clouds,,36.3,,,4,14.7,,
24.03.2021 08:30,27.8,754.7,759,,56,Wind blowing from the west,3,no clouds,23.1,,,,4,18.1,,
23.03.2021 17:30,32.4,751.9,756.1,,44,Wind blowing from the west,3,20–30%.,,36.9,20–30%.,300-600,4,18.6,,
23.03.2021 08:30,25.2,756.3,760.6,,67,Wind blowing from the east,3,no clouds,19.9,,,,4,18.6,,
22.03.2021 08:30,25.2,755.3,759.6,,58,Wind blowing from the north-west,1,no clouds,19.9,,,,4,16.4,,
21.03.2021 17:30,30.8,750.2,754.4,,42,Wind blowing from the west,3,70 – 80%.,,35.2,60%.,300-600,4,16.5,,
21.03.2021 08:30,24.6,752.8,757.1,,66,Wind blowing from the east,1,40%.,20,,40%.,600-1000,4,17.9,,
20.03.2021 17:30,30.2,749.7,753.9,,49,Wind blowing from the west,1,no clouds,,32.9,,,4,18.4,,
20.03.2021 08:30,24.4,753.3,757.6,,82,Wind blowing from the south,1,20–30%.,20.1,,20–30%.,300-600,4,21.1,,
19.03.2021 17:30,30.4,751.3,755.5,,48,Wind blowing from the west,1,no clouds,,32.5,,,4,18.3,,
18.03.2021 08:30,23.4,754.4,758.8,,69,Wind blowing from the south,1,no clouds,19.4,,,,4,17.3,,
17.03.2021 17:30,29.6,751.2,755.4,,46,Wind blowing from the west,1,no clouds,,33.4,,,4,16.9,,
17.03.2021 08:30,24.2,753.4,757.7,,68,Wind blowing from the west,3,no clouds,20,,,,4,17.8,,
16.03.2021 08:30,23,754.9,759.3,,62,Wind blowing from the north,1,no clouds,17.7,,,,4,15.3,,
15.03.2021 17:30,29,752,756.3,,43,Wind blowing from the west,1,no clouds,,32.4,,,4,15.3,,
15.03.2021 08:30,21.8,754.7,759.1,,84,Wind blowing from the east,1,no clouds,19,,,,4,19,,
14.03.2021 08:30,21,756,760.4,,86,Wind blowing from the east,1,no clouds,17.6,,,,4,18.5,,
13.03.2021 17:30,23.2,755,759.4,,73,Wind blowing from the west,3,70 – 80%.,,25.8,70 – 80%.,300-600,4,18.1,,
13.03.2021 08:30,23.2,758.4,762.8,,84,Wind blowing from the west,3,"90  or more, but not 100%",22,,"90  or more, but not 100%",300-600,4,20.4,,
12.03.2021 17:30,29.4,755.4,759.7,,64,Wind blowing from the west,1,20–30%.,,31.6,"10%  or less, but not 0",300-600,4,22,,
12.03.2021 08:30,24.6,758.5,762.9,,71,Wind blowing from the east,3,no clouds,20.8,,,,4,19,,
10.03.2021 17:30,27.8,752.1,756.4,,77,Wind blowing from the east,1,no clouds,,29,,,4,23.4,,
10.03.2021 08:30,22.6,756.5,760.9,,78,Wind blowing from the north-west,3,no clouds,20.4,,,,0.5,18.5,,
09.03.2021 17:30,29.2,752.8,757.1,,58,Wind blowing from the north-east,1,no clouds,,31,,,4,20.1,,
09.03.2021 08:30,23.2,755.9,760.3,,64,Wind blowing from the east,3,no clouds,18.8,,,,4,16,,
08.03.2021 17:30,27,753.7,758,,63,Wind blowing from the south-east,1,60%.,,29.2,40%.,300-600,4,19.3,,
08.03.2021 08:30,22.4,757.7,762.1,,66,Wind blowing from the east,3,no clouds,17.8,,,,4,15.8,,
07.03.2021 17:30,25.4,754.2,758.5,,69,Wind blowing from the north-west,3,no clouds,,27.4,,,4,19.2,,
07.03.2021 08:30,20.4,756.5,760.9,,85,Wind blowing from the east,3,no clouds,18.5,,,,4,17.8,,
06.03.2021 17:30,27,752.4,756.7,,63,"Calm, no wind",0,no clouds,,29.3,,,4,19.3,,
06.03.2021 08:30,20,755.1,759.5,,78,Wind blowing from the east,3,no clouds,17.1,,,,4,16,,
05.03.2021 17:30,28.4,750.9,755.2,,54,Wind blowing from the west,1,no clouds,,31.3,,,4,18.1,,
05.03.2021 08:30,20.6,754.3,758.7,,76,Wind blowing from the east,1,no clouds,17.2,,,,4,16.3,,
04.03.2021 17:30,27,752.5,756.8,,53,Wind blowing from the west,1,no clouds,,29.5,,,4,16.7,,
04.03.2021 08:30,20.2,755.6,760,,78,Wind blowing from the west,1,no clouds,16.6,,,,4,16.2,,
03.03.2021 17:30,26.2,753.3,757.6,,54,Wind blowing from the west,1,no clouds,,29.3,,,4,16.1,,
03.03.2021 08:30,20,756.2,760.6,,69,Wind blowing from the south-west,1,no clouds,15.4,,,,4,14.1,,
02.03.2021 17:30,25.4,753.3,757.6,,45,Wind blowing from the south,3,no clouds,,29.4,,,4,12.7,,
02.03.2021 08:30,21.2,756.2,760.6,,60,Wind blowing from the west,3,no clouds,16.9,,,,4,13,,
01.03.2021 17:30,28,752.8,757.1,,51,Wind blowing from the west,1,no clouds,,31.6,,,4,16.8,,
01.03.2021 08:30,21.4,754.3,758.7,,75,Wind blowing from the south-east,1,no clouds,17.9,,,,4,16.8,,
28.02.2021 17:30,28.2,750,754.3,,65,Wind blowing from the west,1,no clouds,,30,,,4,21,,
28.02.2021 08:30,21,752,756.4,,84,Wind blowing from the east,3,no clouds,18.7,,,,4,18.1,,
27.02.2021 17:30,27.6,749.1,753.4,,66,"Calm, no wind",0,no clouds,,29.4,,,4,20.6,,
27.02.2021 08:30,20.8,751.4,755.8,,84,Wind blowing from the east,3,no clouds,18.3,,,,4,17.9,,
26.02.2021 17:30,27.2,749.1,753.4,,66,"Calm, no wind",0,no clouds,,29.9,,,4,20.2,,
26.02.2021 08:30,18.6,751.8,756.2,,94,Wind blowing from the east,3,no clouds,17.4,,,,0.5,17.6,,
25.02.2021 17:30,27.4,749.6,753.9,,60,Wind blowing from the north-west,1,no clouds,,30.5,,,4,19,,
25.02.2021 08:30,20,753.2,757.6,,81,Wind blowing from the west,1,no clouds,17.4,,,,4,16.7,,
24.02.2021 17:30,26.8,751.5,755.8,,68,Wind blowing from the west,3,no clouds,,29.2,,,4,20.4,,
24.02.2021 08:30,19.8,754.4,758.8,,83,Wind blowing from the west,3,no clouds,16.5,,,,4,16.8,,
23.02.2021 17:30,26,753,757.3,,67,Wind blowing from the west,1,no clouds,,28.3,,,4,19.5,,
23.02.2021 08:30,18.2,756.8,761.2,,86,Wind blowing from the west,1,no clouds,15.4,,,,4,15.8,,
22.02.2021 17:30,25,754.5,758.8,,55,Wind blowing from the west,1,no clouds,,29,,,4,15.4,,
21.02.2021 17:30,25.6,755.1,759.4,,58,Wind blowing from the west,1,no clouds,,29.4,,,4,16.6,,
21.02.2021 08:30,18.4,759,763.5,,75,Wind blowing from the west,3,no clouds,15.2,,,,4,13.9,,
20.02.2021 17:30,25,756.9,761.2,,55,Wind blowing from the west,3,no clouds,,29.5,,,4,15.4,,
20.02.2021 08:30,18.4,759.8,764.3,,73,Wind blowing from the north-west,1,no clouds,14.8,,,,4,13.5,,
19.02.2021 17:30,25,757.2,761.6,,64,Wind blowing from the west,1,no clouds,,28.4,,,4,17.7,,
19.02.2021 08:30,18,760.2,764.7,,94,Wind blowing from the west,1,70 – 80%.,16,,70 – 80%.,"2500 or more, or no clouds.",0.5,17,,
18.02.2021 17:30,24.8,756.4,760.7,,71,Wind blowing from the west,1,no clouds,,27.9,,,4,19.2,,
18.02.2021 08:30,19,759,763.5,,79,Wind blowing from the north-east,1,20–30%.,16,,20–30%.,300-600,4,15.3,,
17.02.2021 17:30,23.8,754.7,759.1,,75,Wind blowing from the east,1,20–30%.,,26.5,20–30%.,600-1000,4,19.1,,
17.02.2021 08:30,18.6,757.3,761.7,,87,Wind blowing from the east,1,70 – 80%.,15.7,,20–30%.,600-1000,4,16.3,,
16.02.2021 17:30,24.2,753.4,757.7,,66,Wind blowing from the west,1,40%.,,27,40%.,300-600,4,17.5,,
16.02.2021 08:30,16.8,756.7,761.2,,82,Wind blowing from the west,3,no clouds,14.2,,,,4,13.6,,
15.02.2021 17:30,24,753.1,757.4,,60,Wind blowing from the south-west,1,no clouds,,27.5,,,4,15.8,,
14.02.2021 17:30,23.8,753.9,758.2,,60,Wind blowing from the west,1,no clouds,,27.9,,,4,15.5,,
14.02.2021 08:30,17.6,757.3,761.8,,84,Wind blowing from the west,3,no clouds,15.4,,,,4,14.8,,
13.02.2021 17:30,23.4,754.7,759.1,,73,Wind blowing from the west,1,"10%  or less, but not 0",,26.5,"10%  or less, but not 0",300-600,4,18.3,,
13.02.2021 08:30,14.6,757.6,762.1,,98,Wind blowing from the east,1,no clouds,13,,,,0.1,14.3,,
12.02.2021 17:30,23.4,754.3,758.7,,72,Wind blowing from the south-west,1,60%.,,26.2,60%.,600-1000,4,18,,
12.02.2021 08:30,17,757.6,762.1,,88,Wind blowing from the west,1,no clouds,14.6,,,,4,15,,
11.02.2021 17:30,23.4,754.3,758.7,,69,Wind blowing from the north-west,1,no clouds,,26.7,,,4,17.3,,
11.02.2021 08:30,16.2,756.4,760.9,,85,Wind blowing from the west,1,no clouds,14,,,,0.5,13.7,,
10.02.2021 17:30,22.2,754.1,758.5,,66,Wind blowing from the west,1,40%.,,25.8,20–30%.,300-600,4,15.5,,
10.02.2021 08:30,15.4,757.1,761.6,,85,Wind blowing from the west,3,no clouds,12.4,,,,4,12.9,,
09.02.2021 17:30,22,754.9,759.3,,61,Wind blowing from the west,1,no clouds,,25.8,,,4,14.2,,
09.02.2021 08:30,15,758.3,762.8,,81,Wind blowing from the north-east,1,no clouds,11.9,,,,4,11.7,,
08.02.2021 17:30,21.8,755.6,760,,61,Wind blowing from the north-west,1,no clouds,,26,,,4,13.9,,
08.02.2021 08:30,15,759.2,763.7,,79,Wind blowing from the west,3,no clouds,12,,,,4,11.3,,
07.02.2021 17:30,21.6,756.7,761.1,,58,Wind blowing from the west,3,no clouds,,25.6,,,4,12.9,,
07.02.2021 08:30,14,758.8,763.3,,93,Wind blowing from the west,3,no clouds,12.3,,,,0.5,12.9,,
06.02.2021 17:30,21.2,755.4,759.8,,73,Wind blowing from the west,1,"10%  or less, but not 0",,23.6,"10%  or less, but not 0",300-600,4,16.2,,
06.02.2021 08:30,16.4,758.6,763.1,,79,Wind blowing from the west,3,50%.,14.4,,60%.,300-600,4,12.8,,
05.02.2021 17:30,22.2,755.3,759.7,,68,"Calm, no wind",0,no clouds,,27.3,,,4,15.9,,
05.02.2021 08:30,16,758.2,762.7,,71,Wind blowing from the east,3,no clouds,12.2,,,,4,10.8,,
04.02.2021 17:30,20.8,756.5,760.9,,66,Wind blowing from the west,1,no clouds,,27.1,,,4,14.3,,
04.02.2021 08:30,14.2,759.7,764.2,,82,Wind blowing from the east,1,no clouds,10.6,,,,4,11.2,,
03.02.2021 17:30,20,756.8,761.2,,69,Wind blowing from the west,1,20–30%.,,24.7,20–30%.,300-600,4,14.1,,
03.02.2021 08:30,10.8,759.6,764.2,,95,Wind blowing from the west,1,no clouds,8.2,,,,0.2,10,,
02.02.2021 17:30,18,757.8,762.3,,77,Wind blowing from the west,1,no clouds,,21.6,,,4,13.8,,
02.02.2021 08:30,9.8,760.8,765.4,,95,Wind blowing from the west,1,no clouds,9.1,,,,0.1,9,,
01.02.2021 17:30,18,758.2,762.7,,73,Wind blowing from the west,1,no clouds,,21.5,,,4,13,,
