Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
30.05.2021 05:45,20.8,698.4,754.4,,98,"Calm, no wind",0,50%.,,,20–30%.,300-600,6,20.5,,
29.05.2021 17:45,23,698.2,754.3,-0.6,95,Wind blowing from the south,1,60%.,,23.3,"10%  or less, but not 0",300-600,6,22.2,7,9
29.05.2021 14:45,23,698.8,754.9,-0.4,92,Wind blowing from the west,1,"90  or more, but not 100%",,,50%.,300-600,5,21.6,,
29.05.2021 11:45,21.8,699.2,755.1,0.1,96,Wind blowing from the west,1,100%.,,,50%.,300-600,6,21.1,,
29.05.2021 08:45,21.6,699.1,754.9,1.1,96,,,,21.2,,50%.,300-600,5,21,22,24
29.05.2021 05:45,21.4,698,753.8,,98,,,,,,50%.,300-600,6,21.1,,
28.05.2021 17:45,23.8,696.9,752.7,0.2,88,Wind blowing from the west,1,100%.,,24.4,50%.,300-600,5,21.6,8,9
28.05.2021 14:45,23.8,696.7,752.5,-0.6,95,Wind blowing from the south-southwest,1,100%.,,,50%.,300-600,4,23,,
28.05.2021 11:45,23.2,697.3,753.1,0.6,95,"Calm, no wind",0,100%.,,,50%.,300-600,6,22.4,,
28.05.2021 08:45,22.6,696.7,752.5,0.4,95,"Calm, no wind",0,100%.,21.5,,50%.,300-600,6,21.8,23,24
28.05.2021 05:45,21.6,696.3,752.1,,95,"Calm, no wind",0,100%.,,,50%.,300-600,6,20.8,,
27.05.2021 17:45,23,697,752.8,-0.1,95,Wind blowing from the west,1,100%.,,23.7,50%.,300-600,6,22.2,16,9
27.05.2021 14:45,23,697.1,752.9,-0.4,94,Wind blowing from the south-southwest,1,100%.,,,50%.,300-600,7,21.9,,
27.05.2021 11:45,22.8,697.5,752.3,0.7,91,,,,,,50%.,300-600,6,21.3,,
27.05.2021 08:45,23.2,696.8,751.6,1,92,Wind blowing from the east,1,100%.,23,,50%.,300-600,7,21.8,4,24
27.05.2021 05:45,24,695.8,750.9,,86,Wind blowing from the north-east,1,100%.,,,50%.,300-600,6,21.5,,
26.05.2021 17:45,29.2,694.8,749.2,-0.8,67,Wind blowing from the south-east,2,"90  or more, but not 100%",,32.2,50%.,300-600,7,22.4,No precipitation,9
26.05.2021 14:45,31,695.6,750.1,-0.5,60,Wind blowing from the south,2,70 – 80%.,,,50%.,300-600,7,22.3,,
26.05.2021 11:45,30.2,696.1,751,-0.3,60,Wind blowing from the east-southeast,4,70 – 80%.,,,50%.,300-600,8,21.7,,
26.05.2021 08:45,27.4,696.4,751.2,0.1,67,,,,21.5,,"10%  or less, but not 0",300-600,8,20.7,No precipitation,24
26.05.2021 05:45,21.6,696.3,751.1,,88,"Calm, no wind",0,50%.,,,no clouds,"2500 or more, or no clouds.",6,19.6,,
25.05.2021 17:45,29.4,695.9,750.2,-0.3,60,Wind blowing from the east,1,50%.,,34,20–30%.,300-600,7,20.8,No precipitation,9
25.05.2021 14:45,32,696.2,750.5,,55,Wind blowing from the south,4,60%.,,,40%.,300-600,7,21.9,,
25.05.2021 08:45,27.8,696.7,751.6,0,65,Wind blowing from the south,1,60%.,21.3,,"10%  or less, but not 0",300-600,8,20.5,No precipitation,24
25.05.2021 05:45,21.4,696.7,751.6,,87,"Calm, no wind",0,60%.,,,no clouds,"2500 or more, or no clouds.",6,19.1,,
24.05.2021 17:45,31.6,696.5,750.8,-0.9,46,Wind blowing from the west,1,no clouds,,34,,,8,18.5,No precipitation,9
24.05.2021 14:45,33.8,697.4,751.7,,40,Wind blowing from the south,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,10,18.5,,
24.05.2021 08:45,28.2,698.4,753.2,0.6,66,,,,21.8,,,"2500 or more, or no clouds.",8,21.3,No precipitation,24
24.05.2021 05:45,22,697.8,752.8,,87,Wind blowing from the east,1,no clouds,,,,,6,19.7,,
23.05.2021 17:45,32,696.7,751.1,-1.2,50,Wind blowing from the west,1,no clouds,,33.3,,,10,20.3,No precipitation,9
23.05.2021 14:45,32.6,697.9,752.4,-1,48,,,,,,"10%  or less, but not 0",300-600,10,20.1,,
23.05.2021 11:45,31.2,698.9,754,-0.2,53,Wind blowing from the south,1,40%.,,,20–30%.,300-600,8,20.6,,
23.05.2021 08:45,26.6,699.1,754.1,1.6,73,,,,21.5,,"10%  or less, but not 0",300-600,8,21.3,No precipitation,24
23.05.2021 05:45,21.8,697.5,752.5,,92,"Calm, no wind",0,no clouds,,,,,6,20.4,,
22.05.2021 17:45,31.4,696.6,751.3,-1,60,Wind blowing from the south,1,40%.,,33.2,20–30%.,300-600,10,22.7,No precipitation,9
22.05.2021 14:45,32.4,697.6,752.2,-0.9,52,Wind blowing from the south-east,1,40%.,,,20–30%.,300-600,10,21.4,,
22.05.2021 11:45,29.3,698.5,754.1,-0.1,67,,,,,,40%.,300-600,8,22.5,,
22.05.2021 08:45,25.8,698.6,754.2,0.6,79,,,,20.5,,,"2500 or more, or no clouds.",8,21.9,11,24
22.05.2021 05:45,20.8,698,753.4,,96,"Calm, no wind",0,no clouds,,,,,6,20.2,,
21.05.2021 17:45,28,697.4,752.8,-1.4,71,,,,,28.4,"10%  or less, but not 0",300-600,8,22.2,11,9
21.05.2021 14:45,23.4,698.8,754.3,-0.5,94,Wind blowing from the west,1,"90  or more, but not 100%",,,50%.,300-600,7,22.3,,
21.05.2021 11:45,26.8,699.3,754.9,0.3,75,Wind blowing from the east,1,"90  or more, but not 100%",,,50%.,300-600,8,22.1,,
21.05.2021 08:45,26.2,699,754.6,1.3,75,Wind blowing from the south-west,1,60%.,21.3,,20–30%.,300-600,8,21.5,14,24
21.05.2021 05:45,21.6,697.7,753.3,,92,"Calm, no wind",0,70 – 80%.,,,20–30%.,300-600,6,20.2,,
20.05.2021 17:45,23.8,697.4,753,-0.5,88,,,,,26,"10%  or less, but not 0",300-600,8,21.6,14,9
20.05.2021 14:45,24,697.9,753.4,-0.9,89,Wind blowing from the east,2,"90  or more, but not 100%",,,50%.,300-600,7,22.1,,
20.05.2021 11:45,24.6,698.8,754.4,0.9,80,Wind blowing from the south,3,100%.,,,50%.,300-600,8,21,,
20.05.2021 08:45,22.8,697.9,753.4,0.3,87,Wind blowing from the east,8,"90  or more, but not 100%",21,,50%.,300-600,8,20.5,6,24
20.05.2021 05:45,21.2,697.6,753,,93,Wind blowing from the east,1,100%.,,,50%.,300-600,6,20.1,,
19.05.2021 14:45,25.8,699.2,754.6,-0.5,78,Wind blowing from the east,1,"90  or more, but not 100%",,,40%.,300-600,7,21.6,,
19.05.2021 11:45,25.6,699.7,754.5,-0.1,75,Wind blowing from the south,1,100%.,,,50%.,300-600,7,20.8,,
19.05.2021 08:45,24,699.8,754.6,1.3,80,Wind blowing from the east,1,100%.,22.3,,50%.,300-600,7,20.3,Trace of precipitation,24
19.05.2021 05:45,22.6,698.5,753.4,,84,"Calm, no wind",0,100%.,,,50%.,300-600,6,19.7,,
18.05.2021 17:45,28.4,698.5,753,-0.9,57,Wind blowing from the west,2,50%.,,33,"10%  or less, but not 0",300-600,7,19,No precipitation,9
18.05.2021 14:45,29.6,699.4,753.9,-0.3,57,Wind blowing from the west,1,"90  or more, but not 100%",,,40%.,300-600,7,20.1,,
18.05.2021 11:45,30.8,699.7,754.6,-0.3,50,,,,,,50%.,300-600,8,19.2,,
18.05.2021 08:45,26.2,700,754.8,0.9,63,Wind blowing from the west-northwest,1,"90  or more, but not 100%",23.4,,50%.,300-600,7,18.7,No precipitation,24
18.05.2021 05:45,23.6,699.1,754.1,,73,"Calm, no wind",0,100%.,,,50%.,300-600,6,18.4,,
17.05.2021 17:45,29,698.9,753.6,-0.8,53,,,,,31.7,40%.,300-600,7,18.4,No precipitation,9
17.05.2021 14:45,30.2,699.7,754.3,-0.4,51,,,,,,40%.,300-600,7,19.1,,
17.05.2021 11:45,31,700.1,754.8,0,46,,,,,,50%.,300-600,8,18.1,,
17.05.2021 08:45,26.4,700.1,754.8,0.7,65,"Calm, no wind",0,50%.,22.4,,"10%  or less, but not 0",300-600,8,19.3,No precipitation,24
17.05.2021 05:45,22.6,699.4,754.2,,70,"Calm, no wind",0,"90  or more, but not 100%",,,50%.,300-600,6,16.9,,
16.05.2021 17:45,33.6,698.2,752.5,-0.7,32,Wind blowing from the west,1,20–30%.,,35,no clouds,"2500 or more, or no clouds.",10,14.9,No precipitation,9
16.05.2021 14:45,34.8,698.9,753.2,-1.2,34,Wind blowing from the south-southwest,1,no clouds,,,,,10,16.5,,
16.05.2021 11:45,32.2,700.1,755.2,0,44,Wind blowing from the south,1,"10%  or less, but not 0",,,no clouds,"2500 or more, or no clouds.",8,18.5,,
16.05.2021 08:45,26.8,700.1,755.2,1.3,65,Wind blowing from the south-southwest,1,"10%  or less, but not 0",20.4,,no clouds,"2500 or more, or no clouds.",8,19.7,No precipitation,24
16.05.2021 05:45,20.6,698.8,754,,85,"Calm, no wind",0,"10%  or less, but not 0",,,no clouds,"2500 or more, or no clouds.",6,17.9,,
15.05.2021 17:45,31.6,697.9,752.3,-0.3,43,,,,,33,"10%  or less, but not 0",300-600,10,17.5,No precipitation,9
15.05.2021 14:45,32.4,698.2,752.6,-0.9,40,Wind blowing from the south,2,40%.,,,"10%  or less, but not 0",300-600,10,17.1,,
15.05.2021 11:45,30,699.1,754,0.3,57,Wind blowing from the west-northwest,2,50%.,,,20–30%.,300-600,8,20.5,,
15.05.2021 08:45,26.8,698.8,754.3,1.3,64,Wind blowing from the east-southeast,1,no clouds,19.5,,,,8,19.4,No precipitation,24
15.05.2021 05:45,19.6,697.5,753.1,,85,,,,,,,"2500 or more, or no clouds.",6,16.9,,
14.05.2021 17:45,29,696.3,751.3,-1.3,50,Wind blowing from the south,1,no clouds,,30,,,10,17.4,No precipitation,9
14.05.2021 14:45,29.6,697.6,752.6,-0.5,51,,,,,,40%.,300-600,10,18.4,,
14.05.2021 11:45,27.4,698.1,753.3,-0.3,61,Wind blowing from the south-southwest,1,60%.,,,40%.,300-600,8,19.1,,
14.05.2021 08:45,24,698.4,754.2,0.5,76,Wind blowing from the south,1,"10%  or less, but not 0",18.5,,"10%  or less, but not 0",300-600,8,19.4,No precipitation,24
14.05.2021 05:45,18.8,697.9,753.7,,89,Wind blowing from the east,1,"10%  or less, but not 0",,,no clouds,"2500 or more, or no clouds.",6,17,,
13.05.2021 17:45,26.2,697.7,753.3,-0.7,61,Wind blowing from the south-southwest,1,60%.,,28,40%.,300-600,7,18,No precipitation,9
13.05.2021 14:45,27.4,698.4,754,-0.5,55,,,,,,20–30%.,300-600,8,17.7,,
13.05.2021 11:45,26,698.9,754.5,-0.1,62,Wind blowing from the east,2,"90  or more, but not 100%",,,40%.,300-600,8,18.1,,
13.05.2021 08:45,21.4,699,754.8,1.3,78,Wind blowing from the north-west,1,"90  or more, but not 100%",17.7,,40%.,300-600,8,17.3,29,24
13.05.2021 05:45,20,697.7,753.5,,75,,,,,,40%.,300-600,6,15.4,,
12.05.2021 17:45,24.8,695.8,751.3,-1.2,69,"Calm, no wind",0,"10%  or less, but not 0",,29,no clouds,"2500 or more, or no clouds.",8,18.8,0.6,9
12.05.2021 14:45,27.8,697,752.6,-1,67,Wind blowing from the west-northwest,1,60%.,,,20–30%.,300-600,7,21.1,,
12.05.2021 11:45,25.6,698,753.6,-0.2,70,,,,,,"10%  or less, but not 0",300-600,8,19.6,,
12.05.2021 08:45,18.6,698.2,753.7,0.2,89,Wind blowing from the east,2,100%.,,,50%.,300-600,7,16.8,38,24
12.05.2021 05:45,18.8,698,753.2,,95,Wind blowing from the west,15,100%.,,,50%.,200-300,2,17.9,,
11.05.2021 17:45,20.6,697.9,753.4,,92,Wind blowing from the north,1,100%.,,30.4,50%.,300-600,6,19.2,5,9
11.05.2021 11:45,29.7,698.9,754.1,-0.3,60,Wind blowing from the east,1,60%.,,,40%.,300-600,8,21.1,,
11.05.2021 08:45,24.2,699.2,754.4,0.6,73,Wind blowing from the north,1,70 – 80%.,20.7,,20–30%.,300-600,7,19,No precipitation,24
11.05.2021 05:45,21,698.6,754,,87,,,,,,20–30%.,300-600,6,18.7,,
10.05.2021 17:45,28.6,697.9,752.9,-1,55,Wind blowing from the south-west,1,20–30%.,,30.7,20–30%.,300-600,8,18.6,No precipitation,9
10.05.2021 14:45,30.2,698.9,754,-0.9,48,Wind blowing from the west,1,20–30%.,,,20–30%.,300-600,8,18.1,,
10.05.2021 11:45,28.2,699.8,755.2,0.1,55,"Calm, no wind",0,40%.,,,"10%  or less, but not 0",300-600,8,18.3,,
10.05.2021 08:45,23.4,699.7,755.1,,72,Wind blowing from the south-southeast,1,40%.,18.5,,no clouds,"2500 or more, or no clouds.",8,18.1,6,24
10.05.2021 05:45,19,699.1,754.6,,91,"Calm, no wind",0,60%.,,,40%.,300-600,6,17.5,,
09.05.2021 17:45,28.2,698.1,753.1,-1.5,63,Wind blowing from the east,1,50%.,,31,20–30%.,300-600,8,20.4,No precipitation,9
09.05.2021 14:45,30,699.6,754.8,-1.6,54,Wind blowing from the south-southwest,1,50%.,,,40%.,300-600,8,19.6,,
09.05.2021 11:45,25.2,701.2,756.7,-0.3,63,"Calm, no wind",0,70 – 80%.,,,20–30%.,300-600,8,17.7,,
09.05.2021 08:45,22.4,701.5,756.9,0.6,75,Wind blowing from the west,1,70 – 80%.,18.3,,40%.,300-600,8,17.7,5,24
09.05.2021 05:45,18.6,700.9,756.1,,93,"Calm, no wind",0,40%.,,,20–30%.,300-600,6,17.4,,
08.05.2021 14:45,30.2,700.6,755.5,-1.2,54,Wind blowing from the west,1,60%.,,,40%.,300-600,8,19.8,,
08.05.2021 11:45,28.8,701.8,757.9,-0.2,56,Wind blowing from the east-southeast,1,60%.,,,40%.,300-600,8,19.1,,
08.05.2021 08:45,24.8,702,758,0.6,68,Wind blowing from the east-southeast,1,no clouds,20.2,,,,8,18.4,No precipitation,24
08.05.2021 05:45,20.8,701.4,757,,77,"Calm, no wind",0,no clouds,,,,,6,16.7,,
07.05.2021 17:45,26.8,700.1,755.9,-2,65,"Calm, no wind",0,60%.,,29.6,20–30%.,300-600,8,19.7,No precipitation,9
07.05.2021 14:45,26.6,702.1,757.9,-0.9,57,,,,,,50%.,300-600,8,17.5,,
07.05.2021 11:45,28.8,703,759.1,0.9,52,Wind blowing from the west,3,60%.,,,20–30%.,300-600,10,18,,
07.05.2021 08:45,23.4,702.1,758.2,1,75,,,,18.7,,40%.,300-600,8,18.8,4,24
07.05.2021 05:45,20.2,701.1,756.3,,80,Wind blowing from the east,1,100%.,,,50%.,300-600,6,16.6,,
06.05.2021 17:45,29.6,699.7,754.4,-1.5,54,Wind blowing from the east,1,70 – 80%.,,31.5,40%.,300-600,8,19.4,No precipitation,9
06.05.2021 14:45,30.6,701.2,755.9,-0.8,50,Wind blowing from the south,1,70 – 80%.,,,40%.,300-600,8,18.9,,
06.05.2021 11:45,30,702,758,0,51,Wind blowing from the east-southeast,2,60%.,,,20–30%.,300-600,8,18.7,,
06.05.2021 08:45,25.4,702,758,1.3,63,Wind blowing from the east,1,50%.,20.2,,"10%  or less, but not 0",300-600,7,17.8,2,24
06.05.2021 05:45,20.6,700.7,756.3,,86,"Calm, no wind",0,40%.,,,"10%  or less, but not 0",300-600,6,18.2,,
05.05.2021 17:45,27.8,698.5,754.1,-1.5,55,Wind blowing from the west-southwest,1,20–30%.,,29,20–30%.,300-600,8,18,2,9
05.05.2021 14:45,28,700,755.6,-2.1,55,Wind blowing from the south-west,1,60%.,,,20–30%.,300-600,8,18.2,,
05.05.2021 11:45,23.5,702.1,757.9,-0.1,81,Wind blowing from the east-southeast,2,70 – 80%.,,,40%.,300-600,8,20.1,,
05.05.2021 08:45,21.2,702.2,758,1.7,85,Wind blowing from the north,1,100%.,18.8,,50%.,300-600,6,18.6,27,24
05.05.2021 05:45,20.4,700.5,755.7,,85,Wind blowing from the north-west,1,100%.,,,50%.,300-600,6,17.7,,
04.05.2021 17:45,21,698.5,753.5,-0.3,80,Wind blowing from the north,4,100%.,,32.3,40%.,300-600,4,17.4,0.3,9
04.05.2021 14:45,31.8,698.8,753.7,,50,Wind blowing from the east,1,70 – 80%.,,,40%.,300-600,8,20.1,,
04.05.2021 08:45,24.2,700.5,755.9,0.9,74,,,,19.6,,40%.,300-600,7,19.3,0.7,24
04.05.2021 05:45,20,699.6,755,,89,Wind blowing from the east-southeast,1,"90  or more, but not 100%",,,50%.,300-600,6,18.2,,
03.05.2021 17:45,25.2,699.4,754.6,-0.6,69,Wind blowing from the west,1,70 – 80%.,,29.5,20–30%.,300-600,6,19.2,Trace of precipitation,9
03.05.2021 14:45,26.2,700,755.2,-1.5,68,Wind blowing from the east-northeast,1,"90  or more, but not 100%",,,40%.,300-600,7,19.7,,
03.05.2021 11:45,22.4,701.5,756.5,0.5,79,Wind blowing from the east,2,100%.,,,50%.,300-600,7,18.6,,
03.05.2021 08:45,26,701,756.1,0.6,65,"Calm, no wind",0,40%.,20.8,,no clouds,"2500 or more, or no clouds.",7,18.8,No precipitation,24
03.05.2021 05:45,21.4,700.4,755.5,,79,"Calm, no wind",0,no clouds,,,,,6,17.6,,
02.05.2021 17:45,28.6,700.1,755.2,-0.8,52,Wind blowing from the south-east,2,50%.,,32.4,"10%  or less, but not 0",300-600,7,17.9,No precipitation,9
02.05.2021 14:45,31.6,700.9,756,-1.5,46,Wind blowing from the south,1,60%.,,,20–30%.,300-600,8,18.5,,
02.05.2021 11:45,30.2,702.4,757.7,,47,Wind blowing from the east-southeast,3,50%.,,,20–30%.,300-600,8,17.6,,
02.05.2021 05:45,22.2,701.2,756,,76,,,,,,,"2500 or more, or no clouds.",6,17.8,,
01.05.2021 17:45,32,699.1,753.4,-0.9,40,,,,,35,20–30%.,300-600,7,16.9,No precipitation,9
01.05.2021 14:45,34.6,700,754.3,-1.6,33,Wind blowing from the north,1,60%.,,,20–30%.,300-600,8,16.3,,
01.05.2021 11:45,31.2,701.6,757,-0.2,40,,,,,,40%.,300-600,8,16.2,,
01.05.2021 08:45,26.8,701.8,757.2,1.2,53,Wind blowing from the west,1,40%.,21.8,,20–30%.,300-600,8,16.4,No precipitation,24
01.05.2021 05:45,22.8,700.6,755.7,,64,Wind blowing from the north,1,no clouds,,,,,6,15.5,,
30.04.2021 17:45,28.8,699.7,754.2,-1.5,45,Wind blowing from the east,1,60%.,,34.5,20–30%.,300-600,7,15.7,No precipitation,9
30.04.2021 14:45,30.4,701.2,755.6,-0.7,43,Wind blowing from the east-northeast,2,"90  or more, but not 100%",,,40%.,300-600,7,16.3,,
30.04.2021 11:45,32.4,701.9,757.6,-0.1,37,,,,,,"10%  or less, but not 0",300-600,8,15.7,,
30.04.2021 08:45,25.6,702,757.6,1.1,61,Wind blowing from the west,1,70 – 80%.,19.7,,40%.,300-600,8,17.4,5,24
30.04.2021 05:45,22.2,700.9,755.5,,60,Wind blowing from the north-east,1,100%.,,,50%.,300-600,6,14.1,,
29.04.2021 17:45,23.8,700.8,754.9,0.1,63,Wind blowing from the north,4,100%.,,35.2,50%.,300-600,3,16.3,Trace of precipitation,9
29.04.2021 14:45,35,700.7,754.9,,37,Wind blowing from the south,1,40%.,,,"10%  or less, but not 0",300-600,7,18.3,,
29.04.2021 08:45,28.4,703,758,1.5,49,Wind blowing from the east,1,no clouds,22.6,,,,7,16.6,No precipitation,24
29.04.2021 05:45,22.8,701.5,756.1,,53,,,,,,,"2500 or more, or no clouds.",6,12.6,,
28.04.2021 17:45,33.8,699.7,753.8,-0.8,28,Wind blowing from the east-southeast,1,no clouds,,37.7,,,8,12.7,No precipitation,9
28.04.2021 14:45,37.2,700.5,754.6,-1.3,22,Wind blowing from the east,2,no clouds,,,,,10,12.2,,
28.04.2021 11:45,35.8,701.8,757.1,-0.2,24,,,,,,,"2500 or more, or no clouds.",8,12.4,,
28.04.2021 08:45,26.6,702,757.3,1.6,45,"Calm, no wind",0,no clouds,20.5,,,,8,13.6,No precipitation,24
28.04.2021 05:45,20.6,700.4,755.2,,56,Wind blowing from the east,1,no clouds,,,,,6,11.5,,
27.04.2021 17:45,33.6,699.4,753.5,,27,Wind blowing from the west,1,40%.,,37.2,no clouds,"2500 or more, or no clouds.",8,12,No precipitation,9
27.04.2021 14:45,36.6,700,754.1,-0.9,20,Wind blowing from the west,1,no clouds,,,,,10,10.3,,
27.04.2021 11:45,35.4,700.9,755.8,0,21,Wind blowing from the west-southwest,1,no clouds,,,,,8,9.7,,
27.04.2021 08:45,26.6,700.9,755.8,1.3,38,Wind blowing from the south-east,1,no clouds,18.7,,,,8,11.2,No precipitation,24
27.04.2021 05:45,18.8,699.6,754.6,,56,"Calm, no wind",0,no clouds,,,,,6,9.7,,
26.04.2021 17:45,33.6,698.8,753,-0.8,23,Wind blowing from the west,1,no clouds,,36.3,,,8,9.7,No precipitation,9
26.04.2021 14:45,35.8,699.6,753.7,-1.2,24,Wind blowing from the west-northwest,1,no clouds,,,,,10,12.3,,
26.04.2021 11:45,34.4,700.8,756,0,24,Wind blowing from the south,2,no clouds,,,,,8,10.9,,
26.04.2021 08:45,26.4,700.8,756,0.7,41,"Calm, no wind",0,no clouds,18.5,,,,8,12.2,No precipitation,24
26.04.2021 05:45,18.8,700.1,755.2,,60,"Calm, no wind",0,no clouds,,,,,6,10.8,,
25.04.2021 17:45,30.6,699.6,754,-0.7,31,Wind blowing from the east,1,20–30%.,,34,"10%  or less, but not 0",300-600,8,11.8,No precipitation,9
25.04.2021 14:45,33.6,700.3,754.8,-0.7,21,Wind blowing from the south-southeast,4,20–30%.,,,20–30%.,300-600,10,8.1,,
25.04.2021 11:45,32.8,701,755.8,-0.2,25,Wind blowing from the east,3,no clouds,,,,,8,10.2,,
25.04.2021 08:45,25.6,701.2,756,1.3,42,Wind blowing from the north,1,no clouds,19.5,,,,8,11.9,No precipitation,24
25.04.2021 05:45,20.2,699.9,754.3,,56,"Calm, no wind",0,no clouds,,,,,6,11,,
24.04.2021 17:45,32.8,699.3,753.4,-0.7,26,Wind blowing from the west-southwest,2,20–30%.,,36.2,"10%  or less, but not 0",300-600,8,10.7,No precipitation,9
24.04.2021 14:45,34.8,700,754.5,-0.6,25,Wind blowing from the east,1,60%.,,,40%.,300-600,8,12,,
24.04.2021 11:45,34.2,700.6,755.2,0,25,,,,,,"10%  or less, but not 0",300-600,8,11.5,,
24.04.2021 08:45,28.4,700.6,755.2,0.7,36,,,,23,,40%.,300-600,8,12.1,Trace of precipitation,24
24.04.2021 05:45,23.6,699.9,755.3,,46,,,,,,40%.,300-600,6,11.3,,
23.04.2021 17:45,31,699.4,754,-0.6,28,Wind blowing from the south,2,"10%  or less, but not 0",,34.3,"10%  or less, but not 0",300-600,10,10.2,No precipitation,9
23.04.2021 14:45,33.6,700,754.7,-1.8,26,Wind blowing from the south,5,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,10,11.5,,
23.04.2021 11:45,30.4,701.8,757.9,-0.2,32,Wind blowing from the north-northwest,1,no clouds,,,,,10,12,,
23.04.2021 08:45,23.4,702,758.2,0.2,56,Wind blowing from the south-southwest,1,no clouds,16.2,,,,8,14.1,No precipitation,24
23.04.2021 05:45,16.4,701.8,758.2,,79,"Calm, no wind",0,no clouds,,,,,6,12.8,,
22.04.2021 17:45,27.6,701.3,757,-0.5,43,Wind blowing from the west,1,40%.,,31.3,20–30%.,300-600,8,13.8,No precipitation,9
22.04.2021 14:45,28.8,701.8,757.4,-0.8,40,Wind blowing from the south,1,50%.,,,40%.,300-600,10,13.8,,
22.04.2021 11:45,29.2,702.6,759.2,0.2,39,Wind blowing from the east-southeast,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,10,13.9,,
22.04.2021 08:45,22.6,702.4,759,0.1,51,Wind blowing from the east,2,no clouds,15.5,,,,8,12,14,24
22.04.2021 05:45,15.8,702.3,758.3,,87,Wind blowing from the east,13,100%.,,,50%.,200-300,6,13.6,,
21.04.2021 17:45,29,700.9,756.1,-1,37,Wind blowing from the south,1,40%.,,29.4,no clouds,"2500 or more, or no clouds.",8,12.9,Trace of precipitation,9
21.04.2021 14:45,27,701.9,758.1,-1.2,44,Wind blowing from the east,3,"90  or more, but not 100%",,,40%.,300-600,8,13.8,,
21.04.2021 11:45,23.2,703.1,758.5,0.6,53,Wind blowing from the north-east,5,70 – 80%.,,,40%.,300-600,8,13.1,,
21.04.2021 08:45,24.2,702.5,757.9,0.9,52,Wind blowing from the north,2,100%.,20.2,,40%.,300-600,8,13.6,3,24
21.04.2021 05:45,22,701.6,756.4,,63,Wind blowing from the north,3,100%.,,,50%.,300-600,6,14.6,,
20.04.2021 17:45,32.8,697.8,751.9,,21,Wind blowing from the south,2,60%.,,36.3,"10%  or less, but not 0",2000-2500,7,7.8,No precipitation,9
