RAINFALL,YEAR,MONTH_STATISTICS,COUNTRY,ISO3
30.1,1976, Oct Average, Nepal, NPL
0.2,1976, Nov Average, Nepal, NPL
1,1976, Dec Average, Nepal, NPL
17.6,1977, Jan Average, Nepal, NPL
11.6,1977, Feb Average, Nepal, NPL
12.9,1977, Mar Average, Nepal, NPL
95.4,1977, Apr Average, Nepal, NPL
130.2,1977, May Average, Nepal, NPL
123.8,1977, Jun Average, Nepal, NPL
312.4,1977, Jul Average, Nepal, NPL
299.6,1977, Aug Average, Nepal, NPL
125.4,1977, Sep Average, Nepal, NPL
68.1,1977, Oct Average, Nepal, NPL
17.3,1977, Nov Average, Nepal, NPL
38.3,1977, Dec Average, Nepal, NPL
11.8,1978, Jan Average, Nepal, NPL
40.9,1978, Feb Average, Nepal, NPL
76.8,1978, Mar Average, Nepal, NPL
76.4,1978, Apr Average, Nepal, NPL
134.6,1978, May Average, Nepal, NPL
275,1978, Jun Average, Nepal, NPL
346.9,1978, Jul Average, Nepal, NPL
266.3,1978, Aug Average, Nepal, NPL
193,1978, Sep Average, Nepal, NPL
48.7,1978, Oct Average, Nepal, NPL
27.3,1978, Nov Average, Nepal, NPL
9.9,1978, Dec Average, Nepal, NPL
15.4,1979, Jan Average, Nepal, NPL
51.6,1979, Feb Average, Nepal, NPL
12.4,1979, Mar Average, Nepal, NPL
62.9,1979, Apr Average, Nepal, NPL
77.8,1979, May Average, Nepal, NPL
181,1979, Jun Average, Nepal, NPL
358.6,1979, Jul Average, Nepal, NPL
301.8,1979, Aug Average, Nepal, NPL
113.7,1979, Sep Average, Nepal, NPL
64.9,1979, Oct Average, Nepal, NPL
25.6,1979, Nov Average, Nepal, NPL
52.8,1979, Dec Average, Nepal, NPL
7,1980, Jan Average, Nepal, NPL
25,1980, Feb Average, Nepal, NPL
53.4,1980, Mar Average, Nepal, NPL
16.9,1980, Apr Average, Nepal, NPL
116.3,1980, May Average, Nepal, NPL
223,1980, Jun Average, Nepal, NPL
379.8,1980, Jul Average, Nepal, NPL
301,1980, Aug Average, Nepal, NPL
213.6,1980, Sep Average, Nepal, NPL
34.8,1980, Oct Average, Nepal, NPL
1.4,1980, Nov Average, Nepal, NPL
4.5,1980, Dec Average, Nepal, NPL
29.5,1981, Jan Average, Nepal, NPL
12.9,1981, Feb Average, Nepal, NPL
69.3,1981, Mar Average, Nepal, NPL
72.3,1981, Apr Average, Nepal, NPL
120.2,1981, May Average, Nepal, NPL
159.2,1981, Jun Average, Nepal, NPL
371.2,1981, Jul Average, Nepal, NPL
300.5,1981, Aug Average, Nepal, NPL
218.9,1981, Sep Average, Nepal, NPL
2.2,1981, Oct Average, Nepal, NPL
38.3,1981, Nov Average, Nepal, NPL
6.8,1981, Dec Average, Nepal, NPL
35.1,1982, Jan Average, Nepal, NPL
32.6,1982, Feb Average, Nepal, NPL
81.4,1982, Mar Average, Nepal, NPL
62.8,1982, Apr Average, Nepal, NPL
81,1982, May Average, Nepal, NPL
166.7,1982, Jun Average, Nepal, NPL
276.8,1982, Jul Average, Nepal, NPL
269.3,1982, Aug Average, Nepal, NPL
183.2,1982, Sep Average, Nepal, NPL
24.1,1982, Oct Average, Nepal, NPL
25.2,1982, Nov Average, Nepal, NPL
12.3,1982, Dec Average, Nepal, NPL
35.5,1983, Jan Average, Nepal, NPL
15,1983, Feb Average, Nepal, NPL
23.9,1983, Mar Average, Nepal, NPL
79.6,1983, Apr Average, Nepal, NPL
159.3,1983, May Average, Nepal, NPL
118.5,1983, Jun Average, Nepal, NPL
368.4,1983, Jul Average, Nepal, NPL
273.7,1983, Aug Average, Nepal, NPL
291,1983, Sep Average, Nepal, NPL
127.6,1983, Oct Average, Nepal, NPL
8.6,1983, Nov Average, Nepal, NPL
29.2,1983, Dec Average, Nepal, NPL
26.8,1984, Jan Average, Nepal, NPL
29.8,1984, Feb Average, Nepal, NPL
13.4,1984, Mar Average, Nepal, NPL
51.9,1984, Apr Average, Nepal, NPL
114.9,1984, May Average, Nepal, NPL
254.3,1984, Jun Average, Nepal, NPL
386.8,1984, Jul Average, Nepal, NPL
228.3,1984, Aug Average, Nepal, NPL
291.6,1984, Sep Average, Nepal, NPL
18.4,1984, Oct Average, Nepal, NPL
0.8,1984, Nov Average, Nepal, NPL
11.8,1984, Dec Average, Nepal, NPL
17.4,1985, Jan Average, Nepal, NPL
7.4,1985, Feb Average, Nepal, NPL
9.7,1985, Mar Average, Nepal, NPL
38.4,1985, Apr Average, Nepal, NPL
120,1985, May Average, Nepal, NPL
154.9,1985, Jun Average, Nepal, NPL
419.9,1985, Jul Average, Nepal, NPL
283.5,1985, Aug Average, Nepal, NPL
306.9,1985, Sep Average, Nepal, NPL
159.4,1985, Oct Average, Nepal, NPL
3,1985, Nov Average, Nepal, NPL
64.2,1985, Dec Average, Nepal, NPL
1.9,1986, Jan Average, Nepal, NPL
28.5,1986, Feb Average, Nepal, NPL
27.9,1986, Mar Average, Nepal, NPL
76.8,1986, Apr Average, Nepal, NPL
127.6,1986, May Average, Nepal, NPL
184.8,1986, Jun Average, Nepal, NPL
309.4,1986, Jul Average, Nepal, NPL
274.8,1986, Aug Average, Nepal, NPL
219.1,1986, Sep Average, Nepal, NPL
66.3,1986, Oct Average, Nepal, NPL
8.9,1986, Nov Average, Nepal, NPL
58.8,1986, Dec Average, Nepal, NPL
7.8,1987, Jan Average, Nepal, NPL
36.2,1987, Feb Average, Nepal, NPL
45.1,1987, Mar Average, Nepal, NPL
69.1,1987, Apr Average, Nepal, NPL
84.3,1987, May Average, Nepal, NPL
137.3,1987, Jun Average, Nepal, NPL
417.5,1987, Jul Average, Nepal, NPL
343.9,1987, Aug Average, Nepal, NPL
192.5,1987, Sep Average, Nepal, NPL
100.8,1987, Oct Average, Nepal, NPL
1,1987, Nov Average, Nepal, NPL
19.4,1987, Dec Average, Nepal, NPL
6.2,1988, Jan Average, Nepal, NPL
38.6,1988, Feb Average, Nepal, NPL
75.9,1988, Mar Average, Nepal, NPL
72.4,1988, Apr Average, Nepal, NPL
104.4,1988, May Average, Nepal, NPL
163.6,1988, Jun Average, Nepal, NPL
424.3,1988, Jul Average, Nepal, NPL
359.9,1988, Aug Average, Nepal, NPL
142.6,1988, Sep Average, Nepal, NPL
8.2,1988, Oct Average, Nepal, NPL
7.7,1988, Nov Average, Nepal, NPL
60.9,1988, Dec Average, Nepal, NPL
59.9,1989, Jan Average, Nepal, NPL
20.3,1989, Feb Average, Nepal, NPL
25.9,1989, Mar Average, Nepal, NPL
7.2,1989, Apr Average, Nepal, NPL
122.8,1989, May Average, Nepal, NPL
159.2,1989, Jun Average, Nepal, NPL
368.6,1989, Jul Average, Nepal, NPL
272.1,1989, Aug Average, Nepal, NPL
242.4,1989, Sep Average, Nepal, NPL
22.6,1989, Oct Average, Nepal, NPL
17.8,1989, Nov Average, Nepal, NPL
5.2,1989, Dec Average, Nepal, NPL
2.4,1990, Jan Average, Nepal, NPL
79,1990, Feb Average, Nepal, NPL
85.1,1990, Mar Average, Nepal, NPL
56.7,1990, Apr Average, Nepal, NPL
152.9,1990, May Average, Nepal, NPL
199.5,1990, Jun Average, Nepal, NPL
373.1,1990, Jul Average, Nepal, NPL
280.6,1990, Aug Average, Nepal, NPL
190.6,1990, Sep Average, Nepal, NPL
46.6,1990, Oct Average, Nepal, NPL
2.2,1990, Nov Average, Nepal, NPL
20.9,1990, Dec Average, Nepal, NPL
