Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.479, 2020-2039, miroc_esm, Dec Anomaly, NPL
-0.2046, 2020-2039, mpi_esm_lr, Jan Anomaly, NPL
-0.2108, 2020-2039, mpi_esm_lr, Feb Anomaly, NPL
0.1003, 2020-2039, mpi_esm_lr, Mar Anomaly, NPL
-0.1323, 2020-2039, mpi_esm_lr, Apr Anomaly, NPL
-0.1307, 2020-2039, mpi_esm_lr, May Anomaly, NPL
-0.0825, 2020-2039, mpi_esm_lr, Jun Anomaly, NPL
0.08345, 2020-2039, mpi_esm_lr, Jul Anomaly, NPL
-0.0318, 2020-2039, mpi_esm_lr, Aug Anomaly, NPL
-0.4738, 2020-2039, mpi_esm_lr, Sep Anomaly, NPL
-0.0681, 2020-2039, mpi_esm_lr, Oct Anomaly, NPL
-0.152, 2020-2039, mpi_esm_lr, Nov Anomaly, NPL
-0.2207, 2020-2039, mpi_esm_lr, Dec Anomaly, NPL
-0.7019, 2020-2039, mpi_esm_mr, Jan Anomaly, NPL
-0.0803, 2020-2039, mpi_esm_mr, Feb Anomaly, NPL
-0.0683, 2020-2039, mpi_esm_mr, Mar Anomaly, NPL
-0.0231, 2020-2039, mpi_esm_mr, Apr Anomaly, NPL
-0.0235, 2020-2039, mpi_esm_mr, May Anomaly, NPL
-0.0711, 2020-2039, mpi_esm_mr, Jun Anomaly, NPL
-0.06, 2020-2039, mpi_esm_mr, Jul Anomaly, NPL
-0.0788, 2020-2039, mpi_esm_mr, Aug Anomaly, NPL
-0.1069, 2020-2039, mpi_esm_mr, Sep Anomaly, NPL
-0.3511, 2020-2039, mpi_esm_mr, Oct Anomaly, NPL
-0.1242, 2020-2039, mpi_esm_mr, Nov Anomaly, NPL
0.08841, 2020-2039, mpi_esm_mr, Dec Anomaly, NPL
-0.3139, 2020-2039, mri_cgcm3, Jan Anomaly, NPL
-0.1162, 2020-2039, mri_cgcm3, Feb Anomaly, NPL
-0.1549, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
-0.1908, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
-0.1974, 2020-2039, mri_cgcm3, May Anomaly, NPL
-0.05, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
-0.05, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
-0.1961, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
-0.4331, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
-0.333, 2020-2039, mri_cgcm3, Oct Anomaly, NPL
-0.1443, 2020-2039, mri_cgcm3, Nov Anomaly, NPL
-0.5133, 2020-2039, mri_cgcm3, Dec Anomaly, NPL
-0.18, 2020-2039, noresm1_m, Jan Anomaly, NPL
0.0143, 2020-2039, noresm1_m, Feb Anomaly, NPL
-0.2484, 2020-2039, noresm1_m, Mar Anomaly, NPL
0.11837, 2020-2039, noresm1_m, Apr Anomaly, NPL
-0.1783, 2020-2039, noresm1_m, May Anomaly, NPL
-0.0616, 2020-2039, noresm1_m, Jun Anomaly, NPL
-0.1568, 2020-2039, noresm1_m, Jul Anomaly, NPL
-0.0978, 2020-2039, noresm1_m, Aug Anomaly, NPL
-0.1991, 2020-2039, noresm1_m, Sep Anomaly, NPL
-0.3267, 2020-2039, noresm1_m, Oct Anomaly, NPL
-0.1716, 2020-2039, noresm1_m, Nov Anomaly, NPL
