Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-0.5088, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
-0.4917, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.0751, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
-6.0695, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
3.10893, 2020-2039, ipsl_cm5a_lr, Dec Anomaly, NPL
-4.6816, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, NPL
-3.0058, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
-1.6555, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
-2.8835, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
1.09178, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
1.73044, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
-1.7741, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
10.3668, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
1.06093, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
3.57193, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
-4.4557, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
-2.4631, 2020-2039, ipsl_cm5a_mr, Dec Anomaly, NPL
-1.3104, 2020-2039, ipsl_cm5b_lr, Jan Anomaly, NPL
-5.4572, 2020-2039, ipsl_cm5b_lr, Feb Anomaly, NPL
4.74369, 2020-2039, ipsl_cm5b_lr, Mar Anomaly, NPL
-2.3551, 2020-2039, ipsl_cm5b_lr, Apr Anomaly, NPL
-2.0108, 2020-2039, ipsl_cm5b_lr, May Anomaly, NPL
0.4403, 2020-2039, ipsl_cm5b_lr, Jun Anomaly, NPL
-0.8434, 2020-2039, ipsl_cm5b_lr, Jul Anomaly, NPL
-1.599, 2020-2039, ipsl_cm5b_lr, Aug Anomaly, NPL
-0.303, 2020-2039, ipsl_cm5b_lr, Sep Anomaly, NPL
4.8394, 2020-2039, ipsl_cm5b_lr, Oct Anomaly, NPL
-0.7741, 2020-2039, ipsl_cm5b_lr, Nov Anomaly, NPL
10.745, 2020-2039, ipsl_cm5b_lr, Dec Anomaly, NPL
-0.4057, 2020-2039, miroc5, Jan Anomaly, NPL
0.50405, 2020-2039, miroc5, Feb Anomaly, NPL
0.55388, 2020-2039, miroc5, Mar Anomaly, NPL
-1.2274, 2020-2039, miroc5, Apr Anomaly, NPL
-2.9403, 2020-2039, miroc5, May Anomaly, NPL
6.73886, 2020-2039, miroc5, Jun Anomaly, NPL
7.19593, 2020-2039, miroc5, Jul Anomaly, NPL
6.75343, 2020-2039, miroc5, Aug Anomaly, NPL
1.03702, 2020-2039, miroc5, Sep Anomaly, NPL
7.29341, 2020-2039, miroc5, Oct Anomaly, NPL
0.3543, 2020-2039, miroc5, Nov Anomaly, NPL
-1.6105, 2020-2039, miroc5, Dec Anomaly, NPL
0.88612, 2020-2039, miroc_esm_chem, Jan Anomaly, NPL
-5.5921, 2020-2039, miroc_esm_chem, Feb Anomaly, NPL
-1.4318, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
-3.4847, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
-0.1692, 2020-2039, miroc_esm_chem, May Anomaly, NPL
-5.2485, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
2.36223, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
4.90746, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
2.23822, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
1.84853, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
0.43478, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
-0.8362, 2020-2039, miroc_esm_chem, Dec Anomaly, NPL
0.0065, 2020-2039, miroc_esm, Jan Anomaly, NPL
-5.1154, 2020-2039, miroc_esm, Feb Anomaly, NPL
-0.5681, 2020-2039, miroc_esm, Mar Anomaly, NPL
4.08879, 2020-2039, miroc_esm, Apr Anomaly, NPL
-1.6636, 2020-2039, miroc_esm, May Anomaly, NPL
-3.0906, 2020-2039, miroc_esm, Jun Anomaly, NPL
6.30507, 2020-2039, miroc_esm, Jul Anomaly, NPL
-4.5169, 2020-2039, miroc_esm, Aug Anomaly, NPL
3.73582, 2020-2039, miroc_esm, Sep Anomaly, NPL
-3.9103, 2020-2039, miroc_esm, Oct Anomaly, NPL
-3.444, 2020-2039, miroc_esm, Nov Anomaly, NPL
3.01529, 2020-2039, miroc_esm, Dec Anomaly, NPL
2.91514, 2020-2039, mpi_esm_lr, Jan Anomaly, NPL
3.24416, 2020-2039, mpi_esm_lr, Feb Anomaly, NPL
0.32663, 2020-2039, mpi_esm_lr, Mar Anomaly, NPL
-4.2599, 2020-2039, mpi_esm_lr, Apr Anomaly, NPL
3.00326, 2020-2039, mpi_esm_lr, May Anomaly, NPL
5.35175, 2020-2039, mpi_esm_lr, Jun Anomaly, NPL
5.51413, 2020-2039, mpi_esm_lr, Jul Anomaly, NPL
2.84435, 2020-2039, mpi_esm_lr, Aug Anomaly, NPL
5.42169, 2020-2039, mpi_esm_lr, Sep Anomaly, NPL
-7.7148, 2020-2039, mpi_esm_lr, Oct Anomaly, NPL
-6.4704, 2020-2039, mpi_esm_lr, Nov Anomaly, NPL
-4.4778, 2020-2039, mpi_esm_lr, Dec Anomaly, NPL
-2.4205, 2020-2039, mpi_esm_mr, Jan Anomaly, NPL
-0.4818, 2020-2039, mpi_esm_mr, Feb Anomaly, NPL
2.77367, 2020-2039, mpi_esm_mr, Mar Anomaly, NPL
3.15609, 2020-2039, mpi_esm_mr, Apr Anomaly, NPL
1.5813, 2020-2039, mpi_esm_mr, May Anomaly, NPL
7.18204, 2020-2039, mpi_esm_mr, Jun Anomaly, NPL
7.92328, 2020-2039, mpi_esm_mr, Jul Anomaly, NPL
-2.4815, 2020-2039, mpi_esm_mr, Aug Anomaly, NPL
6.18598, 2020-2039, mpi_esm_mr, Sep Anomaly, NPL
-2.1955, 2020-2039, mpi_esm_mr, Oct Anomaly, NPL
7.02176, 2020-2039, mpi_esm_mr, Nov Anomaly, NPL
