FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a07,40987,13,autum,30,1990,54.69,POINT (9267347.608540025 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a08,40988,13,autum,30,1990,52.73,POINT (9323007.353936663 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a09,40989,13,autum,30,1990,55.89,POINT (9378667.099333297 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a0a,40990,13,autum,30,1990,54,POINT (9434326.844729934 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a0b,40991,13,autum,30,1990,55.8,POINT (9489986.590126572 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a0c,40992,13,autum,30,1990,59.33,POINT (9545646.335523209 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a0d,40993,13,autum,30,1990,57.33,POINT (9601306.080919845 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a0e,40994,13,autum,30,1990,62.49,POINT (9656965.826316481 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a0f,40995,13,autum,30,1990,60.26,POINT (9712625.57171312 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a10,40996,13,autum,30,1990,62.63,POINT (9768285.317109756 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a11,41926,13,autum,30,1990,106.7,POINT (8933389.136160204 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a12,41927,13,autum,30,1990,104.23,POINT (8989048.88155684 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a13,41928,13,autum,30,1990,102.83,POINT (9044708.626953477 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a14,41929,13,autum,30,1990,100.66,POINT (9100368.372350115 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a15,41930,13,autum,30,1990,96.83,POINT (9156028.117746752 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a16,41931,13,autum,30,1990,92.03,POINT (9211687.863143386 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a17,41932,13,autum,30,1990,86.19,POINT (9267347.608540025 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a18,41933,13,autum,30,1990,83.13,POINT (9323007.353936663 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a19,41934,13,autum,30,1990,82.93,POINT (9378667.099333297 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a1a,41935,13,autum,30,1990,79.4,POINT (9434326.844729934 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a1b,41936,13,autum,30,1990,67.4,POINT (9489986.590126572 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a1c,41937,13,autum,30,1990,61.63,POINT (9545646.335523209 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a1d,41938,13,autum,30,1990,57.66,POINT (9601306.080919845 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a1e,41939,13,autum,30,1990,62.16,POINT (9656965.826316481 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a1f,41940,13,autum,30,1990,58.8,POINT (9712625.57171312 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a20,41941,13,autum,30,1990,58.73,POINT (9768285.317109756 3217490.9158222144)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a21,42228,13,autum,30,1990,107.79,POINT (8933389.136160204 3154740.816666564)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a22,42229,13,autum,30,1990,105.9,POINT (8989048.88155684 3154740.816666564)
etp_normales_espacial_p.fid--5ff12b53_17a3ccb74c0_6a23,42230,13,autum,30,1990,103.96,POINT (9044708.626953477 3154740.816666564)
